tick,population_p05,population_p25,population_p50,population_p75,population_p95,invalid_age_p05,invalid_age_p25,invalid_age_p50,invalid_age_p75,invalid_age_p95,males_p05,males_p25,males_p50,males_p75,males_p95,females_p05,females_p25,females_p50,females_p75,females_p95,age_00_04_p05,age_00_04_p25,age_00_04_p50,age_00_04_p75,age_00_04_p95,age_20_24_p05,age_20_24_p25,age_20_24_p50,age_20_24_p75,age_20_24_p95,age_65_69_p05,age_65_69_p25,age_65_69_p50,age_65_69_p75,age_65_69_p95,age_85_plus_p05,age_85_plus_p25,age_85_plus_p50,age_85_plus_p75,age_85_plus_p95,births_this_tick_p05,births_this_tick_p25,births_this_tick_p50,births_this_tick_p75,births_this_tick_p95,deaths_this_tick_p05,deaths_this_tick_p25,deaths_this_tick_p50,deaths_this_tick_p75,deaths_this_tick_p95,overseas_arrivals_this_tick_p05,overseas_arrivals_this_tick_p25,overseas_arrivals_this_tick_p50,overseas_arrivals_this_tick_p75,overseas_arrivals_this_tick_p95,overseas_departures_this_tick_p05,overseas_departures_this_tick_p25,overseas_departures_this_tick_p50,overseas_departures_this_tick_p75,overseas_departures_this_tick_p95,internal_arrivals_this_tick_p05,internal_arrivals_this_tick_p25,internal_arrivals_this_tick_p50,internal_arrivals_this_tick_p75,internal_arrivals_this_tick_p95,internal_departures_this_tick_p05,internal_departures_this_tick_p25,internal_departures_this_tick_p50,internal_departures_this_tick_p75,internal_departures_this_tick_p95,locked_out_p05,locked_out_p25,locked_out_p50,locked_out_p75,locked_out_p95,vacant_birth_slots_p05,vacant_birth_slots_p25,vacant_birth_slots_p50,vacant_birth_slots_p75,vacant_birth_slots_p95,vacant_overseas_slots_p05,vacant_overseas_slots_p25,vacant_overseas_slots_p50,vacant_overseas_slots_p75,vacant_overseas_slots_p95,vacant_internal_slots_p05,vacant_internal_slots_p25,vacant_internal_slots_p50,vacant_internal_slots_p75,vacant_internal_slots_p95,max_generation_p05,max_generation_p25,max_generation_p50,max_generation_p75,max_generation_p95,fired_age_monthly_p05,fired_age_monthly_p25,fired_age_monthly_p50,fired_age_monthly_p75,fired_age_monthly_p95,fired_clear_event_p05,fired_clear_event_p25,fired_clear_event_p50,fired_clear_event_p75,fired_clear_event_p95,fired_birth_activate_p05,fired_birth_activate_p25,fired_birth_activate_p50,fired_birth_activate_p75,fired_birth_activate_p95,fired_overseas_arrive_p05,fired_overseas_arrive_p25,fired_overseas_arrive_p50,fired_overseas_arrive_p75,fired_overseas_arrive_p95,fired_internal_arrive_p05,fired_internal_arrive_p25,fired_internal_arrive_p50,fired_internal_arrive_p75,fired_internal_arrive_p95,fired_die_young_p05,fired_die_young_p25,fired_die_young_p50,fired_die_young_p75,fired_die_young_p95,fired_die_adult_p05,fired_die_adult_p25,fired_die_adult_p50,fired_die_adult_p75,fired_die_adult_p95,fired_die_old_p05,fired_die_old_p25,fired_die_old_p50,fired_die_old_p75,fired_die_old_p95,fired_emigrate_p05,fired_emigrate_p25,fired_emigrate_p50,fired_emigrate_p75,fired_emigrate_p95,fired_internal_depart_p05,fired_internal_depart_p25,fired_internal_depart_p50,fired_internal_depart_p75,fired_internal_depart_p95,deferred_total_p05,deferred_total_p25,deferred_total_p50,deferred_total_p75,deferred_total_p95
0,795763,796839,797839,798437,798844,0,0,0,0,0,398480,398981,399403,399779,399945,397283,397858,398436,398658,398899,45531,45935,46081,46163,46951,44273,44310,44350,44368,44396,43782,43988,43994,44029,44128,44404,44623,44630,44657,44723,2281,2645,2761,3013,3704,2812,3195,3323,3770,4237,833,901,975,1124,1178,1119,1480,1518,1581,1615,420,491,509,538,609,1499,1537,1564,2224,2786,3691,4266,4274,4314,5437,116296,116987,117239,117355,117719,48822,48876,49025,49099,49167,29391,29462,29491,29509,29580,1,1,1,1,1,800000,800000,800000,800000,800000,0,0,0,0,0,2281,2645,2761,3013,3704,833,901,975,1124,1178,420,491,509,538,609,143,143,171,248,250,912,935,988,1065,1376,1757,2117,2146,2164,2922,1119,1480,1518,1581,1615,1499,1537,1564,2224,2786,7,11,11,19,19
1,791760,793606,795673,796603,797496,0,0,0,0,0,396478,397346,398344,398943,399130,395282,396260,397329,397660,398366,46846,47545,47819,48000,49582,44062,44101,44162,44240,44241,43080,43457,43476,43546,43712,44341,44654,44770,44786,44946,2228,2532,2618,2874,3560,2814,3160,3237,3720,4047,901,978,1028,1069,1123,1186,1397,1550,1582,1679,386,458,527,542,605,1521,1524,1627,2249,2720,3664,4161,4173,4197,5234,119736,120051,121298,122343,122616,47699,47807,47997,48121,48266,28786,28935,28967,29033,29194,1,1,1,1,1,795763,796839,797839,798437,798844,9704,10543,10789,12437,12769,2228,2532,2618,2874,3560,901,978,1028,1069,1123,386,458,527,542,605,142,147,155,204,228,907,918,999,1053,1427,1765,2014,2065,2164,2790,1186,1397,1550,1582,1679,1521,1524,1627,2249,2720,9,14,18,22,30
2,787951,790388,793483,794891,796294,0,0,0,0,0,394636,395680,397226,398115,398528,393315,394708,396257,396776,397766,48142,49219,49666,50174,52326,43828,43832,43970,44099,44127,42458,43047,43056,43112,43416,44167,44642,44812,44843,45098,2223,2590,2719,3147,3696,2773,3203,3233,3624,4166,828,844,969,1056,1114,1121,1325,1530,1616,1700,405,484,509,517,556,1478,1480,1640,2201,2698,3576,4172,4221,4380,5308,122853,123108,125071,127017,127633,46585,46751,47028,47277,47438,28230,28450,28451,28524,28789,2,2,2,2,2,791760,793606,795673,796603,797496,9694,10560,10561,12302,12325,2223,2590,2719,3147,3696,828,844,969,1056,1114,405,484,509,517,556,140,144,172,226,238,885,969,974,1074,1386,1744,2000,2087,2094,2866,1121,1325,1530,1616,1700,1478,1480,1640,2201,2698,7,15,18,21,24
3,784259,787323,791294,793270,795021,0,0,0,0,0,392800,394071,396139,397350,397920,391459,393252,395155,395920,397101,49679,51019,51603,52376,55209,43650,43656,43827,43999,44029,41819,42566,42593,42674,43015,44087,44680,44893,44905,45248,2487,2677,2800,3170,3846,2815,3197,3258,3703,3984,843,856,893,1060,1065,1150,1403,1459,1585,1668,386,447,495,497,508,1496,1558,1693,2197,2704,3790,4188,4234,4399,5419,125420,126266,128794,131308,132641,45530,45695,46140,46429,46601,27729,27958,27959,28085,28408,2,2,2,2,2,787951,790388,793483,794891,796294,9546,10370,10632,12328,12569,2487,2677,2800,3170,3846,843,856,893,1060,1065,386,447,495,497,508,143,146,152,230,232,867,931,945,1024,1378,1796,2093,2109,2181,2730,1150,1403,1459,1585,1668,1496,1558,1693,2197,2704,13,15,16,20,29
4,780895,784313,789238,791615,794081,0,0,0,0,0,391128,392612,395127,396565,397428,389767,391701,394111,395050,396653,51253,52947,53636,54695,58216,43407,43424,43621,43824,43879,41241,42150,42243,42287,42748,44020,44709,44968,44970,45453,2500,2855,2925,3316,3984,2774,3217,3217,3729,3960,825,891,907,977,1030,1109,1386,1549,1655,1677,393,469,494,519,581,1408,1563,1592,2303,2552,3860,4351,4379,4534,5542,127942,129301,132337,135638,137395,44517,44733,45242,45550,45792,27154,27444,27473,27629,28020,2,2,2,2,2,784259,787323,791294,793270,795021,9649,10645,10657,12459,12490,2500,2855,2925,3316,3984,825,891,907,977,1030,393,469,494,519,581,143,153,157,218,252,920,943,1031,1035,1455,1711,2029,2056,2117,2677,1109,1386,1549,1655,1677,1408,1563,1592,2303,2552,13,16,18,23,30
5,777577,781412,787441,790272,792993,0,0,0,0,0,389564,391141,394281,395764,396924,388013,390271,393160,394508,396069,52815,54927,55582,57129,61276,43165,43173,43415,43622,43720,40701,41735,41825,41938,42454,43896,44712,45033,45044,45608,2539,2879,2896,3455,4056,2749,3128,3193,3680,3973,816,841,927,1010,1040,1156,1346,1515,1598,1687,383,475,501,506,533,1424,1490,1561,2151,2653,3855,4307,4442,4654,5599,130331,132397,135838,139934,141803,43500,43750,44328,44732,44999,26639,26953,26982,27166,27649,2,2,2,2,2,780895,784313,789238,791615,794081,9642,10730,10814,12432,12739,2539,2879,2896,3455,4056,816,841,927,1010,1040,383,475,501,506,533,126,146,154,202,266,902,958,978,1040,1394,1701,1996,2084,2109,2667,1156,1346,1515,1598,1687,1424,1490,1561,2151,2653,7,12,17,23,26
6,774492,778680,785745,789081,791912,0,0,0,0,0,388094,389806,393515,395148,396350,386398,388874,392230,393933,395562,54575,57052,57592,59664,64316,42990,43038,43268,43543,43637,40142,41307,41428,41510,42084,43695,44731,45062,45063,45787,2729,2944,3081,3559,4058,2776,3020,3212,3699,3860,803,840,909,977,1065,1087,1285,1506,1573,1712,363,455,457,524,553,1442,1526,1553,2186,2665,4026,4308,4670,4725,5588,132742,135230,138958,143911,146174,42459,42811,43448,43925,44226,26099,26472,26509,26726,27298,2,2,2,2,2,777577,781412,787441,790272,792993,9702,10611,10681,12541,12626,2729,2944,3081,3559,4058,803,840,909,977,1065,363,455,457,524,553,146,155,163,212,238,910,924,980,994,1449,1720,1941,2038,2069,2628,1087,1285,1506,1573,1712,1442,1526,1553,2186,2665,8,13,15,18,32
7,771375,775997,783844,787666,791030,0,0,0,0,0,386549,388453,392535,394455,395899,384826,387544,391309,393211,395131,56383,59129,59707,62202,67435,42723,42804,43043,43379,43516,39565,40798,40953,41041,41725,43530,44722,45102,45133,45974,2773,3041,3047,3604,4136,2674,3161,3213,3625,3800,783,816,885,891,946,1112,1403,1487,1593,1715,379,455,456,493,498,1453,1484,1615,2186,2680,4044,4388,4480,4766,5525,135038,137813,142215,147833,150325,41556,41957,42591,43151,43476,25624,26004,26071,26292,26941,2,2,2,2,2,774492,778680,785745,789081,791912,9697,10784,11036,12367,12535,2773,3041,3047,3604,4136,783,816,885,891,946,379,455,456,493,498,145,156,161,214,223,879,936,990,1017,1406,1650,2005,2035,2069,2587,1112,1403,1487,1593,1715,1453,1484,1615,2186,2680,12,17,17,23,25
8,768432,773286,782065,786655,790235,0,0,0,0,0,385099,387037,391705,394014,395554,383333,386249,390360,392641,394681,58169,61297,61989,64885,70624,42527,42639,42938,43291,43455,39017,40335,40503,40630,41402,43349,44622,45079,45131,46071,2777,3148,3237,3730,4256,2706,3084,3166,3679,3783,733,832,883,924,975,1190,1333,1484,1503,1671,352,402,437,457,491,1451,1476,1559,2146,2642,4011,4509,4577,4815,5722,137004,140431,145378,151727,154404,40683,41022,41748,42350,42784,25159,25586,25641,25915,26622,2,2,2,2,3,771375,775997,783844,787666,791030,9658,10771,10861,12465,12649,2777,3148,3237,3730,4256,733,832,883,924,975,352,402,437,457,491,136,163,163,241,264,870,896,1013,1015,1445,1674,1970,1988,2051,2529,1190,1333,1484,1503,1671,1451,1476,1559,2146,2642,8,18,20,23,26
9,765545,770829,780203,785577,789235,0,0,0,0,0,383690,385746,390826,393280,395073,381855,385083,389377,392297,394162,59998,63327,64028,67493,73772,42342,42483,42829,43184,43375,38476,39923,40109,40212,41071,43167,44615,45151,45161,46181,2883,3063,3078,3750,4274,2723,3027,3143,3569,3728,722,805,877,907,972,1157,1311,1484,1637,1693,368,420,433,456,544,1509,1512,1516,2139,2688,4108,4396,4483,4840,5725,139257,142816,148510,155497,158333,39767,40160,40905,41597,42114,24644,25175,25207,25512,26281,2,2,3,3,3,768432,773286,782065,786655,790235,9949,10733,10797,12455,12573,2883,3063,3078,3750,4274,722,805,877,907,972,368,420,433,456,544,147,164,173,246,256,862,880,961,985,1346,1696,1977,1992,2018,2487,1157,1311,1484,1637,1693,1509,1512,1516,2139,2688,16,17,19,24,27
