# params={"beta":0.8,"gamma":0.1}
# dt=0.25
tick,I,R,S,fired_reopen,fired_restrict,fired_infect,fired_recover,deferred_total
0,629,16,355,0,0,45,16,0
1,662,29,309,0,1,46,13,0
2,657,42,301,0,0,8,13,0
3,658,54,288,0,0,13,12,0
4,655,72,273,0,0,15,18,0
5,650,88,262,0,0,11,16,0
6,646,100,254,0,0,8,12,0
7,638,119,243,0,0,11,19,0
