tick,sex,area,age_months,count
1,female,1,7,54969
1,female,1,8,54726
1,female,1,9,55083
1,female,1,10,54934
1,female,1,11,55354
1,female,1,12,54844
1,female,1,13,54870
1,female,1,14,54360
1,female,1,15,54200
1,female,1,16,54214
1,female,1,17,54064
1,female,1,18,1718
1,female,2,0,62998
1,female,2,1,55074
1,female,2,2,54844
1,female,2,3,55071
1,female,2,4,55234
1,female,2,5,55117
1,female,2,6,55174
1,female,2,7,55183
1,female,2,8,54994
1,female,2,9,54669
1,female,2,10,55014
1,female,2,11,55026
1,female,2,12,54883
1,female,2,13,54093
1,female,2,14,54661
1,female,2,15,54563
1,female,2,16,54189
1,female,2,17,53863
1,female,2,18,1802
1,female,3,0,62588
1,female,3,1,55160
1,female,3,2,55412
1,female,3,3,54983
1,female,3,4,55158
1,female,3,5,55050
1,female,3,6,55103
1,female,3,7,55182
1,female,3,8,54980
1,female,3,9,55350
1,female,3,10,55173
1,female,3,11,55219
1,female,3,12,54844
1,female,3,13,54410
1,female,3,14,54059
1,female,3,15,53734
1,female,3,16,54280
1,female,3,17,54600
1,female,3,18,1781
2,male,0,0,65796
2,male,0,1,55051
2,male,0,2,54777
2,male,0,3,54794
2,male,0,4,54866
2,male,0,5,54738
2,male,0,6,54905
2,male,0,7,54964
2,male,0,8,54807
2,male,0,9,54716
2,male,0,10,55154
2,male,0,11,54761
2,male,0,12,54637
2,male,0,13,53929
2,male,0,14,53654
2,male,0,15,53541
2,male,0,16,53500
2,male,0,17,53454
2,male,0,18,2684
2,male,1,0,66144
2,male,1,1,54907
2,male,1,2,54805
2,male,1,3,54891
2,male,1,4,55019
2,male,1,5,55013
2,male,1,6,55217
2,male,1,7,54917
2,male,1,8,54861
2,male,1,9,54760
2,male,1,10,54683
2,male,1,11,54945
2,male,1,12,54631
2,male,1,13,53626
2,male,1,14,53162
2,male,1,15,53606
2,male,1,16,53053
2,male,1,17,53395
2,male,1,18,2678
2,male,2,0,65870
2,male,2,1,54997
2,male,2,2,54313
2,male,2,3,54863
2,male,2,4,54650
2,male,2,5,54663
2,male,2,6,55137
2,male,2,7,54793
2,male,2,8,55178
2,male,2,9,54703
2,male,2,10,54683
2,male,2,11,54618
2,male,2,12,54140
2,male,2,13,54068
