tick,population_p05,population_p25,population_p50,population_p75,population_p95,invalid_age_p05,invalid_age_p25,invalid_age_p50,invalid_age_p75,invalid_age_p95,males_p05,males_p25,males_p50,males_p75,males_p95,females_p05,females_p25,females_p50,females_p75,females_p95,age_00_04_p05,age_00_04_p25,age_00_04_p50,age_00_04_p75,age_00_04_p95,age_20_24_p05,age_20_24_p25,age_20_24_p50,age_20_24_p75,age_20_24_p95,age_65_69_p05,age_65_69_p25,age_65_69_p50,age_65_69_p75,age_65_69_p95,age_85_plus_p05,age_85_plus_p25,age_85_plus_p50,age_85_plus_p75,age_85_plus_p95,births_this_tick_p05,births_this_tick_p25,births_this_tick_p50,births_this_tick_p75,births_this_tick_p95,deaths_this_tick_p05,deaths_this_tick_p25,deaths_this_tick_p50,deaths_this_tick_p75,deaths_this_tick_p95,overseas_arrivals_this_tick_p05,overseas_arrivals_this_tick_p25,overseas_arrivals_this_tick_p50,overseas_arrivals_this_tick_p75,overseas_arrivals_this_tick_p95,overseas_departures_this_tick_p05,overseas_departures_this_tick_p25,overseas_departures_this_tick_p50,overseas_departures_this_tick_p75,overseas_departures_this_tick_p95,internal_arrivals_this_tick_p05,internal_arrivals_this_tick_p25,internal_arrivals_this_tick_p50,internal_arrivals_this_tick_p75,internal_arrivals_this_tick_p95,internal_departures_this_tick_p05,internal_departures_this_tick_p25,internal_departures_this_tick_p50,internal_departures_this_tick_p75,internal_departures_this_tick_p95,locked_out_p05,locked_out_p25,locked_out_p50,locked_out_p75,locked_out_p95,vacant_birth_slots_p05,vacant_birth_slots_p25,vacant_birth_slots_p50,vacant_birth_slots_p75,vacant_birth_slots_p95,vacant_overseas_slots_p05,vacant_overseas_slots_p25,vacant_overseas_slots_p50,vacant_overseas_slots_p75,vacant_overseas_slots_p95,vacant_internal_slots_p05,vacant_internal_slots_p25,vacant_internal_slots_p50,vacant_internal_slots_p75,vacant_internal_slots_p95,max_generation_p05,max_generation_p25,max_generation_p50,max_generation_p75,max_generation_p95,fired_age_monthly_p05,fired_age_monthly_p25,fired_age_monthly_p50,fired_age_monthly_p75,fired_age_monthly_p95,fired_clear_event_p05,fired_clear_event_p25,fired_clear_event_p50,fired_clear_event_p75,fired_clear_event_p95,fired_birth_activate_p05,fired_birth_activate_p25,fired_birth_activate_p50,fired_birth_activate_p75,fired_birth_activate_p95,fired_overseas_arrive_p05,fired_overseas_arrive_p25,fired_overseas_arrive_p50,fired_overseas_arrive_p75,fired_overseas_arrive_p95,fired_internal_arrive_p05,fired_internal_arrive_p25,fired_internal_arrive_p50,fired_internal_arrive_p75,fired_internal_arrive_p95,fired_die_young_p05,fired_die_young_p25,fired_die_young_p50,fired_die_young_p75,fired_die_young_p95,fired_die_adult_p05,fired_die_adult_p25,fired_die_adult_p50,fired_die_adult_p75,fired_die_adult_p95,fired_die_old_p05,fired_die_old_p25,fired_die_old_p50,fired_die_old_p75,fired_die_old_p95,fired_emigrate_p05,fired_emigrate_p25,fired_emigrate_p50,fired_emigrate_p75,fired_emigrate_p95,fired_internal_depart_p05,fired_internal_depart_p25,fired_internal_depart_p50,fired_internal_depart_p75,fired_internal_depart_p95,deferred_total_p05,deferred_total_p25,deferred_total_p50,deferred_total_p75,deferred_total_p95
10,755667,765951,776707,785132,788492,0,0,0,0,0,378686,383543,388608,392834,394696,376981,382408,388099,392305,393796,61466,63801,69147,77070,80548,41989,42244,42424,42784,43264,35851,38798,39537,39864,40405,40238,43516,44560,45169,46296,2878,3125,3606,4336,4980,2770,3116,3476,3976,4990,681,782,869,918,995,1085,1316,1511,1636,1767,341,390,446,492,568,1353,1522,1785,2136,2514,4063,4420,5083,5447,6384,139026,145286,152874,161965,170775,37389,38561,40096,40832,42149,23424,24172,24880,25530,26207,2,3,3,3,3,758516,768664,778475,786301,789235,10480,10858,12118,12470,13758,2878,3125,3606,4336,4980,681,782,869,918,995,341,390,446,492,568,142,176,198,208,238,867,1004,1105,1306,1530,1629,1974,2084,2529,3698,1085,1316,1511,1636,1767,1353,1522,1785,2136,2514,13,18,21,24,28
11,753239,763631,775226,784117,787666,0,0,0,0,0,377457,382341,388010,392557,394324,375782,381290,387216,391741,393342,63346,66034,71795,80445,84562,41747,42064,42270,42626,43152,35134,38281,39140,39437,40000,39856,43405,44504,45224,46466,2985,3219,3649,4442,5141,2796,3146,3515,3860,5060,633,778,839,928,985,1037,1311,1459,1644,1824,328,377,417,467,527,1380,1520,1776,2058,2558,4258,4487,5040,5670,6507,140767,147516,155413,165475,174497,36516,37733,39371,40091,41570,22948,23766,24507,25159,25911,2,3,3,3,3,755667,765951,776707,785132,788492,10495,10841,12080,12529,14199,2985,3219,3649,4442,5141,633,778,839,928,985,328,377,417,467,527,145,172,201,213,242,876,991,1156,1264,1483,1670,1922,2135,2391,3626,1037,1311,1459,1644,1824,1380,1520,1776,2058,2558,11,14,17,22,23
12,750984,761310,774052,783333,786967,0,0,0,0,0,376234,381229,387394,392076,393991,374750,380081,386658,391074,393065,65375,68454,74458,83921,88419,41581,41826,42116,42493,43038,34498,37809,38767,39099,39672,39481,43297,44495,45223,46621,3066,3314,3860,4509,4951,2765,3109,3436,3780,4786,647,748,815,915,994,983,1322,1514,1649,1765,359,381,449,500,543,1363,1528,1793,2160,2504,4238,4557,5168,5755,6364,142156,149721,158144,168918,177846,35631,36899,38604,39405,40984,22456,23306,24102,24817,25575,3,3,3,3,3,753239,763631,775226,784117,787666,10475,10974,12055,12620,14325,3066,3314,3860,4509,4951,647,748,815,915,994,359,381,449,500,543,146,167,187,211,249,844,982,1117,1340,1466,1619,1902,2074,2362,3517,983,1322,1514,1649,1765,1363,1528,1793,2160,2504,9,15,20,23,32
13,748875,759141,772572,782302,786130,0,0,0,0,0,375090,380120,386645,391711,393640,373785,379021,385927,390619,392730,67516,70844,77131,87482,92419,41350,41590,41931,42293,42865,33984,37417,38368,38780,39343,39036,43154,44452,45187,46681,3111,3355,3995,4618,5067,2822,3160,3384,3783,4700,651,735,784,866,991,1076,1342,1468,1639,1776,317,372,413,461,522,1365,1512,1768,2095,2466,4300,4528,5233,5778,6312,143743,151649,160558,171968,181413,34751,36154,37888,38712,40385,21988,22892,23770,24480,25284,3,3,3,3,3,750984,761310,774052,783333,786967,10434,10967,12352,12613,13980,3111,3355,3995,4618,5067,651,735,784,866,991,317,372,413,461,522,153,176,201,213,261,881,978,1154,1318,1588,1616,1904,2038,2353,3426,1076,1342,1468,1639,1776,1365,1512,1768,2095,2466,13,16,20,24,26
14,746868,756965,771383,781672,785661,0,0,0,0,0,374033,379019,386020,391426,393307,372835,377946,385263,390246,392433,69669,73349,79845,91022,96401,41058,41340,41706,42087,42709,33403,36978,37950,38342,38972,38704,43042,44432,45135,46787,3169,3418,3930,4710,5079,2771,3076,3460,3752,4613,645,710,787,859,927,1106,1352,1531,1580,1818,342,366,411,465,499,1316,1558,1708,2095,2545,4299,4617,5208,5765,6389,145289,153817,162886,175059,184486,33957,35323,37206,38079,39798,21553,22472,23405,24107,24975,3,3,3,3,3,748875,759141,772572,782302,786130,10597,11040,12270,12706,13884,3169,3418,3930,4710,5079,645,710,787,859,927,342,366,411,465,499,149,182,204,215,244,866,981,1082,1314,1515,1595,1880,2021,2272,3275,1106,1352,1531,1580,1818,1316,1558,1708,2095,2545,12,16,20,23,25
15,745038,754814,770375,781086,785176,0,0,0,0,0,373073,377812,385508,391117,392895,371965,377002,384788,389984,392281,71903,75920,82723,94394,100508,40883,41173,41589,41991,42621,32816,36526,37561,37974,38674,38261,42902,44361,45193,46899,3188,3413,4097,4734,5217,2785,2974,3333,3696,4704,613,695,778,870,897,1031,1302,1513,1619,1774,303,339,416,443,520,1310,1477,1753,2063,2566,4369,4646,5325,5797,6432,146807,155607,165287,177986,187385,33150,34555,36501,37386,39247,21091,22100,23027,23818,24689,3,3,3,3,3,746868,756965,771383,781672,785661,10508,11063,12157,12669,14054,3188,3413,4097,4734,5217,613,695,778,870,897,303,339,416,443,520,148,183,210,221,243,821,982,1120,1255,1503,1598,1825,1947,2322,3272,1031,1302,1513,1619,1774,1310,1477,1753,2063,2566,11,15,17,21,29
16,743277,752632,769478,780227,784618,0,0,0,0,0,372227,376708,385096,390781,392609,371050,375924,384382,389736,392009,74152,78457,85691,98010,104663,40639,40936,41405,41728,42468,32306,36122,37252,37664,38413,37820,42765,44294,45234,46978,3282,3567,4115,4759,5313,2660,2923,3234,3612,4604,600,701,735,826,899,1056,1328,1474,1577,1751,301,351,414,429,513,1337,1538,1778,2141,2595,4381,4711,5248,5802,6574,148229,157235,167500,180921,190122,32354,33894,35863,36723,38720,20736,21702,22664,23477,24430,3,3,3,3,3,745038,754814,770375,781086,785176,10518,10839,12111,12602,13824,3282,3567,4115,4759,5313,600,701,735,826,899,301,351,414,429,513,165,176,204,230,248,826,986,1081,1213,1487,1572,1818,2018,2266,3270,1056,1328,1474,1577,1751,1337,1538,1778,2141,2595,10,16,18,20,30
17,741740,750623,768704,779465,784387,0,0,0,0,0,371448,375658,384814,390438,392448,370292,374965,383939,389336,391939,76486,81100,88446,101903,108880,40311,40674,41134,41510,42314,31783,35713,36899,37347,38049,37413,42639,44262,45251,47063,3365,3656,4292,4910,5381,2690,2926,3345,3671,4535,587,681,760,803,880,1068,1269,1513,1594,1878,305,367,406,448,467,1363,1494,1754,2059,2498,4476,4756,5438,6019,6664,149517,159062,169697,183603,193262,31584,33235,35189,36121,38198,20359,21310,22324,23171,24163,3,3,3,3,3,743277,752632,769478,780227,784618,10581,10944,12162,12486,14029,3365,3656,4292,4910,5381,587,681,760,803,880,305,367,406,448,467,145,184,212,232,259,828,903,1102,1261,1478,1560,1835,1931,2255,3176,1068,1269,1513,1594,1878,1363,1494,1754,2059,2498,11,15,17,20,22
18,740134,748661,767553,778889,784074,0,0,0,0,0,370665,374681,384509,390204,392281,369209,373980,383503,388991,391793,78889,83761,91303,105662,113241,40138,40494,40976,41366,42215,31356,35281,36574,37052,37766,37047,42530,44208,45254,47132,3425,3672,4300,4796,5559,2612,2881,3267,3713,4318,610,683,745,768,854,1045,1261,1482,1578,1739,306,343,392,439,520,1299,1473,1787,2034,2463,4495,4744,5416,5866,6743,150760,160823,171811,186274,196651,30858,32599,34531,35532,37695,19934,20951,21987,22856,23888,3,3,3,3,3,741740,750623,768704,779465,784387,10606,10905,12224,12765,13925,3425,3672,4300,4796,5559,610,683,745,768,854,306,343,392,439,520,144,185,214,236,273,850,940,1084,1243,1497,1549,1796,1975,2247,3065,1045,1261,1482,1578,1739,1299,1473,1787,2034,2463,14,17,20,22,30
19,737727,746716,766867,778374,783830,0,0,0,0,0,369658,373798,384063,390020,392213,368069,372967,383195,388602,391617,81154,86416,94275,109486,117425,39880,40253,40801,41192,42099,30874,34865,36187,36685,37440,36598,42405,44112,45228,47195,3426,3597,4301,4943,5436,2710,3056,3245,3598,4390,561,668,736,773,837,1050,1315,1499,1602,1803,307,341,375,415,450,1302,1471,1735,2029,2491,4449,4758,5357,5981,6623,151779,162279,174045,188674,199955,30124,32010,33844,34964,37202,19516,20599,21699,22551,23633,3,3,3,3,3,740134,748661,767553,778889,784074,10527,10861,12041,12579,14220,3426,3597,4301,4943,5436,561,668,736,773,837,307,341,375,415,450,153,187,217,233,267,833,969,1069,1261,1450,1569,1822,1930,2219,3018,1050,1315,1499,1602,1803,1302,1471,1735,2029,2491,8,14,19,22,25
20,735701,745085,766423,777759,783456,0,0,0,0,0,368624,372999,383565,389753,392002,367077,372185,382868,388281,391454,83716,89122,97234,113251,121830,39621,40053,40588,41040,41965,30486,34517,35871,36426,37185,36133,42141,43956,45100,47187,3508,3781,4432,4996,5624,2636,2948,3240,3601,4307,564,636,708,770,803,1006,1243,1455,1583,1765,308,338,378,422,472,1318,1499,1770,2070,2490,4552,4865,5540,5945,6754,152865,163905,176093,191005,202976,29432,31402,33228,34443,36720,19137,20254,21411,22260,23366,3,3,3,3,3,737727,746716,766867,778374,783830,10636,11043,12232,12599,13893,3508,3781,4432,4996,5624,564,636,708,770,803,308,338,378,422,472,160,188,227,254,260,873,983,1087,1242,1408,1570,1778,1957,2175,3013,1006,1243,1455,1583,1765,1318,1499,1770,2070,2490,12,15,17,20,28
21,733683,743649,765888,777236,783233,0,0,0,0,0,367564,372239,383210,389483,391958,366119,371410,382613,387979,391275,86332,92029,100291,117095,126275,39416,39920,40400,40891,41852,30048,34198,35532,36103,36881,35620,41894,43822,45024,47180,3586,3791,4382,5017,5666,2679,2942,3232,3539,4276,535,629,691,734,788,1038,1300,1473,1636,1814,289,328,370,414,450,1343,1486,1703,2036,2491,4560,4885,5436,6059,6806,153980,165385,178098,193178,205922,28827,30835,32679,33943,36294,18796,19949,21114,21965,23114,3,3,3,3,3,735701,745085,766423,777759,783456,10586,11028,12264,12710,13952,3586,3791,4382,5017,5666,535,629,691,734,788,289,328,370,414,450,170,196,216,241,258,823,964,1063,1245,1434,1500,1771,1868,2224,2829,1038,1300,1473,1636,1814,1343,1486,1703,2036,2491,9,12,15,20,26
22,731767,742039,765340,776544,783149,0,0,0,0,0,366714,371442,382886,389042,391964,365053,370597,382369,387786,391185,88998,94837,103375,120907,130566,39195,39734,40178,40709,41695,29616,33836,35185,35809,36564,35229,41730,43721,45014,47220,3591,3870,4377,4957,5515,2694,2905,3210,3531,4247,563,621,697,722,765,1075,1302,1492,1636,1821,298,344,364,389,448,1379,1467,1719,1981,2548,4620,4933,5428,6018,6643,154991,166690,180098,195375,208722,28216,30274,32102,33404,35807,18439,19619,20823,21700,22879,3,3,3,3,3,733683,743649,765888,777236,783233,10594,10979,12167,12656,14147,3591,3870,4377,4957,5515,563,621,697,722,765,298,344,364,389,448,172,194,224,244,274,826,941,1078,1192,1409,1552,1740,1841,2112,2856,1075,1302,1492,1636,1821,1379,1467,1719,1981,2548,13,15,18,19,32
23,729865,740451,764930,776052,783044,0,0,0,0,0,365732,370588,382698,388698,391916,364133,369863,382173,387516,391128,91703,97662,106475,124740,134927,38955,39503,39929,40510,41547,29228,33493,34844,35545,36286,34786,41547,43577,44927,47252,3701,3954,4515,5103,5682,2655,2823,3198,3423,4169,548,591,692,724,762,1051,1215,1508,1574,1793,283,322,351,390,452,1318,1502,1721,2075,2478,4650,4979,5534,6109,6799,155775,167974,181831,197596,211331,27628,29736,31610,32924,35347,18080,19327,20562,21429,22638,3,3,3,3,3,731767,742039,765340,776544,783149,10698,10992,12136,12587,13834,3701,3954,4515,5103,5682,548,591,692,724,762,283,322,351,390,452,154,204,232,251,273,834,899,1056,1225,1482,1502,1658,1801,2063,2811,1051,1215,1508,1574,1793,1318,1502,1721,2075,2478,8,14,19,20,21
