k,birth_rate,emigration_rate,internal_arrival_rate,internal_departure_rate,mortality_adult,mortality_old,mortality_young,overseas_arrival_rate,final_population,maximum_invalid_age_count,births_total,deaths_total,overseas_arrivals_total,overseas_departures_total,internal_arrivals_total,internal_departures_total,minimum_vacant_birth_slots,final_max_generation,locked_out_total
0,0.022852405903835728,0.00143514541211536,0.01770345047137392,0.001872906120365134,0.0022923946717845413,0.008103557305181036,0.0008058945980804724,0.02048758904545381,780372,0,76613,64113,19568,26950,10561,35307,117239,3,106742
1,0.019332769045104285,0.0019327609377041716,0.01640326179967746,0.0020491118888102894,0.003621381021217677,0.00954162610282416,0.0012531578224408066,0.018980801878903546,743794,0,72485,84137,18562,35530,9946,37532,117719,3,100993
2,0.03127326489924197,0.002016042117241798,0.020448792854416017,0.002818298038424864,0.0023543392822770997,0.009859680434451687,0.0008075956768939257,0.02255531908618138,778039,0,106910,71904,21136,37503,11865,52465,116296,3,139911
3,0.02528413147336222,0.0017432299939879443,0.013644292055800377,0.0034339884813959116,0.00263557829463596,0.013014188060255182,0.0013112876087594512,0.017440326825641596,739112,0,96163,88524,17298,31847,8477,62455,116987,3,121938
4,0.022018930685764826,0.002141630913031736,0.01785641000022168,0.0019123073005108539,0.0025313759079216356,0.009772220764912852,0.0008755979460083167,0.02320484330626593,762258,0,78758,73631,21701,39748,10631,35453,117355,3,111090
5,0.032867883584077905,0.0013184583748960818,0.020501937891141707,0.0029880102580608758,0.004345626301207654,0.013697168847177664,0.0008342086965791935,0.022657905637119273,764930,0,116761,105587,21317,24269,11724,55016,116131,3,149802
6,0.032503481185216614,0.0019754865124450576,0.015201679742482217,0.00225477262385589,0.003009386119429492,0.007191058115181574,0.0009847285193970439,0.015546980648915838,783743,0,104912,66934,15780,37088,9237,42164,116125,3,129929
7,0.023104117603386296,0.002478261047345571,0.014501617104560716,0.002763531098289396,0.003395902383542214,0.010435146266838047,0.0010574563681385858,0.02425575109248637,739900,0,88543,83649,22344,45629,8816,50525,117273,3,119703
8,0.018020345815424308,0.001886538122885192,0.019744534032868008,0.002405991561476412,0.004107165557854816,0.011675794335487572,0.000724656328742004,0.02004409106637286,729865,0,71273,93925,19223,34275,11382,43813,117822,3,101878
9,0.03266780734505068,0.002085874477283884,0.013954057109490485,0.0034509695732765928,0.0036410875991641552,0.021016850701138443,0.0011181002301101882,0.02527851354183942,735151,0,128245,125017,23148,37502,8671,62394,116116,3,160064
10,0.03244377828164235,0.0022830944762008624,0.017268388952639182,0.002132060718227225,0.003453157034620374,0.008590051513979652,0.0010183436736018482,0.0211106032196112,778926,0,108160,76829,20156,42831,10286,40016,116158,3,138602
11,0.030458422138147638,0.002142165758014988,0.0225318739789461,0.0019430556156887896,0.0027796998054002947,0.013689229258825085,0.0009944965893110098,0.013611942516486333,765174,0,106242,92170,14164,39490,12702,36274,116403,3,133108
12,0.019539668616127805,0.0015760548257173195,0.0182138829067396,0.0029484934223289435,0.002161160717848118,0.01116741886885678,0.0011677998437286076,0.01738677424936732,741955,0,73560,77092,17162,28641,10640,53674,117610,3,101362
13,0.02022904647964734,0.0019160094422208149,0.011631086146919881,0.0021016012342562626,0.0036883650315834332,0.012353541546035136,0.0008427157714453399,0.024941481907329643,740451,0,77273,94158,22662,34752,7399,37973,117560,3,107334
14,0.018710017364841295,0.0022767501463957234,0.01636150418353237,0.0017162529650515965,0.0029625952996841383,0.010162173534429985,0.0012557911061800717,0.01900783431483249,745105,0,70195,80351,18589,41621,9828,31535,117799,3,98612
15,0.03380252334445752,0.001959683614668999,0.016091270859710058,0.002550198914924459,0.0026866261584621645,0.008487053362728009,0.0008826505064695368,0.017698664208947595,783044,0,109861,69348,17526,36682,9590,47903,115980,3,136977
16,0.02360037118078904,0.0018490539389192364,0.025425070031529644,0.001745224951107291,0.002785037192122975,0.010360942447766823,0.0009349761334743985,0.029638117249335447,775816,0,83264,79962,25816,34568,13776,32510,117137,3,122856
17,0.02778536137055208,0.0022403732868130815,0.020868805765224367,0.0018192366192934116,0.0030163612729627192,0.012785620585053902,0.0010895578658054437,0.024864181099854582,766418,0,98608,91770,22756,41731,12053,33498,116624,3,133417
18,0.025214193024361474,0.001352076280077595,0.012497050072157588,0.0022935086532355304,0.0023817147920684564,0.009929769943273554,0.000979289427699919,0.026762169509289675,776052,0,86337,73962,24041,25276,7933,43021,117040,3,118311
19,0.018705342938632238,0.0015464473950316093,0.02294508919891022,0.002405180453277857,0.002897727094687267,0.020536203880262532,0.0011206999094652745,0.019927105685100692,720251,0,77277,118115,19083,27730,13139,43403,117714,3,109499
