Generating SQLite file cuda-workers-2-trace.sqlite from cuda-workers-2-trace.nsys-rep
Processing [cuda-workers-2-trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
46.1,637846173,223860,2849.3,2333.0,901,1180353,4063.4,cuEventRecord
19.6,270435466,780,346712.1,87296.0,9173,26226963,2133133.5,cuMemcpyDtoHAsync_v2
17.0,235595295,274800,857.3,350.0,129,186471,2028.7,cuStreamWaitEvent
15.1,208721304,39552,5277.1,4517.0,1923,75704,4263.9,cuLaunchKernel
0.6,8845433,96,92139.9,826.0,511,6357427,648353.1,cuMemAllocAsync
0.4,5331935,228,23385.7,3966.0,1562,2213073,197897.7,cuMemcpyHtoDAsync_v2
0.3,4742531,2,2371265.5,2371265.5,2352883,2389648,25996.8,cuModuleLoadData
0.2,2427496,2,1213748.0,1213748.0,1170318,1257178,61419.3,cuStreamDestroy_v2
0.2,2237823,192,11655.3,305.5,90,176164,18881.9,cuEventDestroy_v2
0.1,2023088,108,18732.3,16895.0,6550,69364,11179.3,cuMemcpyDtoDAsync_v2
0.1,1492771,2,746385.5,746385.5,340270,1152501,574334.0,cuModuleUnload
0.1,936746,4,234186.5,261197.0,62424,351928,129893.4,cuStreamSynchronize
0.1,913992,204,4480.4,3394.5,1321,40040,4705.3,cuMemsetD8Async
0.0,298599,1,298599.0,298599.0,298599,298599,0.0,cuMemGetInfo_v2
0.0,247111,2,123555.5,123555.5,20180,226931,146195.0,cuStreamCreate
0.0,109157,96,1137.1,846.0,380,6460,982.1,cuMemFreeAsync
0.0,50727,192,264.2,220.0,100,1612,191.4,cuEventCreate
0.0,21385,5,4277.0,3937.0,1362,6340,2007.5,cuInit
0.0,9505,2,4752.5,4752.5,4396,5109,504.2,cuCtxSynchronize
0.0,4888,3,1629.3,1102.0,1072,2714,939.5,cuCtxSetCurrent

