tick,population_p05,population_p25,population_p50,population_p75,population_p95,invalid_age_p05,invalid_age_p25,invalid_age_p50,invalid_age_p75,invalid_age_p95,males_p05,males_p25,males_p50,males_p75,males_p95,females_p05,females_p25,females_p50,females_p75,females_p95,age_00_04_p05,age_00_04_p25,age_00_04_p50,age_00_04_p75,age_00_04_p95,age_20_24_p05,age_20_24_p25,age_20_24_p50,age_20_24_p75,age_20_24_p95,age_65_69_p05,age_65_69_p25,age_65_69_p50,age_65_69_p75,age_65_69_p95,age_85_plus_p05,age_85_plus_p25,age_85_plus_p50,age_85_plus_p75,age_85_plus_p95,births_this_tick_p05,births_this_tick_p25,births_this_tick_p50,births_this_tick_p75,births_this_tick_p95,deaths_this_tick_p05,deaths_this_tick_p25,deaths_this_tick_p50,deaths_this_tick_p75,deaths_this_tick_p95,overseas_arrivals_this_tick_p05,overseas_arrivals_this_tick_p25,overseas_arrivals_this_tick_p50,overseas_arrivals_this_tick_p75,overseas_arrivals_this_tick_p95,overseas_departures_this_tick_p05,overseas_departures_this_tick_p25,overseas_departures_this_tick_p50,overseas_departures_this_tick_p75,overseas_departures_this_tick_p95,internal_arrivals_this_tick_p05,internal_arrivals_this_tick_p25,internal_arrivals_this_tick_p50,internal_arrivals_this_tick_p75,internal_arrivals_this_tick_p95,internal_departures_this_tick_p05,internal_departures_this_tick_p25,internal_departures_this_tick_p50,internal_departures_this_tick_p75,internal_departures_this_tick_p95,locked_out_p05,locked_out_p25,locked_out_p50,locked_out_p75,locked_out_p95,vacant_birth_slots_p05,vacant_birth_slots_p25,vacant_birth_slots_p50,vacant_birth_slots_p75,vacant_birth_slots_p95,vacant_overseas_slots_p05,vacant_overseas_slots_p25,vacant_overseas_slots_p50,vacant_overseas_slots_p75,vacant_overseas_slots_p95,vacant_internal_slots_p05,vacant_internal_slots_p25,vacant_internal_slots_p50,vacant_internal_slots_p75,vacant_internal_slots_p95,max_generation_p05,max_generation_p25,max_generation_p50,max_generation_p75,max_generation_p95,fired_age_monthly_p05,fired_age_monthly_p25,fired_age_monthly_p50,fired_age_monthly_p75,fired_age_monthly_p95,fired_clear_event_p05,fired_clear_event_p25,fired_clear_event_p50,fired_clear_event_p75,fired_clear_event_p95,fired_birth_activate_p05,fired_birth_activate_p25,fired_birth_activate_p50,fired_birth_activate_p75,fired_birth_activate_p95,fired_overseas_arrive_p05,fired_overseas_arrive_p25,fired_overseas_arrive_p50,fired_overseas_arrive_p75,fired_overseas_arrive_p95,fired_internal_arrive_p05,fired_internal_arrive_p25,fired_internal_arrive_p50,fired_internal_arrive_p75,fired_internal_arrive_p95,fired_die_young_p05,fired_die_young_p25,fired_die_young_p50,fired_die_young_p75,fired_die_young_p95,fired_die_adult_p05,fired_die_adult_p25,fired_die_adult_p50,fired_die_adult_p75,fired_die_adult_p95,fired_die_old_p05,fired_die_old_p25,fired_die_old_p50,fired_die_old_p75,fired_die_old_p95,fired_emigrate_p05,fired_emigrate_p25,fired_emigrate_p50,fired_emigrate_p75,fired_emigrate_p95,fired_internal_depart_p05,fired_internal_depart_p25,fired_internal_depart_p50,fired_internal_depart_p75,fired_internal_depart_p95,deferred_total_p05,deferred_total_p25,deferred_total_p50,deferred_total_p75,deferred_total_p95
0,795019,796550,797522,798613,798941,0,0,0,0,0,398017,398803,399272,399816,399963,397043,397763,398250,398797,398960,45543,45724,46284,47035,47261,44262,44298,44317,44343,44394,43561,43899,44000,44043,44111,44146,44471,44573,44618,44725,2281,2448,3068,3782,3978,2851,3225,3693,4232,5878,798,971,1086,1229,1343,1091,1416,1600,1751,1865,370,446,515,599,668,1380,1530,1800,2168,2645,3796,4059,4781,5265,5641,116022,116218,117123,117552,117719,48657,48771,48945,49029,49202,29332,29401,29497,29554,29630,1,1,1,1,1,800000,800000,800000,800000,800000,0,0,0,0,0,2281,2448,3068,3782,3978,798,971,1086,1229,1343,370,446,515,599,668,140,147,161,185,211,872,1017,1149,1359,1630,1728,2107,2251,2795,4563,1091,1416,1600,1751,1865,1380,1530,1800,2168,2645,9,12,13,14,21
1,789973,793144,794946,797006,797637,0,0,0,0,0,395527,397094,397955,399006,399313,394496,396050,396991,398000,398324,46861,47223,48316,49741,50137,43975,44037,44084,44141,44249,42603,43249,43414,43521,43640,43862,44545,44717,44814,45013,2255,2427,3013,3650,3798,2894,3256,3695,4200,5754,754,930,1022,1178,1289,1083,1407,1590,1736,1853,363,426,492,586,641,1352,1502,1772,2139,2625,3711,3973,4665,5077,5395,118586,120035,121152,122322,123338,47368,47593,47953,48099,48448,28691,28815,29017,29128,29267,1,1,1,1,1,795019,796550,797522,798613,798941,10500,10897,12074,12540,13948,2255,2427,3013,3650,3798,754,930,1022,1178,1289,363,426,492,586,641,123,135,159,172,190,900,1050,1174,1357,1605,1738,2127,2251,2735,4436,1083,1407,1590,1736,1853,1352,1502,1772,2139,2625,19,22,24,27,33
2,785108,789531,792309,795267,796244,0,0,0,0,0,393007,395188,396598,398108,398620,392101,394343,395711,397159,397624,48196,48731,50382,52478,53123,43706,43796,43858,43947,44101,41802,42733,42973,43127,43298,43421,44424,44658,44814,45112,2237,2415,2970,3655,3916,2923,3291,3714,4194,5614,743,881,972,1098,1204,1077,1401,1567,1716,1836,373,456,516,588,658,1442,1603,1877,2214,2696,3657,3902,4547,4993,5490,121258,123151,125024,127093,129414,46164,46495,47011,47218,47705,28033,28227,28510,28672,28894,2,2,2,2,2,789973,793144,794946,797006,797637,10388,10751,11831,12315,13594,2237,2415,2970,3655,3916,743,881,972,1098,1204,373,456,516,588,658,131,141,166,181,211,897,1025,1139,1330,1575,1805,2159,2302,2800,4315,1077,1401,1567,1716,1836,1442,1603,1877,2214,2696,12,15,18,19,23
3,780917,786504,790180,794014,795254,0,0,0,0,0,390882,393661,395510,397441,398077,390035,392843,394670,396573,397177,49669,50431,52617,55365,56309,43500,43624,43697,43824,44023,41000,42212,42529,42717,42942,43071,44400,44718,44917,45317,2379,2595,3079,3805,4070,2839,3165,3618,4041,5465,761,935,1031,1160,1272,1096,1348,1537,1671,1785,359,427,496,561,625,1299,1430,1723,2075,2580,3854,4126,4710,5193,5738,123870,126303,128872,132067,135549,44899,45344,46011,46288,46947,27418,27674,28033,28250,28539,2,2,2,2,2,785108,789531,792309,795267,796244,10442,10789,11904,12389,13694,2379,2595,3079,3805,4070,761,935,1031,1160,1272,359,427,496,561,625,115,126,140,172,195,857,994,1119,1315,1559,1761,2089,2198,2654,4197,1096,1348,1537,1671,1785,1299,1430,1723,2075,2580,10,13,14,16,21
4,776705,783337,788032,792613,794130,0,0,0,0,0,388856,392133,394525,396804,397582,387849,391204,393507,395809,396548,51227,52215,54931,58281,59547,43214,43364,43481,43616,43877,40260,41730,42142,42361,42628,42714,44344,44763,45016,45504,2462,2692,3137,3851,4158,2921,3168,3679,4046,5377,678,829,919,1049,1130,999,1306,1456,1598,1694,357,422,473,550,624,1365,1520,1812,2166,2677,3815,4094,4624,5143,5691,126213,129111,132514,136585,141189,43785,44315,45134,45472,46279,26810,27137,27581,27838,28188,2,2,2,2,2,780917,786504,790180,794014,795254,10279,10668,11838,12243,13667,2462,2692,3137,3851,4158,678,829,919,1049,1130,357,422,473,550,624,158,170,188,205,227,913,1053,1187,1408,1699,1716,1999,2126,2588,4013,999,1306,1456,1598,1694,1365,1520,1812,2166,2677,11,14,16,21,27
5,772767,780276,785988,791344,793153,0,0,0,0,0,386859,390540,393469,396129,397029,385908,389736,392519,395215,396124,52813,54031,57247,61226,62811,42942,43117,43262,43416,43707,39522,41243,41717,41969,42297,42325,44246,44770,45083,45660,2564,2789,3256,3977,4272,2861,3223,3629,4068,5373,708,836,900,1034,1132,1081,1351,1551,1687,1807,357,438,509,575,646,1372,1494,1771,2086,2605,3955,4199,4745,5285,5804,128478,131946,136214,141022,146649,42676,43307,44270,44658,45589,26178,26572,27090,27405,27836,2,2,2,2,2,776705,783337,788032,792613,794130,10252,10649,11781,12222,13705,2564,2789,3256,3977,4272,708,836,900,1034,1132,357,438,509,575,646,145,157,176,187,212,909,1015,1157,1348,1571,1716,2071,2197,2640,4054,1081,1351,1551,1687,1807,1372,1494,1771,2086,2605,13,15,17,21,25
6,769155,777374,784154,790231,792243,0,0,0,0,0,384986,389073,392514,395548,396538,384169,388301,391640,394683,395687,54483,55961,59601,64310,66258,42745,42946,43122,43295,43643,38805,40790,41320,41595,41975,41913,44168,44796,45160,45837,2601,2844,3283,4067,4425,2780,3070,3515,3903,5223,739,881,974,1083,1170,1104,1386,1580,1719,1837,322,400,467,536,601,1389,1530,1805,2155,2673,4010,4334,4775,5374,5986,130676,134755,139670,145295,151730,41535,42265,43348,43804,44871,25599,26048,26645,27013,27520,2,2,2,2,2,772767,780276,785988,791344,793153,10525,10837,11947,12449,13742,2601,2844,3283,4067,4425,739,881,974,1083,1170,322,400,467,536,601,155,163,195,217,245,886,1001,1134,1324,1562,1634,1923,2054,2498,3891,1104,1386,1580,1719,1837,1389,1530,1805,2155,2673,12,13,16,17,21
7,765840,774508,782436,789175,791310,0,0,0,0,0,383431,387691,391759,395080,396107,382409,386817,390677,394095,395203,56126,57928,62049,67536,69881,42533,42755,42948,43147,43528,38088,40288,40876,41182,41598,41522,44111,44848,45258,46048,2657,2928,3403,4230,4616,2865,3220,3664,4066,5327,702,826,891,1017,1103,1024,1286,1478,1603,1730,343,411,457,519,589,1359,1482,1750,2076,2532,4003,4302,4849,5467,6093,132661,137274,142868,149425,156525,40474,41299,42512,43011,44196,25037,25551,26216,26620,27187,2,2,2,3,3,769155,777374,784154,790231,792243,10448,10827,11990,12461,13877,2657,2928,3403,4230,4616,702,826,891,1017,1103,343,411,457,519,589,160,178,204,222,244,891,999,1135,1338,1606,1732,2065,2184,2642,3985,1024,1286,1478,1603,1730,1359,1482,1750,2076,2532,13,16,18,21,27
8,762563,771565,780625,788027,790248,0,0,0,0,0,381824,386264,390852,394537,395657,380739,385301,389773,393485,394591,57869,59916,64472,70730,73450,42388,42632,42833,43059,43486,37313,39743,40400,40731,41199,41065,43962,44789,45254,46141,2741,2971,3427,4240,4626,2909,3170,3630,4013,5206,668,793,877,1007,1092,1042,1320,1506,1635,1754,340,410,466,522,578,1405,1560,1864,2190,2658,4036,4329,4853,5459,6090,134594,139755,146070,153370,161138,39421,40350,41691,42255,43557,24499,25062,25785,26229,26858,2,2,2,3,3,765840,774508,782436,789175,791310,10405,10843,12043,12525,14009,2741,2971,3427,4240,4626,668,793,877,1007,1092,340,410,466,522,578,130,150,174,194,214,907,1012,1168,1363,1625,1738,2029,2157,2617,3870,1042,1320,1506,1635,1754,1405,1560,1864,2190,2658,14,17,21,24,27
9,759547,768948,778911,786987,789396,0,0,0,0,0,380358,385013,390069,394101,395275,379189,383935,388842,392886,394121,59660,61985,66971,73887,77043,42208,42484,42684,42936,43405,36609,39237,39951,40325,40826,40639,43820,44742,45261,46241,2887,3113,3594,4282,4695,2862,3139,3516,3964,5138,675,810,897,1007,1046,1048,1311,1526,1636,1776,349,413,464,520,568,1384,1518,1811,2171,2630,4197,4489,5023,5548,6168,136658,142285,149286,157268,165619,38419,39406,40852,41493,42917,23976,24577,25361,25841,26527,2,2,3,3,3,762563,771565,780625,788027,790248,10496,10925,12165,12609,14102,2887,3113,3594,4282,4695,675,810,897,1007,1046,349,413,464,520,568,158,170,199,213,237,926,1044,1173,1313,1526,1652,1947,2083,2521,3779,1048,1311,1526,1636,1776,1384,1518,1811,2171,2630,18,20,25,26,32
