name,value
final_population,7832938
maximum_invalid_age_count,0
births_total,1099945
deaths_total,692833
overseas_arrivals_total,174479
overseas_departures_total,367624
internal_arrivals_total,96984
internal_departures_total,478013
minimum_vacant_birth_slots,1159981
final_max_generation,3
locked_out_total,1371408
