name,value
final_population,7800520
maximum_invalid_age_count,0
births_total,765291
deaths_total,643144
overseas_arrivals_total,195262
overseas_departures_total,269386
internal_arrivals_total,104846
internal_departures_total,352349
minimum_vacant_birth_slots,1172549
final_max_generation,3
locked_out_total,1065399
