tick,area,sex,count
0,nsw,male,51
0,nsw,female,61
0,vic,male,41
0,vic,female,50
0,qld,male,36
0,qld,female,36
0,sa,male,9
0,sa,female,8
0,wa,male,25
0,wa,female,22
0,tas,male,1
0,tas,female,2
0,nt,male,2
0,nt,female,2
0,act,male,5
0,act,female,6
1,nsw,male,58
1,nsw,female,69
1,vic,male,44
1,vic,female,48
1,qld,male,44
1,qld,female,41
1,sa,male,7
1,sa,female,10
1,wa,male,26
1,wa,female,25
1,tas,female,4
1,nt,male,4
1,nt,female,1
1,act,male,4
1,act,female,1
2,nsw,male,68
2,nsw,female,64
2,vic,male,50
2,vic,female,49
2,qld,male,38
2,qld,female,34
2,sa,male,9
2,sa,female,10
2,wa,male,18
2,wa,female,24
2,tas,male,1
2,tas,female,2
2,nt,male,3
2,nt,female,1
2,act,male,2
2,act,female,2
3,nsw,male,52
3,nsw,female,54
3,vic,male,45
3,vic,female,39
3,qld,male,35
3,qld,female,20
3,sa,male,7
3,sa,female,7
3,wa,male,24
3,wa,female,37
3,tas,male,2
3,nt,male,2
3,nt,female,1
3,act,male,2
3,act,female,2
4,nsw,male,55
4,nsw,female,62
4,vic,male,44
4,vic,female,45
4,qld,male,40
4,qld,female,44
4,sa,male,6
4,sa,female,8
4,wa,male,26
4,wa,female,27
4,tas,male,4
4,tas,female,1
4,nt,male,2
4,act,male,2
4,act,female,2
5,nsw,male,46
5,nsw,female,42
5,vic,male,52
5,vic,female,49
5,qld,male,35
5,qld,female,32
5,sa,male,11
5,sa,female,6
5,wa,male,30
5,wa,female,25
5,tas,male,2
5,nt,female,4
5,act,male,3
5,act,female,1
6,nsw,male,50
6,nsw,female,46
6,vic,male,40
6,vic,female,38
6,qld,male,41
6,qld,female,38
6,sa,male,7
6,sa,female,12
6,wa,male,30
6,wa,female,33
6,tas,male,1
6,tas,female,3
6,nt,male,3
6,nt,female,1
6,act,male,4
6,act,female,2
7,nsw,male,67
7,nsw,female,59
7,vic,male,49
7,vic,female,47
7,qld,male,40
7,qld,female,26
7,sa,male,8
7,sa,female,7
7,wa,male,30
7,wa,female,34
7,tas,female,2
7,nt,male,4
7,nt,female,4
7,act,male,5
7,act,female,3
8,nsw,male,56
8,nsw,female,58
8,vic,male,39
8,vic,female,52
8,qld,male,31
8,qld,female,30
8,sa,male,6
8,sa,female,6
8,wa,male,35
8,wa,female,28
8,tas,male,2
8,tas,female,2
8,nt,male,1
8,act,male,6
8,act,female,4
9,nsw,male,51
9,nsw,female,58
9,vic,male,43
9,vic,female,46
9,qld,male,29
9,qld,female,33
9,sa,male,9
9,sa,female,11
9,wa,male,38
9,wa,female,22
9,tas,male,5
9,tas,female,1
9,nt,male,2
9,act,male,1
9,act,female,2
10,nsw,male,59
10,nsw,female,55
10,vic,male,28
10,vic,female,40
10,qld,male,27
10,qld,female,40
10,sa,male,8
10,sa,female,7
10,wa,male,32
10,wa,female,26
10,tas,female,2
10,act,male,2
10,act,female,6
11,nsw,male,59
11,nsw,female,65
11,vic,male,40
11,vic,female,32
11,qld,male,23
11,qld,female,30
11,sa,male,14
11,sa,female,5
11,wa,male,31
11,wa,female,15
