tick,population_p05,population_p25,population_p50,population_p75,population_p95,invalid_age_p05,invalid_age_p25,invalid_age_p50,invalid_age_p75,invalid_age_p95,males_p05,males_p25,males_p50,males_p75,males_p95,females_p05,females_p25,females_p50,females_p75,females_p95,age_00_04_p05,age_00_04_p25,age_00_04_p50,age_00_04_p75,age_00_04_p95,age_20_24_p05,age_20_24_p25,age_20_24_p50,age_20_24_p75,age_20_24_p95,age_65_69_p05,age_65_69_p25,age_65_69_p50,age_65_69_p75,age_65_69_p95,age_85_plus_p05,age_85_plus_p25,age_85_plus_p50,age_85_plus_p75,age_85_plus_p95,births_this_tick_p05,births_this_tick_p25,births_this_tick_p50,births_this_tick_p75,births_this_tick_p95,deaths_this_tick_p05,deaths_this_tick_p25,deaths_this_tick_p50,deaths_this_tick_p75,deaths_this_tick_p95,overseas_arrivals_this_tick_p05,overseas_arrivals_this_tick_p25,overseas_arrivals_this_tick_p50,overseas_arrivals_this_tick_p75,overseas_arrivals_this_tick_p95,overseas_departures_this_tick_p05,overseas_departures_this_tick_p25,overseas_departures_this_tick_p50,overseas_departures_this_tick_p75,overseas_departures_this_tick_p95,internal_arrivals_this_tick_p05,internal_arrivals_this_tick_p25,internal_arrivals_this_tick_p50,internal_arrivals_this_tick_p75,internal_arrivals_this_tick_p95,internal_departures_this_tick_p05,internal_departures_this_tick_p25,internal_departures_this_tick_p50,internal_departures_this_tick_p75,internal_departures_this_tick_p95,locked_out_p05,locked_out_p25,locked_out_p50,locked_out_p75,locked_out_p95,vacant_birth_slots_p05,vacant_birth_slots_p25,vacant_birth_slots_p50,vacant_birth_slots_p75,vacant_birth_slots_p95,vacant_overseas_slots_p05,vacant_overseas_slots_p25,vacant_overseas_slots_p50,vacant_overseas_slots_p75,vacant_overseas_slots_p95,vacant_internal_slots_p05,vacant_internal_slots_p25,vacant_internal_slots_p50,vacant_internal_slots_p75,vacant_internal_slots_p95,max_generation_p05,max_generation_p25,max_generation_p50,max_generation_p75,max_generation_p95,fired_age_monthly_p05,fired_age_monthly_p25,fired_age_monthly_p50,fired_age_monthly_p75,fired_age_monthly_p95,fired_clear_event_p05,fired_clear_event_p25,fired_clear_event_p50,fired_clear_event_p75,fired_clear_event_p95,fired_birth_activate_p05,fired_birth_activate_p25,fired_birth_activate_p50,fired_birth_activate_p75,fired_birth_activate_p95,fired_overseas_arrive_p05,fired_overseas_arrive_p25,fired_overseas_arrive_p50,fired_overseas_arrive_p75,fired_overseas_arrive_p95,fired_internal_arrive_p05,fired_internal_arrive_p25,fired_internal_arrive_p50,fired_internal_arrive_p75,fired_internal_arrive_p95,fired_die_young_p05,fired_die_young_p25,fired_die_young_p50,fired_die_young_p75,fired_die_young_p95,fired_die_adult_p05,fired_die_adult_p25,fired_die_adult_p50,fired_die_adult_p75,fired_die_adult_p95,fired_die_old_p05,fired_die_old_p25,fired_die_old_p50,fired_die_old_p75,fired_die_old_p95,fired_emigrate_p05,fired_emigrate_p25,fired_emigrate_p50,fired_emigrate_p75,fired_emigrate_p95,fired_internal_depart_p05,fired_internal_depart_p25,fired_internal_depart_p50,fired_internal_depart_p75,fired_internal_depart_p95,deferred_total_p05,deferred_total_p25,deferred_total_p50,deferred_total_p75,deferred_total_p95
0,795763,796839,798437,798437,798844,0,0,0,0,0,398480,398981,399779,399779,399945,397283,397858,398658,398658,398899,45531,46081,46163,46163,46951,44273,44310,44350,44350,44396,43782,43988,43994,43994,44128,44404,44623,44630,44630,44723,2281,2761,3013,3013,3704,2812,3195,3770,3770,4237,833,901,975,975,1124,1119,1480,1518,1518,1581,420,509,538,538,609,1499,1564,2224,2224,2786,3691,4266,4274,4274,5437,116296,116987,117239,117239,117719,48876,49025,49099,49099,49167,29391,29462,29491,29491,29580,1,1,1,1,1,800000,800000,800000,800000,800000,0,0,0,0,0,2281,2761,3013,3013,3704,833,901,975,975,1124,420,509,538,538,609,143,143,248,248,250,912,935,1065,1065,1376,1757,2117,2146,2146,2922,1119,1480,1518,1518,1581,1499,1564,2224,2224,2786,7,11,19,19,19
1,791760,793606,796603,796603,797496,0,0,0,0,0,396478,397346,398943,398943,399130,395282,396260,397660,397660,398366,46846,47819,48000,48000,49582,44062,44101,44162,44162,44240,43080,43457,43476,43476,43712,44341,44654,44770,44770,44946,2228,2618,2874,2874,3560,2814,3237,3720,3720,4047,901,978,1028,1028,1069,1186,1397,1550,1550,1582,386,458,527,527,605,1521,1627,2249,2249,2720,3664,4161,4173,4173,5234,119736,120051,122343,122343,122616,47807,47997,48121,48121,48266,28786,28935,29033,29033,29194,1,1,1,1,1,795763,796839,798437,798437,798844,9704,10543,12437,12437,12769,2228,2618,2874,2874,3560,901,978,1028,1028,1069,386,458,527,527,605,142,155,204,204,228,907,918,1053,1053,1427,1765,2065,2164,2164,2790,1186,1397,1550,1550,1582,1521,1627,2249,2249,2720,9,18,22,22,30
2,787951,790388,794891,794891,796294,0,0,0,0,0,394636,395680,398115,398115,398528,393315,394708,396776,396776,397766,48142,49666,50174,50174,52326,43828,43832,43970,43970,44127,42458,43047,43056,43056,43416,44167,44642,44812,44812,45098,2223,2719,3147,3147,3696,2773,3203,3624,3624,4166,828,844,969,969,1056,1121,1325,1530,1530,1616,405,484,509,509,556,1480,1640,2201,2201,2698,3576,4172,4380,4380,5308,122853,123108,127017,127017,127633,46751,47028,47277,47277,47438,28230,28451,28524,28524,28789,2,2,2,2,2,791760,793606,796603,796603,797496,9694,10561,12302,12302,12325,2223,2719,3147,3147,3696,828,844,969,969,1056,405,484,509,509,556,140,144,226,226,238,885,969,1074,1074,1386,1744,2000,2094,2094,2866,1121,1325,1530,1530,1616,1480,1640,2201,2201,2698,7,18,21,21,24
3,784259,787323,793270,793270,795021,0,0,0,0,0,392800,394071,397350,397350,397920,391459,393252,395920,395920,397101,49679,51603,52376,52376,55209,43650,43656,43827,43827,44029,41819,42566,42593,42593,43015,44087,44680,44893,44893,45248,2487,2800,3170,3170,3846,2815,3258,3703,3703,3984,843,856,893,893,1065,1150,1403,1459,1459,1585,386,447,495,495,508,1496,1693,2197,2197,2704,3790,4188,4399,4399,5419,125420,126266,131308,131308,132641,45695,46140,46429,46429,46601,27729,27958,28085,28085,28408,2,2,2,2,2,787951,790388,794891,794891,796294,9546,10370,12328,12328,12569,2487,2800,3170,3170,3846,843,856,893,893,1065,386,447,495,495,508,146,152,230,230,232,867,931,1024,1024,1378,1796,2093,2181,2181,2730,1150,1403,1459,1459,1585,1496,1693,2197,2197,2704,15,16,20,20,29
4,780895,784313,791615,791615,794081,0,0,0,0,0,391128,392612,396565,396565,397428,389767,391701,395050,395050,396653,51253,53636,54695,54695,58216,43407,43424,43621,43621,43879,41241,42150,42243,42243,42748,44020,44709,44970,44970,45453,2500,2925,3316,3316,3984,2774,3217,3729,3729,3960,825,891,907,907,977,1109,1386,1549,1549,1677,393,469,519,519,581,1408,1592,2303,2303,2552,3860,4351,4534,4534,5542,127942,129301,135638,135638,137395,44733,45242,45550,45550,45792,27154,27444,27629,27629,28020,2,2,2,2,2,784259,787323,793270,793270,795021,9649,10645,12459,12459,12490,2500,2925,3316,3316,3984,825,891,907,907,977,393,469,519,519,581,143,157,218,218,252,920,943,1031,1031,1455,1711,2056,2117,2117,2677,1109,1386,1549,1549,1677,1408,1592,2303,2303,2552,13,16,23,23,30
5,777577,781412,790272,790272,792993,0,0,0,0,0,389564,391141,395764,395764,396924,388013,390271,394508,394508,396069,52815,55582,57129,57129,61276,43165,43173,43415,43415,43720,40701,41735,41825,41825,42454,43896,44712,45044,45044,45608,2539,2879,3455,3455,4056,2749,3193,3680,3680,3973,816,841,927,927,1010,1156,1346,1515,1515,1598,383,475,501,501,533,1490,1561,2151,2151,2653,3855,4307,4654,4654,5599,130331,132397,139934,139934,141803,43750,44328,44732,44732,44999,26639,26953,27166,27166,27649,2,2,2,2,2,780895,784313,791615,791615,794081,9642,10730,12432,12432,12739,2539,2879,3455,3455,4056,816,841,927,927,1010,383,475,501,501,533,126,146,202,202,266,902,958,1040,1040,1394,1701,2084,2109,2109,2667,1156,1346,1515,1515,1598,1490,1561,2151,2151,2653,7,12,23,23,26
6,774492,778680,789081,789081,791912,0,0,0,0,0,388094,389806,395148,395148,396350,386398,388874,393933,393933,395562,54575,57592,59664,59664,64316,42990,43038,43268,43268,43637,40142,41307,41428,41428,42084,43695,44731,45062,45062,45787,2729,2944,3559,3559,4058,2776,3020,3699,3699,3860,803,840,909,909,977,1087,1285,1506,1506,1573,363,455,457,457,553,1526,1553,2186,2186,2665,4026,4308,4725,4725,5588,132742,135230,143911,143911,146174,42811,43448,43925,43925,44226,26099,26509,26726,26726,27298,2,2,2,2,2,777577,781412,790272,790272,792993,9702,10611,12541,12541,12626,2729,2944,3559,3559,4058,803,840,909,909,977,363,455,457,457,553,146,155,212,212,238,910,924,994,994,1449,1720,1941,2038,2038,2628,1087,1285,1506,1506,1573,1526,1553,2186,2186,2665,8,15,18,18,32
7,771375,775997,787666,787666,791030,0,0,0,0,0,386549,388453,394455,394455,395899,384826,387544,393211,393211,395131,56383,59707,62202,62202,67435,42723,42804,43043,43043,43516,39565,40798,40953,40953,41725,43530,44722,45102,45102,45974,2773,3047,3604,3604,4136,2674,3161,3625,3625,3800,783,816,885,885,891,1112,1403,1487,1487,1593,379,455,456,456,498,1484,1615,2186,2186,2680,4044,4388,4766,4766,5525,135038,137813,147833,147833,150325,41957,42591,43151,43151,43476,25624,26071,26292,26292,26941,2,2,2,2,2,774492,778680,789081,789081,791912,9697,10784,12367,12367,12535,2773,3047,3604,3604,4136,783,816,885,885,891,379,455,456,456,498,145,156,214,214,223,879,936,990,990,1406,1650,2005,2069,2069,2587,1112,1403,1487,1487,1593,1484,1615,2186,2186,2680,12,17,23,23,25
8,768432,773286,786655,786655,790235,0,0,0,0,0,385099,387037,394014,394014,395554,383333,386249,392641,392641,394681,58169,61989,64885,64885,70624,42527,42639,42938,42938,43455,39017,40335,40503,40503,41402,43349,44622,45079,45079,46071,2777,3237,3730,3730,4256,2706,3084,3679,3679,3783,733,832,883,883,975,1190,1333,1484,1484,1503,352,402,457,457,491,1476,1559,2146,2146,2642,4011,4577,4815,4815,5722,137004,140431,151727,151727,154404,41022,41748,42350,42350,42784,25159,25641,25915,25915,26622,2,2,2,2,3,771375,775997,787666,787666,791030,9658,10771,12465,12465,12649,2777,3237,3730,3730,4256,733,832,883,883,975,352,402,457,457,491,136,163,241,241,264,870,896,1013,1013,1445,1674,1970,2051,2051,2529,1190,1333,1484,1484,1503,1476,1559,2146,2146,2642,8,18,23,23,26
9,765545,770829,785577,785577,789235,0,0,0,0,0,383690,385746,393280,393280,395073,381855,385083,392297,392297,394162,59998,64028,67493,67493,73772,42342,42483,42829,42829,43375,38476,39923,40109,40109,41071,43167,44615,45151,45151,46181,2883,3063,3750,3750,4274,2723,3027,3569,3569,3728,722,805,877,877,907,1157,1311,1484,1484,1637,368,420,456,456,544,1512,1516,2139,2139,2688,4108,4396,4840,4840,5725,139257,142816,155497,155497,158333,40160,40905,41597,41597,42114,24644,25207,25512,25512,26281,2,2,3,3,3,768432,773286,786655,786655,790235,9949,10733,12455,12455,12573,2883,3063,3750,3750,4274,722,805,877,877,907,368,420,456,456,544,147,173,246,246,256,862,880,985,985,1346,1696,1977,1992,1992,2487,1157,1311,1484,1484,1637,1512,1516,2139,2139,2688,16,17,24,24,27
