Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
23889,23910,0,72,72,32410551.3,29854652.5,26407912,40551164,4986143.2,7519.7,7166.0,4446,27562,2946.5,32111736.5,29555572.0,26110809,40256753,4987715.0,291295.0,290167.5,287400,301641,3613.6,cuLaunchKernel,sembla_count_deferred
23889,23907,0,24,24,32305036.0,33991783.0,21552462,36998744,4374109.9,7361.4,6325.5,4718,26419,4298.4,31931280.8,33627681.5,21186590,36633494,4370257.1,366393.9,358650.0,356266,521678,33198.9,cuLaunchKernel,sembla_reduce_claim_rules
23889,23907,0,24,24,31974221.8,33897437.0,20107591,37089887,4807365.2,8229.8,7095.5,6279,27122,4169.8,31251702.2,33175255.0,19386577,36365117,4806335.3,714289.8,713987.5,710419,717619,2138.4,cuLaunchKernel,sembla_build_claim_instances
23889,23907,0,24,24,31746522.9,30941292.0,21028244,39096718,4718793.0,6482.7,5879.0,4627,10206,1677.8,31048372.2,30234675.5,20309069,38441873,4735942.0,691668.0,698099.0,639313,714515,20896.6,cuLaunchKernel,sembla_apply_effects
23889,23907,0,24,24,31715632.4,33399099.0,20727023,36630072,4347648.3,7388.7,7005.5,5568,12119,1508.9,31397099.4,33079371.5,20415483,36320462,4344696.9,311144.3,310296.5,301128,365354,12499.4,cuLaunchKernel,sembla_reduce_claim_keys
23889,23907,0,72,72,31688357.1,31217603.0,20175973,38169981,4665113.9,5558.7,4657.0,3125,24738,3152.4,31388490.5,30916951.5,19882935,37872603,4663890.3,294307.9,290535.5,287880,399498,17311.4,cuLaunchKernel,sembla_count_deferred
23889,23907,0,96,96,31543858.6,30812316.0,20497562,39959084,4659137.5,69550.4,6430.0,3396,1095497,177673.8,31472078.1,30794523.5,20385469,39506080,4637568.3,2230.1,1744.0,1152,6112,1178.7,cuLaunchKernel,sembla_validate_outputs
23889,23907,0,24,24,31359725.0,33403015.5,18921852,36829229,5047661.5,7022.5,7086.0,5218,9063,1081.1,31095058.3,33065140.5,18652608,36584816,5042528.9,257644.3,241542.5,237799,398027,43231.7,cuLaunchKernel,sembla_init_conflict_winners
23889,23908,0,240,240,31122704.6,31989587.0,21509369,36331072,2701994.0,8159.0,7321.0,3625,48634,4307.4,31043694.3,31813303.0,21272652,36278183,2707046.3,70851.2,44817.0,40545,371786,64541.3,cuLaunchKernel,sembla_mark_effect_active
23889,23907,0,24,24,31004459.9,32462683.5,17975593,36870325,5263044.8,6852.2,6039.0,4908,11007,1921.2,30995487.7,32454809.0,17963733,36863555,5263950.4,2120.0,1888.0,1152,4385,838.9,cuLaunchKernel,sembla_validate_claim_compatibility
23889,23907,0,240,240,30790720.1,30505864.0,19979963,38306069,4326722.4,22432.4,4361.5,3134,1087886,107392.3,30683411.3,30415867.5,19894457,38219572,4310457.7,84876.4,82738.5,81410,225126,11179.0,cuLaunchKernel,sembla_count_fired
23889,23910,0,240,240,30558577.4,28477812.0,24721997,39211572,4878265.9,9343.9,6885.5,4427,277592,18295.8,30466299.0,28389044.5,24631403,39119176,4878876.8,82934.5,82594.0,81762,91586,1090.0,cuLaunchKernel,sembla_count_fired
23889,23909,0,960,960,30485639.9,29981303.5,23783036,37367157,3080212.3,19676.9,6720.0,3174,1722493,77237.5,30372334.5,29866007.0,23680153,37265140,3083486.2,93628.5,92098.5,52705,288968,29960.2,cuLaunchKernel,sembla_prepare_effects
23889,23907,0,24,24,30218704.0,29981737.5,19955442,36935279,4242309.2,5887.6,5212.5,4226,11328,1722.3,30210055.0,29973232.5,19948991,36928186,4242565.4,2761.4,2000.0,1344,9888,2093.6,cuLaunchKernel,sembla_init_control_counts
23889,23907,0,24,24,30149267.3,29835296.0,19965128,36869988,4198488.6,6320.4,5252.5,4407,19589,3121.8,30138585.3,29827121.5,19958059,36862341,4198657.0,4361.7,2144.5,1600,23232,4910.4,cuLaunchKernel,sembla_prepare_outputs
23889,23910,0,96,96,29951846.4,27760716.0,24589170,36952129,4584138.8,17917.0,8017.5,4366,201005,29803.9,29930983.7,27746413.5,24577285,36945811,4585305.7,2945.7,1920.0,1184,8672,1791.2,cuLaunchKernel,sembla_validate_outputs
23889,23910,0,24,24,29932396.2,28020854.0,24532908,36375733,4587086.8,8092.9,7782.0,5970,10786,1355.2,29223501.9,27299525.0,23812222,35704760,4603645.6,700801.4,709955.5,650001,722164,20643.6,cuLaunchKernel,sembla_apply_effects
23889,23908,0,24,24,29874699.1,30215768.0,21032715,34714934,3206369.6,9111.8,8848.5,6791,15062,2048.4,28925451.3,29265395.5,20092763,33759682,3201772.1,940136.0,941945.5,917433,948281,6724.0,cuLaunchKernel,sembla_resolve_conflicts
23889,23910,0,24,24,29510109.4,27293576.0,24547834,36413801,4822679.0,7361.9,7040.5,5929,9895,1199.4,29499924.7,27281888.0,24534246,36406188,4823361.6,2822.8,2320.5,1472,5888,1297.7,cuLaunchKernel,sembla_init_control_counts
23889,23910,0,24,24,29460382.5,27248123.5,24516405,36423572,4812713.9,7668.5,7622.0,5669,12339,1499.5,29449389.9,27236741.5,24507741,36414121,4813367.2,3324.1,2720.0,1536,5504,1490.9,cuLaunchKernel,sembla_prepare_outputs
23889,23908,0,24,24,28881198.0,29363580.5,20102505,33591951,3279059.7,9314.3,8312.5,5809,24697,3748.8,28445732.3,28930038.0,19671657,33157551,3278245.4,426151.5,425579.5,420844,435980,3664.7,cuLaunchKernel,sembla_reduce_claim_instances
