Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 
Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
91.7,943521625,780,1209643.1,1664.0,1472,238274476,16837154.9,[CUDA memcpy Device-to-Host]
5.3,54052360,106,509927.9,509136.0,507136,525249,3518.3,[CUDA memcpy Device-to-Device]
2.0,20791228,212,98071.8,992.0,768,20569628,1412655.7,[CUDA memcpy Host-to-Device]
1.1,11048493,174,63497.1,992.0,768,396992,103009.6,[CUDA memset]

