name,value
births_total,200
deaths_total,227
final_max_generation,2
final_population,3818
internal_arrivals_total,23
internal_departures_total,121
locked_out_total,277
maximum_invalid_age_count,0
minimum_vacant_birth_slots,584
overseas_arrivals_total,54
overseas_departures_total,111
