# params={"birth_rate":0.025,"emigration_rate":0.004,"internal_arrival_rate":0.036,"internal_departure_rate":0.005,"mortality_adult":0.006,"mortality_old":0.024,"mortality_young":0.002,"overseas_arrival_rate":0.04}
# dt=1
tick,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,females,internal_arrivals_this_tick,internal_departures_this_tick,invalid_age,locked_out,males,max_generation,overseas_arrivals_this_tick,overseas_departures_this_tick,population,vacant_birth_slots,vacant_internal_slots,vacant_overseas_slots,fired_age_monthly,fired_birth_activate,fired_clear_event,fired_die_adult,fired_die_old,fired_die_young,fired_emigrate,fired_internal_arrive,fired_internal_depart,fired_overseas_arrive,deferred_total
0,372,199,181,222,15,43,1891,3,22,0,24,1876,2,6,10,3767,844,124,190,3818,15,66,13,29,1,10,3,22,6,2
1,383,200,176,214,21,41,1884,4,13,0,35,1853,2,10,11,3737,895,121,182,3767,21,99,10,29,2,11,4,13,10,0
2,397,195,173,212,17,25,1871,3,20,0,27,1837,2,7,11,3708,941,118,177,3737,17,100,5,20,0,11,3,20,7,0
3,415,198,168,214,27,24,1860,9,21,0,43,1837,2,7,9,3697,970,109,170,3708,27,83,10,12,2,9,9,21,7,0
4,429,198,161,210,20,34,1837,4,23,0,29,1818,2,5,14,3655,1002,106,166,3697,20,97,9,22,3,14,4,23,5,0
5,447,195,156,205,27,32,1826,3,16,0,35,1800,2,5,16,3626,1043,105,162,3655,27,100,10,20,2,16,3,16,5,0
6,465,196,155,200,27,38,1821,7,12,0,44,1780,2,10,19,3601,1079,98,153,3626,27,99,9,25,4,19,7,12,10,0
7,475,192,151,196,20,21,1799,5,20,0,27,1766,2,2,22,3565,1126,93,153,3601,20,113,6,15,0,22,5,20,2,1
8,494,195,150,192,29,22,1785,5,23,0,39,1758,2,5,16,3543,1159,88,149,3565,29,90,6,11,5,16,5,23,5,1
9,505,196,143,189,21,19,1771,3,26,0,31,1739,2,7,19,3510,1196,85,145,3543,21,100,4,13,2,19,3,26,7,2
10,523,194,140,188,26,30,1760,2,8,0,36,1734,2,8,14,3494,1232,84,138,3510,26,95,13,15,2,14,2,8,8,1
11,535,183,134,181,23,34,1735,5,23,0,30,1722,2,2,10,3457,1258,80,138,3494,23,88,9,20,5,10,5,23,2,1
