k,beta,gamma,peak_I,peak_tick
112,0.6150051273739405,0.06248516523647677,2513,49
113,0.8278314274702281,0.16608409362514623,1670,40
114,1.0865792597133663,0.07525820156039624,3214,33
115,0.8182640857579602,0.09560142051266768,2426,40
116,1.0675866710744655,0.08708655051789227,2935,33
117,0.7769742791344286,0.09103790211154836,2309,46
118,0.5827251590123083,0.1106485619516152,1667,49
119,1.108871165183581,0.07576015110146804,3033,33
120,0.7677168583925715,0.08960708895574068,2539,48
121,0.665000957379732,0.0785651510280384,2512,47
122,0.952297579015988,0.08228170902837262,2952,35
123,0.5748805120582174,0.09985045381348723,1928,49
124,0.5984975133254972,0.11420899194787432,1618,49
125,0.9450691692742269,0.10101123770745324,2621,36
126,0.6392444899857583,0.0958796404653223,2121,49
127,0.8167441898864632,0.09973364069273322,2404,40
128,1.3080007597018177,0.11300202870608447,3053,28
129,0.6423951097408646,0.10026037186358176,2182,46
130,0.6297337700832921,0.1127931885354248,1817,49
131,0.8273392182960404,0.10663586002947786,2312,38
132,0.9238216699245856,0.122279038903163,2077,43
133,0.8017959872431393,0.09394525281584794,2455,40
134,0.6663217302891666,0.114394594153172,1962,47
135,0.7492133867674781,0.08778686603299425,2427,46
136,1.415925227879157,0.0842463217692975,3276,26
137,0.8029964496895452,0.1294428446106897,2083,48
138,0.8598932867669492,0.176065264872923,1745,37
139,0.9371777777077881,0.07601403460291907,2697,42
140,0.9166235621859099,0.12051737238489126,2356,37
141,0.8370596103439262,0.061749090505424514,3034,42
142,0.5616627414521673,0.10230339325404941,1549,49
143,0.9139748844003316,0.14587644772970518,1797,41
144,1.377708168594721,0.06132967249195545,3605,28
145,0.9290875590384002,0.10956077927552034,2542,39
146,0.705581353666925,0.13307099778062748,1935,47
147,0.9756513871299207,0.12870052614352573,2445,36
148,0.6198121611589728,0.07901179413193218,2395,48
149,0.7813624684222744,0.11688270256750051,2214,44
150,0.9318255398906719,0.07416385458961064,3056,36
151,0.8631981269547084,0.0815308549166651,2922,38
152,0.5922534658527576,0.11281591457566109,1833,49
153,0.5617529422760441,0.10132352868827509,1645,49
154,1.1466959353843649,0.08585096328070957,2876,33
155,0.6143855822201276,0.07337205541437522,2408,49
156,0.7904717992116136,0.11005293796950555,2307,42
157,0.920822135437638,0.12305362766893559,2296,37
158,0.9859886932389416,0.07590243068034896,3093,32
159,0.8640044776638697,0.0558972414338002,3272,44
160,0.966774711382712,0.10841466604563921,2513,35
161,0.7670612218354806,0.08611494127753666,2530,42
162,0.9512532311558537,0.10048836995329061,2686,36
163,0.4723201313904629,0.13004638649206005,1055,49
164,0.6372666727233502,0.10117555040319526,2114,48
165,0.7653045154331877,0.11304052296713392,1730,42
166,1.0932899335931596,0.08835715634744244,2870,35
167,1.3305105328937965,0.09556208108714248,2843,31
168,1.3327439721116323,0.07808543311572377,3466,26
169,0.7398318714272787,0.11394603226652544,2254,41
170,0.6094921685034915,0.13635648259416294,1484,49
171,1.006340479309426,0.08936295222637895,2829,33
172,0.6350631281693598,0.11905164461554073,1846,49
173,0.7298422112811711,0.11325063230240462,2026,45
174,0.7854273218601053,0.125157970466817,2007,43
175,1.1075709162270853,0.13195399739314725,2214,31
176,1.360221476433475,0.09389592628031247,3186,26
177,0.5253954660796784,0.09013255010444232,1635,49
178,1.1125803203236684,0.1701489015319686,2097,31
179,0.8289740673452453,0.09863882286748576,2390,41
180,0.8219986259424285,0.09842814760163454,2559,40
181,0.5008082568082598,0.10096430429760173,1383,49
182,0.9189536936383179,0.14021847229030462,1929,36
183,0.8924199816237963,0.07104283790247981,2906,38
184,0.6242960790904852,0.10896234525065321,1983,49
185,1.1657582610112305,0.07537790825830204,3217,32
186,1.2903144631052506,0.13668728595731958,2494,26
187,1.019931285295763,0.08261383515048724,2936,35
188,0.7491416101423585,0.09701130451490715,2610,43
189,0.888047976144505,0.09632524430375508,2684,34
190,0.6400380790380014,0.16410559321921378,1194,44
191,0.9776734295036126,0.07236892157764814,2963,37
192,0.7135594886460466,0.10512967923180355,2010,44
193,0.6433321147868198,0.11102764150408667,2103,49
194,0.8377939256659162,0.11380421731367737,2366,38
195,0.5495578283768952,0.08960611902485853,1970,49
196,1.2270913850524645,0.1305720045990813,2674,29
197,0.7528484017713374,0.1081493613536938,2186,45
198,0.7769739678534646,0.10771725188262946,2173,46
199,0.9194427548748384,0.13574538673613418,2039,36
200,0.7142663993466883,0.11352283022680307,1895,49
201,0.8797404626736125,0.12708764997190863,2320,36
202,0.8176524684451357,0.08914707268497417,2609,41
203,0.8494367965285692,0.1172222694808012,2249,36
204,0.782407501406073,0.08945998447043123,2359,45
205,1.0949456765428414,0.10587063667451635,2799,34
206,0.8481431333730007,0.08897914984943299,2619,38
207,0.7579072440750746,0.08730794857067148,2331,41
208,0.6883380869021889,0.12109548639160488,2028,46
209,0.7192595098883283,0.13295681950060237,2014,40
210,1.00701270220383,0.080438684753036,3025,36
211,0.7700126718982094,0.0787568743403634,2912,44
212,0.947270147684928,0.07896859565809192,3058,35
213,1.0855227363477733,0.05781091468696313,3592,33
214,0.5885410826943781,0.09048489282919747,2138,49
215,1.0187457208043624,0.11682029497561429,2512,30
216,0.8450474027027903,0.11481652647310402,2516,40
217,0.7974400107088201,0.1235614804190428,2145,44
218,0.8693035130376435,0.08079234870999033,2649,40
219,0.956560025275891,0.10048168254414104,2752,35
220,0.5521899670010871,0.08564938707661637,1968,49
221,0.9239293747233662,0.06930101910452448,2928,40
222,0.6286357948176745,0.08798614200976271,2226,49
223,0.8036951372038188,0.08669906987714127,2494,41
224,0.7362321975713149,0.07533786881629453,2744,45
225,0.6171779341631717,0.0915550698979812,2197,49
226,0.8549294027247473,0.1312627084953155,2054,42
227,0.9738459963366253,0.10719330501656016,2640,35
228,0.6026771696676522,0.09297659050868481,1901,49
229,1.0896199322298592,0.07444829805847669,3198,35
230,0.7403740896396744,0.12329944123881852,2042,43
231,0.8647607215065196,0.09102866923624277,2514,38
232,1.2782250986870936,0.08615237012090349,3304,26
233,0.9601108351164865,0.09002843832880664,2626,38
234,0.9805388651650477,0.0836386277872484,2688,38
235,0.7742665383870426,0.1163042379314124,1706,38
236,0.8147583771249253,0.141763251703437,1896,38
237,0.8419300356240416,0.14326173391155256,2092,35
238,0.592348071179819,0.09017642377771566,1868,49
239,0.8235643085499654,0.07993158601735725,2678,44
240,0.5835098048591866,0.1345027191891202,1374,49
241,0.9671268826073892,0.1000271333621281,2881,34
242,0.7139229120756162,0.06548726302865703,2803,48
243,0.8103592070053801,0.11095762351589215,2155,39
244,0.9449524979631666,0.09986509026713855,2341,41
245,0.8210710469780386,0.09209783831345869,2597,40
246,0.8589264468195679,0.08239131419616426,2718,44
247,1.3149675833304777,0.10393634129462125,3013,26
248,0.9082852116148791,0.0779502456952435,2935,35
249,0.4355562075212442,0.07298818065330301,1762,49
250,0.6301280815333343,0.11373291478695956,1977,47
251,0.9566013124794569,0.14406799743684323,2206,36
252,0.6338833743467973,0.16358507288352275,1212,49
253,0.9712993700167691,0.08056457289740654,2992,36
254,0.8804359852358224,0.07808284318186119,2958,35
255,0.8179611860475707,0.1337137461566016,2086,39
256,0.8716067530740103,0.10869620087181754,2389,41
257,1.1917309352081793,0.08775449543363721,3111,30
258,0.570822640400015,0.08301992790941994,1879,49
259,1.1719893180160343,0.13265284419555934,2398,34
260,0.5268298125758213,0.0931264815100685,1877,49
261,1.584927500182042,0.10831006807111469,3167,22
262,0.7755758823244219,0.11266959893446772,2016,46
263,0.6528165211579184,0.07111611733589149,2434,49
264,0.6438485905223825,0.10361112358057309,1979,49
265,1.040597971819847,0.07220348681242977,3132,34
266,1.0416898701754322,0.10496296734572229,2744,33
267,0.8179592598764719,0.10227474265696065,2540,39
268,1.2650839144363961,0.09257407203592347,3034,29
269,0.8424731904517145,0.11883148789128448,2174,42
270,0.5264763512345252,0.11873025149760831,1335,49
271,0.9130177964836605,0.11832025371776364,2271,35
272,0.9847239135022394,0.19302626387120358,1934,30
273,0.7502578835323942,0.05915700041626576,3124,45
274,0.8571291230537523,0.19519036284850805,1545,38
275,1.004155912595426,0.1275954753857974,2492,34
276,0.8470437530030609,0.06376088531769017,3069,41
277,1.5208759754290408,0.13480834410984754,2847,24
278,0.7142095045412662,0.10751383126816266,1743,46
279,0.6191572752741478,0.0873430281597564,2350,49
280,0.6923376903279355,0.1542609345765656,1473,46
281,1.2388069865186975,0.08493331607445787,3207,26
282,0.7601249031594544,0.058337990339570836,2696,46
283,0.6054534383537719,0.05947435270045253,2689,49
284,0.8475317581036717,0.11471481572265593,2162,38
285,0.7481849286706873,0.10538314487014588,2208,44
286,0.912870660471921,0.07348046037242553,3117,36
287,1.05417084623141,0.13729168765472693,2338,33
288,0.9092589496748519,0.07734490467292401,3072,36
289,0.7616082785760484,0.07102617566387737,2963,41
290,1.0055255671322063,0.12726506289390285,2407,30
291,1.263033881795975,0.10529108760686991,3015,28
292,0.7108053777784001,0.11391580646882313,2148,42
293,0.7737569787221595,0.10162945944881399,2297,45
294,0.8951144677182233,0.10893134330146718,2298,38
295,1.008229308856007,0.09891279337949382,2784,32
296,0.8780998912051319,0.11444646851317594,2384,40
297,0.6611739464195601,0.1305020503893532,1927,48
298,0.8248729360545526,0.07237446303791172,2932,41
299,1.0452872264657735,0.08912959713325622,2781,36
300,1.063249259940249,0.08025260426706189,3149,31
301,0.4755965563529704,0.05844114023568736,1687,49
302,0.8678257409412212,0.06853146099520425,3049,40
303,0.9532589556795092,0.08146566655341815,3022,32
304,0.7419407448024857,0.12585514603150094,2095,46
305,1.4335355243815715,0.08521256713397178,3292,26
306,1.1425856810574757,0.0968546878328964,2929,33
307,0.9424229782688869,0.12993558169610703,2302,33
308,0.6057120839553032,0.08450371947183265,2126,49
309,0.9012885334046271,0.10256247249316365,2247,43
310,0.8703268626100404,0.11975379555946615,2141,39
311,0.6593769997942741,0.08785225686299222,2340,49
312,1.248470825219154,0.057078789572547584,3442,29
313,0.719952338558459,0.11127822998487982,2037,44
314,1.1037641601101973,0.11421470840561072,2669,32
315,1.0426448782451168,0.11566863337613287,2598,33
316,0.5660925243542498,0.06639705827552907,2266,49
317,0.7736308558512743,0.12691685925017493,2130,40
318,0.8354779945688023,0.09273535983547951,2449,41
319,1.1203088894865,0.059479955601734275,3301,35
320,0.6087781522314348,0.12570836401696042,1514,48
321,0.9591703699484428,0.05310485206993817,3413,37
322,1.0240888051124657,0.10628748911103973,2732,32
323,0.9165986829132946,0.13410455330680462,2198,36
324,0.764460342786328,0.0774215042697517,2645,45
325,0.965376667435886,0.06888041524509643,3040,37
326,1.0755349615391805,0.0768468107695168,3145,33
327,0.6136604588721776,0.12110438262203771,1552,49
328,0.5842453146320519,0.16207605694673166,1217,47
329,0.672818269094392,0.05655878695495341,2802,49
330,0.5823235019115027,0.14477150363248115,1120,45
331,0.6667865233326331,0.09795255438579278,2160,49
332,0.8300509444687434,0.0841332038432032,2736,42
333,1.2403796426824174,0.0957659759361153,3069,27
334,0.605167921165331,0.12647197000868715,1476,49
335,0.7084246509230665,0.10516451546195464,2131,47
336,1.0299361459857272,0.16434011850212488,1975,33
337,0.7298213447707386,0.1163643345441874,1978,47
338,0.6562501390932945,0.07411815259332545,2582,48
339,0.7800002367182438,0.1401201938147715,1769,47
340,0.6077398034145709,0.09111118611680771,2177,49
341,0.6808264951095025,0.13663359217168336,1585,43
342,1.282940212316397,0.1089760848674362,2939,29
343,1.2245372749077328,0.12672290574436937,2738,28
344,0.4452534039995421,0.07892045408232654,1487,49
345,0.513486378474744,0.07449647342812163,1969,49
346,0.7768787400757529,0.11491365416651851,2266,43
347,0.9665543287059839,0.11068854120383337,2334,36
348,0.7870355120787174,0.10196304354679567,2503,41
349,1.0054746699767196,0.12311031738282352,2556,32
350,0.607573717401237,0.14222980647799802,1654,49
351,1.1031909375090487,0.11848307906888177,2710,32
352,1.0232195398801125,0.08017909319381152,3141,34
353,0.7292868887059157,0.08195585268176278,2616,40
354,0.5343348709578056,0.1444289660365689,1082,49
355,0.9492817257602226,0.12362107772291346,2193,38
356,0.7370147945016144,0.14439210061317947,1745,41
357,0.9744555612954082,0.0815682744358398,2986,35
358,1.2443844361477856,0.09126038821550175,3174,29
359,0.7210049757667517,0.10566524188648085,2139,47
360,0.7358879275567598,0.07781045108100815,2225,43
361,0.8549393087547482,0.10225505007126742,2174,43
362,0.7298166021264407,0.06824625390335423,2647,46
363,0.5917113245294472,0.1069697688838861,1508,49
364,1.0029409001024665,0.10055992497508473,2833,31
365,0.6197263295480945,0.08090693858381226,2102,49
366,1.124194167816429,0.08557909004348196,2943,34
367,0.8081686489260644,0.10302211939212481,2529,43
368,0.6014658269371957,0.08048188656498453,2336,49
369,0.7225368306148057,0.08091746422800894,2620,43
370,0.8897775689996933,0.11219492061670634,2397,38
371,1.1035166877572347,0.07726789439263747,3192,29
372,0.8819932452532917,0.10659813098163096,2559,35
373,0.8874662831698013,0.15862053617402366,2001,36
374,0.6938288265136083,0.07275826189333827,2557,49
375,0.8236080187476003,0.10675824798362356,2365,40
376,0.9158278340665001,0.0755737285847687,2754,37
377,0.5560597186035784,0.0854027037023855,1933,49
378,0.7934819165334495,0.1320818365362877,1967,42
379,0.6297111546326287,0.12009396866345043,1683,49
380,1.093110566607651,0.07194033012618145,3160,31
381,0.6950290220063112,0.1673091213645508,1224,40
382,0.5921197432887804,0.1441051614374293,1261,48
383,0.7175105925959921,0.07584155502250603,2502,49
384,1.2206510104101145,0.13199419908503054,2716,32
385,0.702438911956578,0.1242963741289987,1916,46
386,0.8084006850158958,0.1838021964602711,1423,43
387,0.8059381018359206,0.09915886281708765,2517,42
388,0.8869393659216607,0.10830584654641331,2579,36
389,0.9900274274210561,0.09549138383409135,2821,32
390,1.0330882138989896,0.06996036939625738,3250,33
391,1.099390261638791,0.08317011365860016,3126,35
392,1.4086560093805471,0.07364963453098912,3337,27
393,0.7589757283647816,0.1139241447580747,1876,49
394,1.0062899025012522,0.07483471733481283,3081,34
395,0.6688503291214791,0.19932199474998552,913,41
396,0.6531200503945729,0.06657338434413948,2594,49
397,0.7850109494061481,0.10439667439663233,1827,41
398,0.5756007044963802,0.09604504689422741,1522,49
399,0.637030476985478,0.08576311936916114,2438,49
400,0.6087627892908329,0.08171587252949275,2180,49
401,0.6948466150712019,0.09137985056290124,2291,45
402,0.865751516916291,0.08823369271398963,2789,40
403,0.6235877446431518,0.16594992860944216,1093,42
404,0.8264171903118089,0.15535007011028204,1729,42
405,0.9351811000129733,0.17201675477468437,1803,35
406,1.0557913637240444,0.0699244800484616,3286,32
407,0.9169548070991537,0.08928820865819048,2736,39
408,0.6844299734992147,0.09982159689835013,2269,45
409,1.181423900113933,0.09342106294488081,2996,29
410,0.6269888800091782,0.09226371846979822,1985,49
411,0.605502694419375,0.05835310525539273,2822,49
412,0.6459438603180734,0.0848293116774071,2208,49
413,1.225061843670502,0.09373749070436709,3076,29
414,1.0090363478979112,0.09615123363628739,2887,35
415,0.6934203349345839,0.0891284572009707,2523,49
416,0.6961877034282745,0.10118788111372641,2233,45
417,0.7559747844970408,0.11187431277563616,2294,43
418,0.5831921141342379,0.14028720489495333,1359,49
419,0.8581968197021588,0.08551465805178551,2745,38
420,1.0857638396649727,0.12115674115721968,2783,32
421,1.129035805857399,0.06914663876772195,3257,35
422,0.43998867720225276,0.11958566510304454,938,49
423,0.512667280583739,0.08221955298814405,1782,49
424,0.657798501201664,0.13154945916774555,1732,47
425,0.7934820271836243,0.07601158018057241,2815,42
426,0.7459015852982331,0.10017864027735604,2319,46
427,1.2443138707775212,0.06131180223120397,3606,30
428,0.44070199723818715,0.08885565999470077,1243,49
429,0.5817695563077099,0.09148932272587333,1574,49
430,0.8162932339040803,0.12362443899965728,2113,40
431,1.2453488662669676,0.10158602111079082,3083,29
432,1.0190600580506093,0.16790781366633808,2019,34
433,0.6138118722156531,0.07970500113687941,2147,49
434,0.9717055018310432,0.0776304819597932,3074,37
435,0.785206338564043,0.09222937053579898,2414,42
436,0.6927407006458164,0.1269431577069873,1779,41
437,0.9997845464733185,0.08882084461545964,2484,33
438,1.4259041135599968,0.10720002262951119,3060,24
439,0.791060426307894,0.10240352599449745,2277,44
440,0.8739979130941389,0.1064355293641858,2413,40
441,1.0793140485945614,0.0777695739206818,3214,31
442,0.5571720755607347,0.11400773196702385,1575,49
443,0.47045567620781886,0.10327093806382172,1278,49
444,1.1459371889344343,0.12441107526150162,2361,30
445,0.8800366698387888,0.11160354627383073,2379,38
446,0.9403938444922121,0.06593881935758714,3131,35
447,0.48600604325321645,0.13820839605859833,1049,48
448,0.7334292180104218,0.08069355483310281,2540,46
449,0.7753192530212426,0.1454614195589658,1642,41
450,0.4708280600304319,0.092556915336562,1589,49
451,0.6532518831047984,0.1655195877833176,1336,46
452,0.7509712706221363,0.15987296062676168,1492,42
453,0.6066463051321204,0.10386822682076327,1900,49
454,0.5643121387709843,0.08963876831299862,1642,49
455,0.5823879445784625,0.11881552224821748,1766,49
456,0.9562557714752671,0.10415049839215257,2346,43
457,0.6780864026960708,0.11705309462667382,1883,49
458,1.2173429941073688,0.08736426369925684,3143,29
459,0.914050620501544,0.09674979824076277,2711,36
460,0.7105870166769162,0.10317462078163377,1963,49
461,0.6464979379278127,0.12022430851176057,1934,49
462,0.5993225522945728,0.09782087212311165,1931,49
463,0.9814389319667195,0.0917728421966337,2769,35
464,0.6345781137129564,0.10300105182607158,1999,49
465,1.141037856137098,0.13301383511753176,2403,29
466,0.5778751710919175,0.104181152941686,1951,49
467,0.8300933616197634,0.12331274769912427,2168,39
468,1.1426065478842993,0.11181610716269921,2287,27
469,0.8672038754873383,0.10303823292352914,2524,40
470,0.6159461178706115,0.10418181693188037,1892,49
471,1.0214842256112464,0.05982874222824792,3316,34
472,0.7202634799650349,0.13047450429695856,1770,49
473,0.8308338485511162,0.08294388855887194,2736,38
474,0.6233500505481062,0.1163066498173953,1806,47
475,0.9862189451541542,0.07294897957706936,2975,35
476,1.0429659137461915,0.086871629397094,2992,35
477,0.791906223635177,0.1229820405771429,2177,42
478,0.7514489451998185,0.1478440656584743,1816,43
479,0.7056373474074141,0.08410465211699261,2293,48
480,1.1993916188997322,0.09386216305040196,3107,28
481,0.7957119777382433,0.17073647525246471,1615,41
482,0.7574898713215403,0.16417162325685294,1582,39
483,1.0005800670419653,0.15135541625254714,2129,35
484,0.9696056236304104,0.09033951569101133,2436,38
485,0.5598675399301244,0.07430036066124457,2201,49
486,1.0762009994546815,0.09131434597201737,2889,33
487,1.7289831330924479,0.09065910197415519,3407,20
488,0.5496326970178123,0.08058232940175421,2036,49
489,0.8291826061475064,0.12203284784836134,2137,41
490,0.8723688604679475,0.10335605529261492,2365,42
491,0.8786344520564678,0.11898799490721228,2251,40
492,0.6852353139911128,0.11312986995584501,2040,49
493,0.8842767140465105,0.1132599015816945,2430,37
494,0.8177341103996161,0.19255514700453746,1526,39
495,0.80500420110981,0.07443185011421592,2409,37
496,0.7921728200576545,0.12420542653090509,2106,43
497,1.1804592287491988,0.09150214891095781,2898,30
498,0.7248407338049667,0.1417361248255907,1609,44
499,0.8758456593676067,0.10041467428529474,2522,40
500,0.8614566761919765,0.08809046209741384,2666,42
501,0.8588318352660076,0.09866154339291933,2419,39
502,0.7444766489054291,0.12182492248062105,2077,41
503,0.7777531084492344,0.12975003458753415,1869,45
504,0.8091067500267544,0.0923503256108143,2468,44
505,1.1188926414224958,0.08326698120521514,3060,31
506,0.8079422240511496,0.1239509075645794,1969,39
507,1.0810912678025517,0.0627351971188803,3484,31
508,0.568162266287053,0.11238173367754167,1465,49
509,0.9226543242271763,0.08229119234866634,2916,39
510,0.7906266227655888,0.07815960781853923,2731,42
511,0.5237254639375595,0.09944313460074852,1348,49
512,0.473486970957556,0.10112938462927536,1265,49
513,0.6507476937810829,0.08940848111540141,2192,48
514,0.8026334421536128,0.11748642158549635,2340,40
515,0.5971980898947887,0.11122310404829604,1910,48
516,0.5835099299304914,0.09096714622769378,1954,49
517,0.5321504981195544,0.10238855589639934,1442,49
518,1.9566777942220575,0.06891912452247827,3684,20
519,0.6171965281561869,0.08782718090909891,2348,49
520,0.5730655473125915,0.09124882665896054,1800,49
521,1.0875166441169566,0.10315933750734875,2772,33
522,0.9370633051216037,0.07066390724570601,3071,38
523,0.44239885796226597,0.09779014182834539,1353,49
524,0.7318795210533545,0.12099685064037367,2017,41
525,1.1372851923823803,0.09496991211953812,3032,28
526,0.7963022710053597,0.09275677191975197,2490,45
527,1.111224638600525,0.09634851261583546,2904,31
528,0.5100680026823226,0.12340729590259876,1132,49
529,0.6790099239457197,0.10283913407412786,2129,47
530,0.857982697004059,0.13027893175947658,2266,38
531,0.9781285251516499,0.09018595799707675,2910,35
532,0.7262279980452759,0.11934962472376003,1918,49
533,1.2346434610320118,0.10413902419243862,2954,28
534,1.1223057631545803,0.1320520955126301,2725,29
535,1.0033020489425641,0.1590303242918746,2204,36
536,0.560544880279429,0.06519746491014541,2305,49
537,0.6511089268049187,0.06865498834724931,2605,49
538,0.9305063924467273,0.10945598183582121,2465,36
539,0.7492276322636795,0.1065463976271458,2233,44
540,0.9377119924115006,0.12478459129641611,2253,37
541,0.6866676824510684,0.09344969024079254,2432,47
542,0.6859183146162904,0.12636608323194007,2038,42
543,0.7196534757985502,0.12800719732587068,1763,44
544,0.7133839365140704,0.09665946737908797,2377,47
545,0.6088562668790767,0.10504023353575276,1945,49
546,0.7440340865164021,0.08722749164064886,2668,42
547,0.6413546299198812,0.08468593951376374,2435,49
548,1.0956507851124728,0.0933253742099234,2919,32
549,0.7152949996031981,0.12490902817996935,2118,39
550,0.7769102918050012,0.13704280286731763,1808,45
551,0.6761600443782845,0.13451147607783684,1725,48
552,1.2117339297227625,0.11658920334057005,2853,28
553,1.2483298208127802,0.11898661829662363,2820,26
554,0.8769444428253242,0.1355962515408417,2067,38
555,0.91209337358897,0.08235843560455225,2811,37
556,0.7691295210776705,0.12454668703346443,2093,42
557,0.5355882163298774,0.12343487777596196,1211,49
558,0.764273732320114,0.10965974370497955,2196,40
559,0.9388260201269835,0.08888408707298848,2974,33
560,0.8237339658235263,0.09221986018352743,2785,41
561,1.0985181902500736,0.12336963304613563,2749,29
