k,beta,gamma,peak_I,peak_tick
0,0.6248877930116772,0.07685910658702123,2425,49
1,0.8549566462233749,0.10987929277763764,2369,39
2,0.808768358492677,0.12058651623872062,2014,39
3,0.7597517006149839,0.11602584746727666,2248,38
4,0.6590027982036538,0.10132571512977584,2055,48
5,0.8693798582488194,0.0911501171029408,2820,39
6,0.45516235459796955,0.09034480974297154,1502,49
7,1.1009914043423408,0.07677839016183292,3193,31
8,0.5758842855518295,0.07152053877672834,2112,49
9,0.5227366558269363,0.09605631065230216,1488,49
10,0.7852056903769885,0.12370455551639614,2201,40
11,0.7113163707198422,0.06549597426958115,2893,48
12,1.043287741673984,0.11112386646682934,2518,36
13,0.9390746102732658,0.07858505941235949,3031,35
14,0.9595975825095684,0.10506577487631424,2578,38
15,0.78175037285662,0.10903571434412257,2156,43
16,0.8300655356553507,0.08936215774668133,2590,41
17,0.8031874316964414,0.059964490703162836,2974,41
18,0.8382961103669568,0.10832405708010828,2394,43
19,0.8880554335439429,0.11034894227507554,2208,39
20,0.8446193719096411,0.07594681336029718,2767,38
21,0.9733552279300937,0.07394980070656512,3152,36
22,1.036965999779931,0.12386552882638392,2226,33
23,1.1092965432088326,0.04907935296390571,3530,34
24,0.5476818974953036,0.09358677869069795,1700,49
25,0.6859462083033582,0.10595409954350407,2077,49
26,0.5502232633044394,0.13931350554953287,1348,49
27,0.9231811470102992,0.07743842199523152,3023,36
28,0.553814993066235,0.12892790947271865,1459,49
29,0.7625174146638172,0.0835653523679577,2629,44
30,0.9632994707447424,0.09938295104559433,2761,35
31,0.9523214860551179,0.1325738404749529,2313,36
32,1.1367407713185576,0.09457739440992394,2973,31
33,1.161082626940141,0.07656554381220709,3265,30
34,0.9146241124413133,0.11163868410744589,2404,40
35,1.0939320978203317,0.0698862427259941,3200,30
36,0.6629859325322601,0.16361582231176508,1415,48
37,0.7569683216238137,0.08537202313365096,2529,45
38,0.6705399782759749,0.0913884248190739,2218,46
39,0.7294674931880069,0.08109946869700975,2726,46
40,0.9850078237435094,0.12003959362630678,2625,32
41,0.607471674464033,0.11768766518169586,1492,49
42,1.011912780786478,0.13276883764846548,2405,30
43,0.87705452879162,0.08410340593699422,2737,41
44,0.6775838108254502,0.10150796188826744,2213,45
45,0.8194670812922091,0.08695298620233056,2642,42
46,0.8158686259094656,0.09350638403448815,2548,40
47,0.8997718181786202,0.07357367839464973,2952,39
48,0.7042504361876306,0.06315211040621273,2846,43
49,0.7012824819127883,0.1614070677986783,1252,39
50,1.0332233910669015,0.10141360661336653,2624,34
51,1.271730995022915,0.07942017330566838,3221,28
52,0.7728266472816503,0.13853031811514344,1886,41
53,0.8777875891188855,0.11717662607852442,2225,42
54,0.8675569548257698,0.14287936534818083,2063,37
55,0.6761562993856339,0.10805471827628142,2160,46
56,1.1554522157291829,0.07713654209455235,3289,31
57,0.591487823373541,0.08797488653668178,2012,49
58,1.0789594468156443,0.09598771081748814,2915,30
59,0.6500508447506739,0.09956789948911043,2310,49
60,0.5620279517499827,0.08759362638459228,1973,49
61,0.6007162796939862,0.08680569826833778,2175,49
62,0.4487935975811547,0.14264625730535024,847,49
63,0.6330870076293614,0.07798253135491642,2396,49
64,0.5874343597131626,0.07397551717006415,2442,49
65,0.6642025326423535,0.13321569870063635,1725,49
66,0.7612791717815993,0.09795984462105788,2429,43
67,0.8481051161652845,0.12234578692440884,2267,40
68,0.5449843011013974,0.09786444468518324,1874,49
69,0.9255418546223427,0.09024735662828705,2469,41
70,0.6850108421042842,0.0965303827898237,2337,48
71,1.1676592346358379,0.07097557765132194,3162,33
72,0.4655999366342151,0.0852088014445247,1503,49
73,0.8910763675421344,0.14057128932952892,2281,37
74,0.8475394498001374,0.07779113219935219,2842,41
75,0.7518499399873769,0.0715833476199006,2721,46
76,1.0893976295807277,0.1278998498608907,2599,30
77,0.7022002395879536,0.09918460720812768,2088,49
78,1.2897352302622367,0.08489332238727398,3247,28
79,0.91608907630458,0.1175103377957987,2366,35
80,0.5450591355970937,0.13219391322074106,1347,49
81,1.0775745171775573,0.08612616653427872,3004,34
82,0.43300007537285473,0.12582450825146607,1128,49
83,0.9392207448862728,0.15316835761423053,1831,36
84,0.8285180340985371,0.078491242761548,2804,41
85,0.6702242416651376,0.1703139098252933,1393,45
86,0.647046361415619,0.08011981169045775,2389,49
87,0.6572892481927992,0.09573056972155704,2055,47
88,0.692062711111389,0.13056831266932303,1983,42
89,0.7400726278750662,0.10406290151670046,2446,46
90,0.7814593497977862,0.09602987097064525,2370,42
91,0.7919139730551982,0.16673469027665855,1738,40
92,0.6170862658377684,0.10233119886575212,1965,49
93,0.7322946641957919,0.09210445651222954,2324,49
94,0.6613722804670032,0.12054147076919969,1875,47
95,0.4243514761149372,0.09124760803454106,1289,49
96,0.989084707915648,0.10651269692532253,2746,36
97,0.616879889396419,0.11308062292727246,1690,49
98,1.3217300063293975,0.09270145562676896,3208,27
99,0.7101415084575227,0.10204548484978948,2117,46
100,1.180781843969284,0.09670551888188646,2936,27
101,0.9373762468101472,0.07264722144830903,3164,37
102,0.8471499697842206,0.1441331579568429,2059,41
103,0.5604009221186628,0.09290409581266931,2059,49
104,0.6968061479835317,0.12058499011252913,1867,49
105,0.949209722263144,0.1236350478665979,2425,35
106,0.9121504027195141,0.13505801671478943,2139,34
107,1.0335007877062217,0.10809695053824774,2707,33
108,0.6050294823306321,0.11191281189934917,1826,49
109,0.7003649920959015,0.04985237926587741,2984,49
110,0.6508100151509677,0.0792153750389675,2429,49
111,0.7125394295116891,0.06952508472302106,2705,49
