name,value
final_population,780372
maximum_invalid_age_count,0
births_total,76613
deaths_total,64113
overseas_arrivals_total,19568
overseas_departures_total,26950
internal_arrivals_total,10561
internal_departures_total,35307
minimum_vacant_birth_slots,117239
final_max_generation,3
locked_out_total,106742
