year,sex,age_band,rate_per_1000
2017,female,65-69,7.0
2017,female,70-74,11.8
2017,female,75-79,21.4
2017,female,80-84,41.3
2017,female,85-89,83.8
2017,female,90-94,159.8
2017,female,95-99,269.1
2017,male,0-4,0.8
2017,male,10-14,0.1
2017,male,100+,451.4
2017,male,15-19,0.4
2017,male,20-24,0.6
2017,male,25-29,0.7
2017,male,30-34,0.8
2017,male,35-39,1.1
2017,male,40-44,1.6
2017,male,45-49,2.3
2017,male,5-9,0.1
2017,male,50-54,3.2
2017,male,55-59,4.9
2017,male,60-64,7.4
2017,male,65-69,11.5
2017,male,70-74,18.7
2017,male,75-79,32.5
2017,male,80-84,58.8
2017,male,85-89,111.4
2017,male,90-94,194.9
2017,male,95-99,292.8
2018,female,0-4,0.6
2018,female,10-14,0.1
2018,female,100+,444.9
2018,female,15-19,0.2
2018,female,20-24,0.2
2018,female,25-29,0.2
2018,female,30-34,0.3
2018,female,35-39,0.6
2018,female,40-44,0.9
2018,female,45-49,1.3
2018,female,5-9,0.1
2018,female,50-54,2.0
2018,female,55-59,3.0
2018,female,60-64,4.5
2018,female,65-69,6.7
2018,female,70-74,11.2
2018,female,75-79,20.6
2018,female,80-84,38.9
2018,female,85-89,78.9
2018,female,90-94,152.7
2018,female,95-99,253.7
2018,male,0-4,0.8
2018,male,10-14,0.1
2018,male,100+,383.1
2018,male,15-19,0.4
2018,male,20-24,0.6
2018,male,25-29,0.6
2018,male,30-34,0.8
2018,male,35-39,1.1
2018,male,40-44,1.4
2018,male,45-49,2.1
2018,male,5-9,0.1
2018,male,50-54,3.2
2018,male,55-59,4.9
2018,male,60-64,7.5
2018,male,65-69,11.2
2018,male,70-74,18.1
2018,male,75-79,30.8
2018,male,80-84,56.5
2018,male,85-89,106.7
2018,male,90-94,185.8
2018,male,95-99,278.4
2019,female,0-4,0.7
2019,female,10-14,0.1
2019,female,100+,454.6
2019,female,15-19,0.2
2019,female,20-24,0.3
2019,female,25-29,0.3
2019,female,30-34,0.4
2019,female,35-39,0.6
2019,female,40-44,0.9
2019,female,45-49,1.4
2019,female,5-9,0.1
2019,female,50-54,2.0
2019,female,55-59,3.0
2019,female,60-64,4.6
2019,female,65-69,6.9
2019,female,70-74,11.7
