run_year,state,arrivals,departures
2010,act,7270,5540
2010,nsw,141980,90300
2010,nt,4810,3710
2010,qld,84250,49620
2010,sa,20160,10990
2010,tas,3470,2480
2010,vic,104900,60270
2010,wa,64930,28500
2011,act,9490,5470
2011,nsw,140860,83640
2011,nt,6750,3420
2011,qld,93210,46670
2011,sa,22980,10630
2011,tas,3780,2260
2011,vic,112280,56100
2011,wa,77980,27200
2012,act,8690,5780
2012,nsw,152630,85870
2012,nt,7840,3490
2012,qld,92800,50970
2012,sa,22580,10900
2012,tas,3920,2300
2012,vic,119250,60210
2012,wa,74380,32240
2013,act,8990,6270
2013,nsw,155530,88540
2013,nt,6260,4510
2013,qld,83800,56580
2013,sa,23620,11980
2013,tas,4190,2390
2013,vic,122250,65350
2013,wa,60030,41280
2014,act,9520,6020
2014,nsw,160910,90610
2014,nt,6900,4550
2014,qld,78980,58540
2014,sa,23280,12130
2014,tas,4210,2680
2014,vic,128170,67480
2014,wa,53290,39220
2015,act,9470,6140
2015,nsw,170890,90890
2015,nt,6370,5320
2015,qld,83170,58220
2015,sa,23410,12120
2015,tas,4210,2440
2015,vic,140220,68000
2015,wa,51540,39920
2016,act,10330,6180
2016,nsw,198300,92790
2016,nt,6900,5060
2016,qld,87820,53750
2016,sa,23820,11640
2016,tas,4700,2360
2016,vic,159630,68380
2016,wa,48640,36630
2017,act,10970,6380
2017,nsw,191450,100800
2017,nt,5020,4270
2017,qld,85440,57700
2017,sa,24100,11380
2017,tas,5110,2300
2017,vic,161170,74200
2017,wa,44190,32210
2018,act,9950,7140
2018,nsw,194270,109720
2018,nt,5550,4620
2018,qld,91660,59920
2018,sa,26650,11510
2018,tas,5880,2690
2018,vic,168310,82840
2018,wa,48080,30590
2019,act,9380,7140
2019,nsw,172430,114540
2019,nt,4120,3840
2019,qld,85590,57620
2019,sa,27740,12810
2019,tas,6510,2870
2019,vic,150640,90070
2019,wa,50400,25240
2020,act,2810,5960
2020,nsw,70530,77850
2020,nt,1450,1870
2020,qld,23440,36300
2020,sa,6020,8840
2020,tas,1610,1930
2020,vic,27140,80130
2020,wa,12970,18030
2021,act,8840,5480
2021,nsw,152230,81510
2021,nt,4810,1950
2021,qld,64660,34100
2021,sa,23070,8570
2021,tas,5350,1910
2021,vic,128730,62040
2021,wa,36130,20410
2022,act,13260,4850
2022,nsw,249870,71830
2022,nt,6360,1890
2022,qld,124280,37660
2022,sa,38130,8780
2022,tas,7220,2420
2022,vic,212040,52150
2022,wa,87180,20440
2023,act,11590,5720
2023,nsw,215290,82170
2023,nt,5690,1930
2023,qld,116500,44770
2023,sa,33030,9680
2023,tas,6370,2230
2023,vic,189390,61510
2023,wa,83440,24170
2024,act,11010,6030
2024,nsw,182730,91160
2024,nt,5580,1980
2024,qld,105940,50190
2024,sa,29110,10380
2024,tas,5320,2590
2024,vic,159070,71300
2024,wa,69540,29140
