year,state,sex,age,persons
2010,nsw,female,30,49753
2010,nsw,female,31,49313
2010,nsw,female,32,48696
2010,nsw,female,33,48723
2010,nsw,female,34,48641
2010,nsw,female,35,49433
2010,nsw,female,36,50840
2010,nsw,female,37,52360
2010,nsw,female,38,54092
2010,nsw,female,39,54577
2010,nsw,female,40,50938
2010,nsw,female,41,50488
2010,nsw,female,42,48413
2010,nsw,female,43,47791
2010,nsw,female,44,47682
2010,nsw,female,45,48809
2010,nsw,female,46,50661
2010,nsw,female,47,51713
2010,nsw,female,48,51267
2010,nsw,female,49,51321
2010,nsw,female,50,49760
2010,nsw,female,51,48611
2010,nsw,female,52,48385
2010,nsw,female,53,46845
2010,nsw,female,54,45765
2010,nsw,female,55,45040
2010,nsw,female,56,43516
2010,nsw,female,57,43137
2010,nsw,female,58,41570
2010,nsw,female,59,40814
2010,nsw,female,60,40283
2010,nsw,female,61,39096
2010,nsw,female,62,39470
2010,nsw,female,63,40891
2010,nsw,female,64,35117
2010,nsw,female,65,33986
2010,nsw,female,66,32632
2010,nsw,female,67,29631
2010,nsw,female,68,28762
2010,nsw,female,69,27414
2010,nsw,female,70,26258
2010,nsw,female,71,25309
2010,nsw,female,72,24263
2010,nsw,female,73,23539
2010,nsw,female,74,22981
2010,nsw,female,75,21762
2010,nsw,female,76,20449
2010,nsw,female,77,20055
2010,nsw,female,78,19655
2010,nsw,female,79,19848
2010,nsw,female,80,19285
2010,nsw,female,81,18398
2010,nsw,female,82,17600
2010,nsw,female,83,16355
2010,nsw,female,84,15345
2010,nsw,female,85,14486
2010,nsw,female,86,13117
2010,nsw,female,87,11710
2010,nsw,female,88,10428
2010,nsw,female,89,8891
2010,nsw,female,90,7148
2010,nsw,female,91,5301
2010,nsw,female,92,4488
2010,nsw,female,93,3729
2010,nsw,female,94,2893
2010,nsw,female,95,2312
2010,nsw,female,96,1683
2010,nsw,female,97,1146
2010,nsw,female,98,803
2010,nsw,female,99,536
2010,nsw,female,100,791
2010,nsw,male,0,50137
2010,nsw,male,1,49106
2010,nsw,male,2,48489
2010,nsw,male,3,48099
2010,nsw,male,4,47445
2010,nsw,male,5,46284
2010,nsw,male,6,45405
2010,nsw,male,7,45161
2010,nsw,male,8,44645
2010,nsw,male,9,45492
2010,nsw,male,10,45588
2010,nsw,male,11,45398
2010,nsw,male,12,45470
2010,nsw,male,13,46162
2010,nsw,male,14,46101
2010,nsw,male,15,47029
2010,nsw,male,16,46894
2010,nsw,male,17,47227
2010,nsw,male,18,47952
2010,nsw,male,19,49338
2010,nsw,male,20,51292
2010,nsw,male,21,50723
2010,nsw,male,22,50551
2010,nsw,male,23,50911
2010,nsw,male,24,52407
2010,nsw,male,25,52884
2010,nsw,male,26,52286
2010,nsw,male,27,52793
2010,nsw,male,28,52124
2010,nsw,male,29,51714
2010,nsw,male,30,50042
2010,nsw,male,31,49267
2010,nsw,male,32,48097
2010,nsw,male,33,48115
2010,nsw,male,34,48244
2010,nsw,male,35,48962
2010,nsw,male,36,49864
2010,nsw,male,37,51079
2010,nsw,male,38,53113
2010,nsw,male,39,52951
2010,nsw,male,40,49735
2010,nsw,male,41,48839
2010,nsw,male,42,47297
2010,nsw,male,43,46898
2010,nsw,male,44,47247
2010,nsw,male,45,47785
2010,nsw,male,46,49822
2010,nsw,male,47,50506
2010,nsw,male,48,50849
2010,nsw,male,49,50358
2010,nsw,male,50,48707
2010,nsw,male,51,47796
2010,nsw,male,52,46979
2010,nsw,male,53,46383
2010,nsw,male,54,45284
2010,nsw,male,55,44175
2010,nsw,male,56,42867
2010,nsw,male,57,42380
2010,nsw,male,58,40673
2010,nsw,male,59,40590
2010,nsw,male,60,40102
2010,nsw,male,61,39000
2010,nsw,male,62,39923
2010,nsw,male,63,40847
2010,nsw,male,64,35277
2010,nsw,male,65,33824
2010,nsw,male,66,32469
2010,nsw,male,67,29013
2010,nsw,male,68,28242
2010,nsw,male,69,26551
2010,nsw,male,70,25640
2010,nsw,male,71,24240
2010,nsw,male,72,23007
2010,nsw,male,73,22341
2010,nsw,male,74,20736
2010,nsw,male,75,18910
2010,nsw,male,76,18092
2010,nsw,male,77,17242
2010,nsw,male,78,16607
2010,nsw,male,79,16126
2010,nsw,male,80,15246
2010,nsw,male,81,14014
2010,nsw,male,82,13056
2010,nsw,male,83,11607
2010,nsw,male,84,10357
2010,nsw,male,85,9093
2010,nsw,male,86,7763
2010,nsw,male,87,6607
2010,nsw,male,88,5621
2010,nsw,male,89,4448
2010,nsw,male,90,3483
2010,nsw,male,91,2333
2010,nsw,male,92,1836
2010,nsw,male,93,1391
2010,nsw,male,94,1020
2010,nsw,male,95,701
2010,nsw,male,96,487
2010,nsw,male,97,359
2010,nsw,male,98,196
2010,nsw,male,99,116
2010,nsw,male,100,173
2010,nt,female,0,1849
2010,nt,female,1,1847
2010,nt,female,2,1839
2010,nt,female,3,1767
2010,nt,female,4,1791
2010,nt,female,5,1708
2010,nt,female,6,1659
2010,nt,female,7,1757
2010,nt,female,8,1720
2010,nt,female,9,1750
2010,nt,female,10,1621
2010,nt,female,11,1554
