year,state,sex,age_band,deaths
2010,wa,female,55-59,216
2010,wa,female,60-64,246
2010,wa,female,65-69,293
2010,wa,female,70-74,443
2010,wa,female,75-79,536
2010,wa,female,80-84,915
2010,wa,female,85-89,1188
2010,wa,female,90-94,914
2010,wa,female,95-99,503
2010,wa,female,not_stated,0
2010,wa,male,0-4,91
2010,wa,male,10-14,8
2010,wa,male,100+,30
2010,wa,male,15-19,39
2010,wa,male,20-24,63
2010,wa,male,25-29,84
2010,wa,male,30-34,96
2010,wa,male,35-39,108
2010,wa,male,40-44,150
2010,wa,male,45-49,186
2010,wa,male,5-9,7
2010,wa,male,50-54,262
2010,wa,male,55-59,332
2010,wa,male,60-64,437
2010,wa,male,65-69,557
2010,wa,male,70-74,697
2010,wa,male,75-79,858
2010,wa,male,80-84,1116
2010,wa,male,85-89,1005
2010,wa,male,90-94,519
2010,wa,male,95-99,149
2010,wa,male,not_stated,0
2011,act,female,0-4,6
2011,act,female,10-14,0
2011,act,female,100+,12
2011,act,female,15-19,2
2011,act,female,20-24,0
2011,act,female,25-29,5
2011,act,female,30-34,5
2011,act,female,35-39,7
2011,act,female,40-44,7
2011,act,female,45-49,12
2011,act,female,5-9,2
2011,act,female,50-54,22
2011,act,female,55-59,37
2011,act,female,60-64,44
2011,act,female,65-69,46
2011,act,female,70-74,54
2011,act,female,75-79,75
2011,act,female,80-84,132
2011,act,female,85-89,187
2011,act,female,90-94,149
2011,act,female,95-99,57
2011,act,female,not_stated,0
2011,act,male,0-4,10
2011,act,male,10-14,2
2011,act,male,100+,2
2011,act,male,15-19,3
2011,act,male,20-24,2
2011,act,male,25-29,14
2011,act,male,30-34,10
2011,act,male,35-39,7
2011,act,male,40-44,14
2011,act,male,45-49,16
2011,act,male,5-9,2
2011,act,male,50-54,30
2011,act,male,55-59,44
2011,act,male,60-64,62
2011,act,male,65-69,65
2011,act,male,70-74,77
2011,act,male,75-79,95
2011,act,male,80-84,141
2011,act,male,85-89,144
2011,act,male,90-94,75
2011,act,male,95-99,21
2011,act,male,not_stated,0
2011,nsw,female,0-4,197
2011,nsw,female,10-14,18
2011,nsw,female,100+,383
2011,nsw,female,15-19,40
2011,nsw,female,20-24,62
2011,nsw,female,25-29,71
2011,nsw,female,30-34,91
2011,nsw,female,35-39,160
2011,nsw,female,40-44,228
2011,nsw,female,45-49,345
2011,nsw,female,5-9,16
2011,nsw,female,50-54,531
2011,nsw,female,55-59,687
2011,nsw,female,60-64,950
2011,nsw,female,65-69,1262
2011,nsw,female,70-74,1727
2011,nsw,female,75-79,2413
2011,nsw,female,80-84,4029
2011,nsw,female,85-89,5405
2011,nsw,female,90-94,4297
2011,nsw,female,95-99,1954
2011,nsw,female,not_stated,0
2011,nsw,male,0-4,239
2011,nsw,male,10-14,27
2011,nsw,male,100+,73
2011,nsw,male,15-19,79
2011,nsw,male,20-24,132
2011,nsw,male,25-29,158
2011,nsw,male,30-34,226
2011,nsw,male,35-39,254
2011,nsw,male,40-44,351
2011,nsw,male,45-49,544
2011,nsw,male,5-9,18
2011,nsw,male,50-54,816
2011,nsw,male,55-59,1169
2011,nsw,male,60-64,1691
2011,nsw,male,65-69,2019
2011,nsw,male,70-74,2595
2011,nsw,male,75-79,3446
2011,nsw,male,80-84,4511
2011,nsw,male,85-89,4382
2011,nsw,male,90-94,2403
2011,nsw,male,95-99,660
2011,nsw,male,not_stated,2
2011,nt,female,0-4,17
2011,nt,female,10-14,4
2011,nt,female,100+,2
2011,nt,female,15-19,1
2011,nt,female,20-24,9
2011,nt,female,25-29,9
2011,nt,female,30-34,10
2011,nt,female,35-39,12
2011,nt,female,40-44,20
2011,nt,female,45-49,32
2011,nt,female,5-9,3
2011,nt,female,50-54,29
2011,nt,female,55-59,42
2011,nt,female,60-64,28
2011,nt,female,65-69,30
2011,nt,female,70-74,32
2011,nt,female,75-79,24
2011,nt,female,80-84,29
2011,nt,female,85-89,38
2011,nt,female,90-94,22
2011,nt,female,95-99,8
2011,nt,female,not_stated,0
2011,nt,male,0-4,19
2011,nt,male,10-14,1
2011,nt,male,100+,0
2011,nt,male,15-19,9
2011,nt,male,20-24,23
2011,nt,male,25-29,19
2011,nt,male,30-34,14
2011,nt,male,35-39,23
2011,nt,male,40-44,21
2011,nt,male,45-49,29
2011,nt,male,5-9,2
2011,nt,male,50-54,49
2011,nt,male,55-59,55
2011,nt,male,60-64,62
2011,nt,male,65-69,60
2011,nt,male,70-74,55
2011,nt,male,75-79,42
2011,nt,male,80-84,41
2011,nt,male,85-89,20
2011,nt,male,90-94,12
2011,nt,male,95-99,5
2011,nt,male,not_stated,0
2011,qld,female,0-4,159
2011,qld,female,10-14,11
2011,qld,female,100+,202
2011,qld,female,15-19,42
2011,qld,female,20-24,49
2011,qld,female,25-29,60
2011,qld,female,30-34,63
2011,qld,female,35-39,109
2011,qld,female,40-44,147
2011,qld,female,45-49,249
2011,qld,female,5-9,19
2011,qld,female,50-54,304
2011,qld,female,55-59,415
2011,qld,female,60-64,570
2011,qld,female,65-69,712
2011,qld,female,70-74,932
2011,qld,female,75-79,1169
2011,qld,female,80-84,1903
2011,qld,female,85-89,2646
2011,qld,female,90-94,2158
2011,qld,female,95-99,982
2011,qld,female,not_stated,2
2011,qld,male,0-4,181
2011,qld,male,10-14,19
2011,qld,male,100+,33
2011,qld,male,15-19,77
2011,qld,male,20-24,118
2011,qld,male,25-29,136
2011,qld,male,30-34,146
2011,qld,male,35-39,194
2011,qld,male,40-44,247
2011,qld,male,45-49,356
2011,qld,male,5-9,17
2011,qld,male,50-54,531
2011,qld,male,55-59,694
2011,qld,male,60-64,1047
2011,qld,male,65-69,1249
2011,qld,male,70-74,1529
2011,qld,male,75-79,1819
2011,qld,male,80-84,2380
2011,qld,male,85-89,2230
2011,qld,male,90-94,1169
2011,qld,male,95-99,340
2011,qld,male,not_stated,0
2011,sa,female,0-4,34
2011,sa,female,10-14,5
2011,sa,female,100+,106
2011,sa,female,15-19,14
2011,sa,female,20-24,13
2011,sa,female,25-29,15
2011,sa,female,30-34,25
2011,sa,female,35-39,31
2011,sa,female,40-44,53
2011,sa,female,45-49,76
2011,sa,female,5-9,4
2011,sa,female,50-54,127
2011,sa,female,55-59,162
2011,sa,female,60-64,243
2011,sa,female,65-69,274
2011,sa,female,70-74,414
2011,sa,female,75-79,584
2011,sa,female,80-84,1049
2011,sa,female,85-89,1460
2011,sa,female,90-94,1107
2011,sa,female,95-99,572
2011,sa,female,not_stated,0
2011,sa,male,0-4,35
2011,sa,male,10-14,2
2011,sa,male,100+,25
2011,sa,male,15-19,24
2011,sa,male,20-24,38
2011,sa,male,25-29,49
2011,sa,male,30-34,56
2011,sa,male,35-39,75
2011,sa,male,40-44,104
2011,sa,male,45-49,133
2011,sa,male,5-9,7
2011,sa,male,50-54,218
2011,sa,male,55-59,292
2011,sa,male,60-64,409
2011,sa,male,65-69,442
2011,sa,male,70-74,574
2011,sa,male,75-79,784
2011,sa,male,80-84,1141
2011,sa,male,85-89,1085
2011,sa,male,90-94,611
2011,sa,male,95-99,191
2011,sa,male,not_stated,3
2011,tas,female,0-4,13
2011,tas,female,10-14,0
2011,tas,female,100+,22
2011,tas,female,15-19,1
2011,tas,female,20-24,7
2011,tas,female,25-29,1
2011,tas,female,30-34,12
2011,tas,female,35-39,16
2011,tas,female,40-44,20
2011,tas,female,45-49,28
2011,tas,female,5-9,2
2011,tas,female,50-54,36
2011,tas,female,55-59,51
2011,tas,female,60-64,98
2011,tas,female,65-69,138
2011,tas,female,70-74,151
2011,tas,female,75-79,217
2011,tas,female,80-84,355
2011,tas,female,85-89,445
2011,tas,female,90-94,334
2011,tas,female,95-99,153
2011,tas,female,not_stated,0
2011,tas,male,0-4,19
2011,tas,male,10-14,4
2011,tas,male,100+,7
2011,tas,male,15-19,8
2011,tas,male,20-24,13
2011,tas,male,25-29,9
2011,tas,male,30-34,16
2011,tas,male,35-39,24
2011,tas,male,40-44,30
2011,tas,male,45-49,44
2011,tas,male,5-9,0
2011,tas,male,50-54,56
2011,tas,male,55-59,115
2011,tas,male,60-64,146
2011,tas,male,65-69,189
2011,tas,male,70-74,239
2011,tas,male,75-79,280
2011,tas,male,80-84,369
2011,tas,male,85-89,327
2011,tas,male,90-94,187
2011,tas,male,95-99,58
2011,tas,male,not_stated,0
2011,vic,female,0-4,115
2011,vic,female,10-14,10
2011,vic,female,100+,286
2011,vic,female,15-19,36
2011,vic,female,20-24,44
2011,vic,female,25-29,53
2011,vic,female,30-34,87
2011,vic,female,35-39,118
2011,vic,female,40-44,178
2011,vic,female,45-49,257
2011,vic,female,5-9,12
2011,vic,female,50-54,408
2011,vic,female,55-59,465
2011,vic,female,60-64,716
2011,vic,female,65-69,806
2011,vic,female,70-74,1205
2011,vic,female,75-79,1728
2011,vic,female,80-84,2936
2011,vic,female,85-89,4064
2011,vic,female,90-94,3136
2011,vic,female,95-99,1421
2011,vic,female,not_stated,0
2011,vic,male,0-4,181
2011,vic,male,10-14,14
2011,vic,male,100+,78
2011,vic,male,15-19,63
2011,vic,male,20-24,132
2011,vic,male,25-29,154
2011,vic,male,30-34,152
2011,vic,male,35-39,199
2011,vic,male,40-44,265
2011,vic,male,45-49,387
2011,vic,male,5-9,19
2011,vic,male,50-54,530
2011,vic,male,55-59,758
2011,vic,male,60-64,1106
2011,vic,male,65-69,1418
2011,vic,male,70-74,1822
2011,vic,male,75-79,2403
2011,vic,male,80-84,3288
2011,vic,male,85-89,3226
2011,vic,male,90-94,1738
2011,vic,male,95-99,538
2011,vic,male,not_stated,0
2011,wa,female,0-4,54
2011,wa,female,10-14,12
2011,wa,female,100+,112
2011,wa,female,15-19,24
2011,wa,female,20-24,36
2011,wa,female,25-29,30
2011,wa,female,30-34,26
2011,wa,female,35-39,55
2011,wa,female,40-44,80
2011,wa,female,45-49,114
2011,wa,female,5-9,8
2011,wa,female,50-54,163
2011,wa,female,55-59,201
2011,wa,female,60-64,245
2011,wa,female,65-69,300
2011,wa,female,70-74,408
