year,state,sex,age_band,persons
2010,nt,female,80-84,545
2010,nt,female,85+,411
2010,nt,male,0-4,9678
2010,nt,male,10-14,8622
2010,nt,male,15-19,8735
2010,nt,male,20-24,10791
2010,nt,male,25-29,11305
2010,nt,male,30-34,9558
2010,nt,male,35-39,9695
2010,nt,male,40-44,8773
2010,nt,male,45-49,8438
2010,nt,male,5-9,8986
2010,nt,male,50-54,7566
2010,nt,male,55-59,6629
2010,nt,male,60-64,5201
2010,nt,male,65-69,3120
2010,nt,male,70-74,1791
2010,nt,male,75-79,892
2010,nt,male,80-84,521
2010,nt,male,85+,215
2010,qld,female,0-4,147455
2010,qld,female,10-14,142175
2010,qld,female,15-19,147793
2010,qld,female,20-24,156840
2010,qld,female,25-29,158302
2010,qld,female,30-34,148077
2010,qld,female,35-39,162365
2010,qld,female,40-44,155414
2010,qld,female,45-49,157471
2010,qld,female,5-9,139717
2010,qld,female,50-54,145380
2010,qld,female,55-59,129759
2010,qld,female,60-64,118326
2010,qld,female,65-69,89969
2010,qld,female,70-74,66704
2010,qld,female,75-79,52597
2010,qld,female,80-84,43408
2010,qld,female,85+,43589
2010,qld,male,0-4,156741
2010,qld,male,10-14,148992
2010,qld,male,15-19,154329
2010,qld,male,20-24,161679
2010,qld,male,25-29,163408
2010,qld,male,30-34,146225
2010,qld,male,35-39,160312
2010,qld,male,40-44,152715
2010,qld,male,45-49,153658
2010,qld,male,5-9,147372
2010,qld,male,50-54,142827
2010,qld,male,55-59,129391
2010,qld,male,60-64,120818
2010,qld,male,65-69,91286
2010,qld,male,70-74,66720
2010,qld,male,75-79,46598
2010,qld,male,80-84,32972
2010,qld,male,85+,23360
2010,sa,female,0-4,47543
2010,sa,female,10-14,48460
2010,sa,female,15-19,51816
2010,sa,female,20-24,55964
2010,sa,female,25-29,54286
2010,sa,female,30-34,49696
2010,sa,female,35-39,54762
2010,sa,female,40-44,56312
2010,sa,female,45-49,58552
2010,sa,female,5-9,45902
2010,sa,female,50-54,56750
2010,sa,female,55-59,52276
2010,sa,female,60-64,48706
2010,sa,female,65-69,37313
2010,sa,female,70-74,30536
2010,sa,female,75-79,25691
2010,sa,female,80-84,23050
2010,sa,female,85+,24342
2010,sa,male,0-4,49734
2010,sa,male,10-14,50734
2010,sa,male,15-19,54544
2010,sa,male,20-24,59009
2010,sa,male,25-29,56439
2010,sa,male,30-34,50555
2010,sa,male,35-39,54917
2010,sa,male,40-44,56406
2010,sa,male,45-49,57936
2010,sa,male,5-9,47945
2010,sa,male,50-54,55396
2010,sa,male,55-59,50513
2010,sa,male,60-64,47217
2010,sa,male,65-69,35518
2010,sa,male,70-74,27854
2010,sa,male,75-79,21518
2010,sa,male,80-84,16952
2010,sa,male,85+,12178
2010,tas,female,0-4,15716
2010,tas,female,10-14,16129
2010,tas,female,15-19,16504
2010,tas,female,20-24,15700
2010,tas,female,25-29,15135
2010,tas,female,30-34,14328
2010,tas,female,35-39,16952
2010,tas,female,40-44,17248
2010,tas,female,45-49,18740
2010,tas,female,5-9,14914
2010,tas,female,50-54,18565
2010,tas,female,55-59,17190
2010,tas,female,60-64,15986
2010,tas,female,65-69,12364
2010,tas,female,70-74,9628
2010,tas,female,75-79,7873
2010,tas,female,80-84,6361
2010,tas,female,85+,6561
2010,tas,male,0-4,16751
2010,tas,male,10-14,17125
2010,tas,male,15-19,17710
2010,tas,male,20-24,16670
2010,tas,male,25-29,15029
2010,tas,male,30-34,14013
2010,tas,male,35-39,16020
2010,tas,male,40-44,16725
2010,tas,male,45-49,18276
2010,tas,male,5-9,16018
2010,tas,male,50-54,18375
2010,tas,male,55-59,17126
2010,tas,male,60-64,16133
2010,tas,male,65-69,12521
2010,tas,male,70-74,9407
2010,tas,male,75-79,6827
2010,tas,male,80-84,4874
2010,tas,male,85+,3353
2010,vic,female,0-4,170356
2010,vic,female,10-14,160659
2010,vic,female,15-19,174085
2010,vic,female,20-24,200015
2010,vic,female,25-29,205102
2010,vic,female,30-34,190454
2010,vic,female,35-39,204030
2010,vic,female,40-44,196525
2010,vic,female,45-49,192959
2010,vic,female,5-9,158571
2010,vic,female,50-54,180852
2010,vic,female,55-59,161753
2010,vic,female,60-64,147428
2010,vic,female,65-69,113011
2010,vic,female,70-74,91646
2010,vic,female,75-79,76598
2010,vic,female,80-84,65493
2010,vic,female,85+,65967
2010,vic,male,0-4,179221
2010,vic,male,10-14,169452
2010,vic,male,15-19,183305
2010,vic,male,20-24,212983
2010,vic,male,25-29,210748
2010,vic,male,30-34,190457
2010,vic,male,35-39,197802
2010,vic,male,40-44,191272
2010,vic,male,45-49,187460
2010,vic,male,5-9,166736
2010,vic,male,50-54,175828
2010,vic,male,55-59,156094
2010,vic,male,60-64,142946
2010,vic,male,65-69,108901
2010,vic,male,70-74,85365
2010,vic,male,75-79,64692
2010,vic,male,80-84,48271
2010,vic,male,85+,34064
2010,wa,female,0-4,75045
2010,wa,female,10-14,72014
2010,wa,female,15-19,75043
2010,wa,female,20-24,83264
2010,wa,female,25-29,83755
2010,wa,female,30-34,77956
2010,wa,female,35-39,83665
2010,wa,female,40-44,82225
2010,wa,female,45-49,82197
2010,wa,female,5-9,70076
