period_start,period_end,state,sex,age,qx
2018,2020,act,male,62,0.00665
2018,2020,act,male,63,0.00731
2018,2020,act,male,64,0.008
2018,2020,act,male,65,0.00875
2018,2020,act,male,66,0.00959
2018,2020,act,male,67,0.01054
2018,2020,act,male,68,0.01164
2018,2020,act,male,69,0.01292
2018,2020,act,male,70,0.01437
2018,2020,act,male,71,0.01597
2018,2020,act,male,72,0.01773
2018,2020,act,male,73,0.01969
2018,2020,act,male,74,0.02186
2018,2020,act,male,75,0.02431
2018,2020,act,male,76,0.02709
2018,2020,act,male,77,0.03022
2018,2020,act,male,78,0.03382
2018,2020,act,male,79,0.03788
2018,2020,act,male,80,0.04241
2018,2020,act,male,81,0.04745
2018,2020,act,male,82,0.0531
2018,2020,act,male,83,0.05947
2018,2020,act,male,84,0.06672
2018,2020,act,male,85,0.07498
2018,2020,act,male,86,0.08421
2018,2020,act,male,87,0.09457
2018,2020,act,male,88,0.10626
2018,2020,act,male,89,0.11946
2018,2020,act,male,90,0.14387
2018,2020,act,male,91,0.15906
2018,2020,act,male,92,0.16952
2018,2020,act,male,93,0.18846
2018,2020,act,male,94,0.20698
2018,2020,act,male,95,0.22732
2018,2020,act,male,96,0.24582
2018,2020,act,male,97,0.2693
2018,2020,act,male,98,0.28914
2018,2020,act,male,99,0.31858
2018,2020,act,male,100,0.34771
2018,2020,nsw,female,0,0.00287
2018,2020,nsw,female,1,0.00021
2018,2020,nsw,female,2,0.0001
2018,2020,nsw,female,3,0.00009
2018,2020,nsw,female,4,0.00008
2018,2020,nsw,female,5,0.00007
2018,2020,nsw,female,6,0.00006
2018,2020,nsw,female,7,0.00005
2018,2020,nsw,female,8,0.00005
2018,2020,nsw,female,9,0.00005
2018,2020,nsw,female,10,0.00006
2018,2020,nsw,female,11,0.00006
2018,2020,nsw,female,12,0.00008
2018,2020,nsw,female,13,0.0001
2018,2020,nsw,female,14,0.00012
2018,2020,nsw,female,15,0.00014
2018,2020,nsw,female,16,0.00017
2018,2020,nsw,female,17,0.00019
2018,2020,nsw,female,18,0.00021
2018,2020,nsw,female,19,0.00022
2018,2020,nsw,female,20,0.00022
2018,2020,nsw,female,21,0.00023
2018,2020,nsw,female,22,0.00023
2018,2020,nsw,female,23,0.00023
2018,2020,nsw,female,24,0.00024
2018,2020,nsw,female,25,0.00024
2018,2020,nsw,female,26,0.00024
2018,2020,nsw,female,27,0.00025
2018,2020,nsw,female,28,0.00026
2018,2020,nsw,female,29,0.00027
2018,2020,nsw,female,30,0.00029
2018,2020,nsw,female,31,0.0003
2018,2020,nsw,female,32,0.00033
2018,2020,nsw,female,33,0.00036
2018,2020,nsw,female,34,0.0004
2018,2020,nsw,female,35,0.00044
2018,2020,nsw,female,36,0.00048
2018,2020,nsw,female,37,0.00052
2018,2020,nsw,female,38,0.00057
2018,2020,nsw,female,39,0.00062
2018,2020,nsw,female,40,0.00066
2018,2020,nsw,female,41,0.00073
2018,2020,nsw,female,42,0.00081
2018,2020,nsw,female,43,0.0009
2018,2020,nsw,female,44,0.00098
2018,2020,nsw,female,45,0.00107
2018,2020,nsw,female,46,0.00116
2018,2020,nsw,female,47,0.00127
2018,2020,nsw,female,48,0.00139
2018,2020,nsw,female,49,0.0015
2018,2020,nsw,female,50,0.00163
2018,2020,nsw,female,51,0.00177
2018,2020,nsw,female,52,0.00194
2018,2020,nsw,female,53,0.00213
2018,2020,nsw,female,54,0.00233
2018,2020,nsw,female,55,0.00252
2018,2020,nsw,female,56,0.00272
2018,2020,nsw,female,57,0.00294
2018,2020,nsw,female,58,0.00319
2018,2020,nsw,female,59,0.00349
2018,2020,nsw,female,60,0.00384
2018,2020,nsw,female,61,0.00424
2018,2020,nsw,female,62,0.0046
2018,2020,nsw,female,63,0.00493
2018,2020,nsw,female,64,0.00527
2018,2020,nsw,female,65,0.00569
2018,2020,nsw,female,66,0.0062
2018,2020,nsw,female,67,0.00684
2018,2020,nsw,female,68,0.0076
2018,2020,nsw,female,69,0.00847
2018,2020,nsw,female,70,0.00946
2018,2020,nsw,female,71,0.01057
2018,2020,nsw,female,72,0.01182
2018,2020,nsw,female,73,0.01317
2018,2020,nsw,female,74,0.01468
2018,2020,nsw,female,75,0.01638
2018,2020,nsw,female,76,0.01824
2018,2020,nsw,female,77,0.02033
2018,2020,nsw,female,78,0.02287
2018,2020,nsw,female,79,0.02594
2018,2020,nsw,female,80,0.02961
2018,2020,nsw,female,81,0.03395
2018,2020,nsw,female,82,0.03886
2018,2020,nsw,female,83,0.04451
2018,2020,nsw,female,84,0.0511
2018,2020,nsw,female,85,0.05851
2018,2020,nsw,female,86,0.0668
2018,2020,nsw,female,87,0.07619
2018,2020,nsw,female,88,0.08662
2018,2020,nsw,female,89,0.09851
2018,2020,nsw,female,90,0.11181
2018,2020,nsw,female,91,0.12624
2018,2020,nsw,female,92,0.14083
2018,2020,nsw,female,93,0.15592
