year,origin,destination,persons
2022,nsw,act,12043
2022,nsw,nt,3298
2022,nsw,qld,53299
2022,nsw,sa,6819
2022,nsw,tas,3145
2022,nsw,vic,28707
2022,nsw,wa,11879
2022,nt,act,538
2022,nt,nsw,2632
2022,nt,qld,5488
2022,nt,sa,2443
2022,nt,tas,366
2022,nt,vic,3206
2022,nt,wa,2934
2022,qld,act,3554
2022,qld,nsw,32824
2022,qld,nt,4026
2022,qld,sa,5536
2022,qld,tas,3828
2022,qld,vic,19010
2022,qld,wa,10137
2022,sa,act,1010
2022,sa,nsw,5095
2022,sa,nt,1847
2022,sa,qld,6643
2022,sa,tas,634
2022,sa,vic,7575
2022,sa,wa,3169
2022,tas,act,385
2022,tas,nsw,2891
2022,tas,nt,306
2022,tas,qld,4339
2022,tas,sa,1069
2022,tas,vic,5515
2022,tas,wa,2100
2022,vic,act,3112
2022,vic,nsw,23680
2022,vic,nt,3551
2022,vic,qld,28888
2022,vic,sa,7339
2022,vic,tas,3284
2022,vic,wa,10107
2022,wa,act,780
2022,wa,nsw,5893
2022,wa,nt,1834
2022,wa,qld,6719
2022,wa,sa,2222
2022,wa,tas,1102
2022,wa,vic,6573
2023,act,nsw,10696
2023,act,nt,404
2023,act,qld,4995
2023,act,sa,938
2023,act,tas,264
2023,act,vic,3663
2023,act,wa,1294
2023,nsw,act,11593
2023,nsw,nt,3047
2023,nsw,qld,51777
2023,nsw,sa,6214
2023,nsw,tas,3124
2023,nsw,vic,27746
2023,nsw,wa,11594
2023,nt,act,486
2023,nt,nsw,2723
2023,nt,qld,5511
2023,nt,sa,2364
2023,nt,tas,348
2023,nt,vic,3005
2023,nt,wa,2954
2023,qld,act,3509
2023,qld,nsw,34305
2023,qld,nt,4106
2023,qld,sa,5067
2023,qld,tas,4147
2023,qld,vic,19586
2023,qld,wa,10473
2023,sa,act,876
2023,sa,nsw,5038
2023,sa,nt,1901
2023,sa,qld,6676
2023,sa,tas,700
2023,sa,vic,7830
2023,sa,wa,3218
2023,tas,act,417
2023,tas,nsw,2898
2023,tas,nt,238
2023,tas,qld,4428
2023,tas,sa,944
2023,tas,vic,5599
2023,tas,wa,1865
2023,vic,act,2946
2023,vic,nsw,23689
2023,vic,nt,3209
2023,vic,qld,29166
2023,vic,sa,6727
2023,vic,tas,3255
2023,vic,wa,10074
2023,wa,act,860
2023,wa,nsw,6001
2023,wa,nt,1970
2023,wa,qld,7597
2023,wa,sa,2219
2023,wa,tas,1142
2023,wa,vic,7395
2024,act,nsw,10414
2024,act,nt,419
2024,act,qld,4355
2024,act,sa,959
2024,act,tas,325
2024,act,vic,3476
2024,act,wa,1082
2024,nsw,act,11321
2024,nsw,nt,3183
2024,nsw,qld,47472
2024,nsw,sa,5632
2024,nsw,tas,3336
2024,nsw,vic,27812
2024,nsw,wa,10838
2024,nt,act,474
2024,nt,nsw,2552
2024,nt,qld,5060
2024,nt,sa,2157
2024,nt,tas,312
2024,nt,vic,2717
2024,nt,wa,2690
2024,qld,act,3338
2024,qld,nsw,34186
2024,qld,nt,3819
2024,qld,sa,5185
2024,qld,tas,4732
2024,qld,vic,19923
2024,qld,wa,9864
2024,sa,act,799
2024,sa,nsw,5013
2024,sa,nt,1921
2024,sa,qld,6658
2024,sa,tas,761
2024,sa,vic,7958
2024,sa,wa,3118
2024,tas,act,364
2024,tas,nsw,2646
2024,tas,nt,269
2024,tas,qld,4101
2024,tas,sa,830
2024,tas,vic,4960
2024,tas,wa,1519
2024,vic,act,2706
2024,vic,nsw,23748
2024,vic,nt,3285
2024,vic,qld,27626
2024,vic,sa,6883
2024,vic,tas,3375
2024,vic,wa,10273
2024,wa,act,905
2024,wa,nsw,6249
2024,wa,nt,2215
2024,wa,qld,7739
2024,wa,sa,2160
2024,wa,tas,1247
2024,wa,vic,7492
