MemTotal:       185671996 kB
MemFree:        178520488 kB
MemAvailable:   182308908 kB
Buffers:           89460 kB
Cached:          4719312 kB
SwapCached:            0 kB
Active:           691196 kB
Inactive:        4194548 kB
Active(anon):      88780 kB
Inactive(anon):        0 kB
Active(file):     602416 kB
Inactive(file):  4194548 kB
Unevictable:       29152 kB
Mlocked:           27616 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:                60 kB
Writeback:             0 kB
AnonPages:        106304 kB
Mapped:           109972 kB
Shmem:              2728 kB
KReclaimable:     188332 kB
Slab:             389032 kB
SReclaimable:     188332 kB
SUnreclaim:       200700 kB
KernelStack:        7488 kB
PageTables:         3200 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    92835996 kB
Committed_AS:     680088 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      258580 kB
VmallocChunk:          0 kB
Percpu:            21760 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      995180 kB
DirectMap2M:     6344704 kB
DirectMap1G:    183500800 kB
