Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
23827,23827,0,96,96,3846544.9,3849974.0,3690469,3879336,26004.3,2873.5,2764.0,2323,6299,569.9,3665285.6,3668709.5,3505930,3697610,26462.2,178385.9,178352.5,177312,179296,480.3,cuLaunchKernel,sembla_transition_00000007
23827,23827,0,96,96,3320065.3,3322751.0,3176709,3347428,22513.1,2912.5,2744.0,2314,10516,915.9,3138391.0,3141668.0,2987537,3165596,23141.4,178761.9,178784.0,177920,179744,416.5,cuLaunchKernel,sembla_transition_00000006
23827,23827,0,96,96,2793161.9,2795330.0,2658242,2816065,19782.4,2854.2,2684.0,2374,6990,649.0,2611933.5,2614447.0,2473428,2634918,20202.6,178374.2,178336.5,177536,179649,401.7,cuLaunchKernel,sembla_transition_00000005
23827,23827,0,3840,3840,2781260.9,2717551.5,363073,5209747,1500419.2,2476.6,2353.0,2223,30366,770.9,2748872.2,2685298.0,319547,5177479,1500412.6,29912.1,29888.0,29792,30368,77.7,cuLaunchKernel,sembla_validate_claims
23827,23827,0,3840,3840,2649086.6,2585717.0,225272,5097480,1500970.7,2415.1,2293.0,2153,31687,749.2,2600899.2,2534547.5,162834,5052902,1501087.6,45772.3,42944.0,42081,55841,5405.2,cuLaunchKernel,sembla_check_candidate_errors
23827,23827,0,3840,3839,2344932.9,2279177.5,24905,4749967,1490997.3,2458.4,2334.0,2194,29854,769.2,2326140.1,2427699.0,3655,4730787,1490745.1,16940.5,16928.0,16832,17056,29.9,cuLaunchKernel,sembla_validate_transition
23827,23827,0,96,96,2265186.0,2267369.5,2149490,2285025,17819.8,2888.3,2709.0,2374,10375,1011.6,2087332.7,2089801.5,1966038,2106993,18301.4,174965.0,174913.0,174240,175968,362.2,cuLaunchKernel,sembla_transition_00000004
23827,23827,0,96,96,1740712.6,1742231.5,1635950,1758751,16476.4,2799.4,2674.0,2413,7561,582.6,1563103.9,1564659.0,1453860,1580567,16806.0,174809.3,174753.0,173857,175809,431.7,cuLaunchKernel,sembla_transition_00000003
23827,23827,0,96,96,1216969.3,1218435.0,1127788,1228986,14658.4,3332.3,2834.0,2434,15012,2136.8,1040880.1,1042803.0,943247,1053771,15306.5,172756.9,172736.0,172096,173409,318.8,cuLaunchKernel,sembla_transition_00000002
23827,23827,0,288,288,987916.6,752036.5,42333,2271579,892770.8,2651.7,2554.0,2323,9784,529.7,9221.0,9905.5,4761,11686,1926.8,976043.9,739729.0,32448,2260579,892720.4,cuLaunchKernel,sembla_observe_grouped_view
23827,23827,0,96,96,695141.4,696828.5,623857,704820,11755.1,3111.8,2854.5,2484,13290,1392.7,552113.8,553719.5,470919,561740,12620.8,139915.9,139808.5,138912,141152,513.9,cuLaunchKernel,sembla_transition_00000001
23827,23827,0,192,192,459517.3,488481.5,242410,856193,146622.1,2824.4,2523.0,2314,11106,932.5,170321.6,124546.0,853,606261,171220.6,286371.4,247392.5,230432,599745,73276.0,cuLaunchKernel,sembla_bound_grouped_view
23827,23827,0,1824,1824,454337.5,497642.5,43512,825638,222476.8,2490.5,2313.0,2183,14021,776.1,407933.2,469749.0,1688,768226,226089.3,43913.7,41440.0,23809,65664,15030.0,cuLaunchKernel,sembla_observe_view
23827,23827,0,96,96,208729.7,209461.0,182608,213793,4331.0,3068.9,2874.0,2493,11217,957.9,66312.3,67718.5,31455,70833,4998.1,139348.4,139472.5,138048,140960,736.3,cuLaunchKernel,sembla_transition_00000000
23827,23827,0,96,96,19109.1,18873.0,13287,26090,2713.0,9434.9,9098.5,5238,18138,2394.5,7841.9,8339.0,2188,10141,1900.5,1832.3,1904.0,1664,2144,152.9,cuLaunchKernel,sembla_init_observations
23827,23827,0,96,96,14304.3,14806.0,10327,28203,2583.7,4089.1,3330.0,2704,23195,2605.2,8617.9,9023.5,3280,10714,1984.4,1597.3,1632.0,1472,1824,96.8,cuLaunchKernel,sembla_reset_status
23827,23827,0,288,288,14048.6,14590.0,9634,25989,2237.9,3659.1,3169.5,2535,13720,1249.2,8681.3,9349.5,4093,11468,1903.1,1708.2,1808.0,1504,2048,141.5,cuLaunchKernel,sembla_init_grouped_histogram
23827,23827,0,96,96,13990.3,14602.5,9829,18569,1894.4,3550.7,3265.0,2674,6549,826.9,8712.6,9333.0,4865,10701,1868.6,1727.0,1776.0,1536,1952,153.9,cuLaunchKernel,sembla_init_grouped_extrema
23827,23827,0,96,96,13598.9,14283.5,9841,16235,1826.6,2819.2,2649.0,2404,8954,725.5,9103.3,9748.0,5386,11476,1897.3,1676.3,1712.0,1536,1920,109.0,cuLaunchKernel,sembla_init_validation_scratch

