tick,population_p05,population_p25,population_p50,population_p75,population_p95,invalid_age_p05,invalid_age_p25,invalid_age_p50,invalid_age_p75,invalid_age_p95,males_p05,males_p25,males_p50,males_p75,males_p95,females_p05,females_p25,females_p50,females_p75,females_p95,age_00_04_p05,age_00_04_p25,age_00_04_p50,age_00_04_p75,age_00_04_p95,age_20_24_p05,age_20_24_p25,age_20_24_p50,age_20_24_p75,age_20_24_p95,age_65_69_p05,age_65_69_p25,age_65_69_p50,age_65_69_p75,age_65_69_p95,age_85_plus_p05,age_85_plus_p25,age_85_plus_p50,age_85_plus_p75,age_85_plus_p95,births_this_tick_p05,births_this_tick_p25,births_this_tick_p50,births_this_tick_p75,births_this_tick_p95,deaths_this_tick_p05,deaths_this_tick_p25,deaths_this_tick_p50,deaths_this_tick_p75,deaths_this_tick_p95,overseas_arrivals_this_tick_p05,overseas_arrivals_this_tick_p25,overseas_arrivals_this_tick_p50,overseas_arrivals_this_tick_p75,overseas_arrivals_this_tick_p95,overseas_departures_this_tick_p05,overseas_departures_this_tick_p25,overseas_departures_this_tick_p50,overseas_departures_this_tick_p75,overseas_departures_this_tick_p95,internal_arrivals_this_tick_p05,internal_arrivals_this_tick_p25,internal_arrivals_this_tick_p50,internal_arrivals_this_tick_p75,internal_arrivals_this_tick_p95,internal_departures_this_tick_p05,internal_departures_this_tick_p25,internal_departures_this_tick_p50,internal_departures_this_tick_p75,internal_departures_this_tick_p95,locked_out_p05,locked_out_p25,locked_out_p50,locked_out_p75,locked_out_p95,vacant_birth_slots_p05,vacant_birth_slots_p25,vacant_birth_slots_p50,vacant_birth_slots_p75,vacant_birth_slots_p95,vacant_overseas_slots_p05,vacant_overseas_slots_p25,vacant_overseas_slots_p50,vacant_overseas_slots_p75,vacant_overseas_slots_p95,vacant_internal_slots_p05,vacant_internal_slots_p25,vacant_internal_slots_p50,vacant_internal_slots_p75,vacant_internal_slots_p95,max_generation_p05,max_generation_p25,max_generation_p50,max_generation_p75,max_generation_p95,fired_age_monthly_p05,fired_age_monthly_p25,fired_age_monthly_p50,fired_age_monthly_p75,fired_age_monthly_p95,fired_clear_event_p05,fired_clear_event_p25,fired_clear_event_p50,fired_clear_event_p75,fired_clear_event_p95,fired_birth_activate_p05,fired_birth_activate_p25,fired_birth_activate_p50,fired_birth_activate_p75,fired_birth_activate_p95,fired_overseas_arrive_p05,fired_overseas_arrive_p25,fired_overseas_arrive_p50,fired_overseas_arrive_p75,fired_overseas_arrive_p95,fired_internal_arrive_p05,fired_internal_arrive_p25,fired_internal_arrive_p50,fired_internal_arrive_p75,fired_internal_arrive_p95,fired_die_young_p05,fired_die_young_p25,fired_die_young_p50,fired_die_young_p75,fired_die_young_p95,fired_die_adult_p05,fired_die_adult_p25,fired_die_adult_p50,fired_die_adult_p75,fired_die_adult_p95,fired_die_old_p05,fired_die_old_p25,fired_die_old_p50,fired_die_old_p75,fired_die_old_p95,fired_emigrate_p05,fired_emigrate_p25,fired_emigrate_p50,fired_emigrate_p75,fired_emigrate_p95,fired_internal_depart_p05,fired_internal_depart_p25,fired_internal_depart_p50,fired_internal_depart_p75,fired_internal_depart_p95,deferred_total_p05,deferred_total_p25,deferred_total_p50,deferred_total_p75,deferred_total_p95
0,7948469,7964382,7973984,7984095,7987163,0,0,0,0,0,3974888,3982888,3987668,3992654,3994138,3973581,3981494,3986316,3991441,3993025,456258,458159,463414,470954,472999,442279,442535,442762,443043,443556,435130,438589,439425,439868,440434,441020,444466,445422,445899,446835,22254,24088,29930,37087,38905,29614,33056,37669,42809,58698,7777,9462,10492,12068,13328,10993,14070,15856,17345,18431,3749,4543,5281,6058,6836,13896,15514,18375,22143,27453,37226,40011,47007,51510,55464,1161095,1162913,1171946,1175912,1177746,486672,487932,489838,490538,492223,293164,293942,294843,295457,296251,1,1,1,1,1,8000000,8000000,8000000,8000000,8000000,0,0,0,0,0,22254,24088,29930,37087,38905,7777,9462,10492,12068,13328,3749,4543,5281,6058,6836,1422,1550,1759,1956,2218,9259,10593,11938,13905,16520,17737,21322,22714,27875,45027,10993,14070,15856,17345,18431,13896,15514,18375,22143,27453,144,177,206,226,272
1,7897628,7928570,7947172,7967114,7973244,0,0,0,0,0,3949258,3964841,3974198,3984122,3987122,3948370,3963729,3972974,3982992,3986122,468381,472152,482458,497006,500966,439927,440413,440817,441402,442421,426002,432824,434393,435274,436381,437163,443983,445936,446925,448763,21446,23197,28796,35424,37131,29365,32846,37372,42478,57733,7655,9310,10329,11817,12938,10628,13730,15434,16939,18068,3682,4507,5231,6065,6760,13892,15377,18197,21786,27009,36320,38751,45416,49886,53298,1189094,1203643,1214246,1225845,1235751,473734,476115,479791,481228,484568,286404,287877,289745,290950,292569,1,1,1,1,1,7948469,7964382,7973984,7984095,7987163,104948,109376,120901,125593,139649,21446,23197,28796,35424,37131,7655,9310,10329,11817,12938,3682,4507,5231,6065,6760,1379,1492,1726,1949,2243,9085,10427,11758,13668,16128,17649,21305,22655,27729,44268,10628,13730,15434,16939,18068,13892,15377,18197,21786,27009,152,175,199,219,270
2,7849081,7894098,7921877,7951464,7960384,0,0,0,0,0,3925237,3947664,3961651,3976200,3980686,3923868,3946434,3960226,3975264,3979698,481571,487314,503059,524337,530680,437410,438134,438743,439596,441087,417344,427181,429554,430915,432517,433522,443613,446423,447964,450785,22625,24552,30041,36970,39584,29135,32679,36925,42058,56430,7464,8993,9968,11338,12463,10837,13952,15693,17065,18238,3681,4390,5081,5807,6460,13720,15248,18084,21768,26909,37077,39662,46185,50757,55591,1215731,1235173,1252778,1274951,1296671,461271,464777,470088,472235,477104,279944,282070,284778,286560,288888,2,2,2,2,2,7897628,7928570,7947172,7967114,7973244,103460,106987,117792,122800,136316,22625,24552,30041,36970,39584,7464,8993,9968,11338,12463,3681,4390,5081,5807,6460,1445,1547,1762,1965,2214,9081,10392,11694,13484,15995,17565,21099,22438,27444,43053,10837,13952,15693,17065,18238,13720,15248,18084,21768,26909,168,188,212,245,281
3,7803907,7860790,7898394,7936651,7948297,0,0,0,0,0,3902679,3931051,3950042,3968874,3974608,3901228,3929739,3948352,3967777,3973689,495700,503603,524751,552537,561650,435162,436118,436957,438056,440015,409241,422028,425087,426813,428891,429833,443148,446830,448872,452726,23490,25547,30695,37795,40336,29186,32590,37157,41719,55824,7449,8994,9946,11312,12349,10542,13436,15261,16588,17770,3590,4377,5047,5779,6420,13872,15353,18355,21856,27087,37994,40515,46634,51627,56778,1241640,1265897,1291590,1324530,1358317,448994,453557,460465,463308,469701,273587,276341,279876,282218,285326,2,2,2,2,2,7849081,7894098,7921877,7951464,7960384,103762,107740,118958,123728,137348,23490,25547,30695,37795,40336,7449,8994,9946,11312,12349,3590,4377,5047,5779,6420,1474,1581,1790,2016,2283,8967,10246,11581,13509,16101,17638,21148,22392,27264,42481,10542,13436,15261,16588,17770,13872,15353,18355,21856,27087,143,168,189,216,265
4,7762363,7829291,7876852,7923245,7937501,0,0,0,0,0,3882188,3915586,3939480,3962378,3969522,3880175,3913705,3937372,3960867,3967979,510984,521181,547920,581959,594062,432954,434114,435149,436521,439002,401419,416916,420631,422688,425251,425847,442397,447071,449628,454446,24690,26902,31825,39159,41945,28828,32014,36570,40903,54470,7250,8691,9650,10958,11970,10573,13572,15437,16763,17869,3526,4306,4935,5654,6259,13688,15163,17973,21542,26758,38809,41419,47321,52587,57921,1266116,1295322,1330853,1371842,1416485,437213,442837,451203,454786,462578,267456,270782,275122,277974,281840,2,2,2,2,2,7803907,7860790,7898394,7936651,7948297,104276,108151,119447,124209,138307,24690,26902,31825,39159,41945,7250,8691,9650,10958,11970,3526,4306,4935,5654,6259,1448,1567,1801,1999,2249,8981,10273,11615,13581,16088,17235,20547,21744,26495,41087,10573,13572,15437,16763,17869,13688,15163,17973,21542,26758,118,157,178,198,234
5,7722453,7797786,7855533,7909914,7926601,0,0,0,0,0,3862416,3899930,3928959,3955754,3964132,3860037,3897856,3926574,3954160,3962469,526511,539023,571227,611666,627093,430532,431926,433187,434784,437740,393797,411825,416146,418509,421518,421911,441653,447238,450343,456106,25059,27326,32087,39704,42815,28954,32269,36623,41061,54271,7131,8564,9455,10654,11641,10748,13462,15404,16678,17911,3524,4197,4867,5576,6192,13765,15247,18226,21646,26666,38978,41612,47252,52761,58463,1289350,1324337,1367979,1417307,1471464,425819,432499,442169,446443,455624,261438,265335,270476,273873,278387,2,2,2,2,2,7762363,7829291,7876852,7923245,7937501,104261,108029,119526,124410,138324,25059,27326,32087,39704,42815,7131,8564,9455,10654,11641,3524,4197,4867,5576,6192,1513,1646,1897,2074,2289,9012,10217,11544,13421,15925,17373,20679,21958,26598,40890,10748,13462,15404,16678,17911,13765,15247,18226,21646,26666,153,180,197,227,267
6,7685470,7767782,7835587,7897557,7916643,0,0,0,0,0,3843997,3884758,3919050,3949616,3959256,3841473,3883024,3916537,3947941,3957387,543142,558112,594792,642573,661688,428135,429772,431135,433026,436420,386202,406679,411591,414318,417814,417895,440842,447398,451025,457800,26171,28551,33020,40885,44359,28852,31911,36304,40652,53632,7021,8426,9253,10470,11342,10667,13497,15518,16816,18047,3395,4082,4706,5289,5847,13612,15067,17897,21234,26292,39804,42590,47757,53521,59500,1311933,1352605,1403653,1461002,1523528,414819,422440,433388,438309,448825,255852,260248,266051,269924,275098,2,2,2,2,2,7722453,7797786,7855533,7909914,7926601,104570,108536,120280,124904,139134,26171,28551,33020,40885,44359,7021,8426,9253,10470,11342,3395,4082,4706,5289,5847,1508,1616,1870,2055,2286,9098,10333,11706,13523,15925,17171,20293,21586,26134,40102,10667,13497,15518,16816,18047,13612,15067,17897,21234,26292,152,185,206,227,267
7,7651388,7738777,7816968,7886077,7907329,0,0,0,0,0,3826878,3870233,3909739,3943801,3954356,3824510,3868544,3907229,3942223,3952810,559808,577500,618455,673493,696626,425640,427483,428999,431170,435020,379066,401766,407216,410242,414117,413871,439872,447358,451511,459288,26334,28943,33239,41143,44965,28462,31448,35849,39834,52346,6861,8251,9073,10215,11040,10577,13311,15307,16511,17701,3466,4123,4689,5332,5881,13673,15138,17933,21166,26019,39845,42957,47745,53695,59933,1333618,1379811,1437557,1503502,1573064,404145,412718,424833,430389,442223,250305,255190,261682,265981,271770,2,2,3,3,3,7685470,7767782,7835587,7897557,7916643,105126,108629,120486,125124,139107,26334,28943,33239,41143,44965,6861,8251,9073,10215,11040,3466,4123,4689,5332,5881,1500,1615,1893,2041,2267,8888,10051,11498,13348,15746,16851,20028,21234,25706,39053,10577,13311,15307,16511,17701,13673,15138,17933,21166,26019,143,174,197,218,263
8,7619050,7710767,7799418,7874194,7898076,0,0,0,0,0,3810669,3856229,3900919,3937998,3949532,3808381,3854538,3898499,3936196,3948470,577581,598076,643064,705560,732838,423297,425444,427137,429468,433748,372097,397040,403102,406421,410685,409768,438797,447169,451839,460681,27659,30143,34406,42355,46346,28633,31687,35944,39800,51952,6722,8005,8823,9849,10660,10456,13159,15217,16474,17738,3375,4025,4606,5231,5736,13688,15113,18083,21432,26303,40655,43720,48540,54440,60942,1353410,1404889,1469061,1543118,1618823,393994,403481,416641,422808,435834,244952,250300,257431,262169,268555,2,2,3,3,3,7651388,7738777,7816968,7886077,7907329,104195,107854,120027,124347,138724,27659,30143,34406,42355,46346,6722,8005,8823,9849,10660,3375,4025,4606,5231,5736,1457,1587,1869,2040,2261,8987,10097,11498,13282,15707,17105,20216,21446,25694,38652,10456,13159,15217,16474,17738,13688,15113,18083,21432,26303,160,180,204,230,267
9,7589108,7683598,7782831,7862864,7888570,0,0,0,0,0,3795889,3842783,3892802,3932484,3944866,3793219,3840815,3890029,3930380,3943704,595666,619159,668359,738353,770048,421225,423631,425423,428001,432693,365312,392339,398869,402512,407171,405679,437751,447045,452242,462121,28161,30730,35166,43151,47482,28169,31317,35376,39462,51162,6637,7803,8516,9577,10260,10484,13197,15253,16478,17729,3310,3940,4498,5053,5526,13769,15117,18089,21179,25961,40776,43708,49416,54778,61628,1372954,1429537,1499304,1581765,1662378,384297,394595,408733,415466,429547,239838,245596,253285,258441,265398,2,3,3,3,3,7619050,7710767,7799418,7874194,7898076,105078,108948,121171,125408,139681,28161,30730,35166,43151,47482,6637,7803,8516,9577,10260,3310,3940,4498,5053,5526,1547,1679,1977,2131,2354,8886,9972,11293,12997,15391,16754,19843,21059,25289,37994,10484,13197,15253,16478,17729,13769,15117,18089,21179,25961,152,172,192,208,254
