Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
23971,23990,0,24,24,34717049.0,35708089.5,17303930,39365735,4723868.1,6623.0,6845.0,4767,8063,872.9,34493477.9,35485774.5,17087556,39141458,4720763.1,216948.1,213537.0,211586,274786,12521.5,cuLaunchKernel,sembla_init_effect_owners
23971,23990,0,96,96,34306819.3,35399493.0,15148506,40572419,5101825.7,5319.3,5213.0,3275,11438,1180.9,34172614.1,35257267.5,15017573,40439409,5101639.0,128886.0,126961.0,122913,192226,7580.9,cuLaunchKernel,sembla_validate_effects
23971,23990,0,240,240,33720312.0,34731457.5,14271021,40738014,5420729.2,5148.4,4988.0,3015,16474,1239.4,33644732.1,34674089.0,14060813,40689930,5420247.0,70431.6,44528.0,40384,263938,62692.3,cuLaunchKernel,sembla_mark_effect_active
23971,23989,0,24,24,33058417.8,34602339.0,15029734,36314542,4397860.1,5821.4,5668.5,4727,8383,904.9,32838144.0,34382688.0,14812626,36092809,4397276.1,214452.5,214658.0,211426,218978,2079.3,cuLaunchKernel,sembla_init_effect_owners
23971,23990,0,24,24,32914577.5,33973181.0,14059790,38021337,5665195.7,6224.7,6033.5,4246,9003,1158.8,31972852.5,33026788.0,13147116,37084236,5659492.9,935500.3,937559.0,907687,942791,7805.4,cuLaunchKernel,sembla_resolve_conflicts
23971,23989,0,96,96,32816172.3,33678288.5,12973746,36401592,4452071.0,5247.9,4962.5,4057,16174,1381.6,32682994.1,33548180.0,12839734,36271024,4452519.8,127930.3,126673.0,123745,136417,3690.4,cuLaunchKernel,sembla_validate_effects
23971,23992,0,24,24,32510388.9,32647200.0,16717586,38938114,4534332.2,6020.7,6034.0,3966,7883,875.5,32283557.2,32426754.5,16499460,38717265,4526435.7,220811.0,214210.0,211777,299106,23243.6,cuLaunchKernel,sembla_init_effect_owners
23971,23991,0,24,24,32460396.4,33705098.0,14779743,35759446,4200025.1,7993.0,6920.5,5869,23676,3574.8,32238631.2,33482909.0,14560533,35536926,4199475.5,213772.3,213249.5,211970,218370,1481.9,cuLaunchKernel,sembla_init_effect_owners
23971,23992,0,96,96,32245469.0,32901540.5,15208193,39429522,4818007.9,5044.4,4877.5,3205,9785,1206.3,32103544.9,32769301.5,15077555,39298572,4810972.1,136879.7,127073.0,124513,290498,31076.4,cuLaunchKernel,sembla_validate_effects
23971,23990,0,24,24,32179780.7,33129418.0,13143268,37873644,5763441.7,6153.4,6164.5,3966,9064,1024.4,31754518.9,32705997.0,12724942,37447932,5763012.9,419108.4,418115.0,413219,429252,4150.3,cuLaunchKernel,sembla_reduce_claim_instances
23971,23989,0,240,240,32103298.8,33243374.0,11973707,36026487,4615624.6,4796.8,4307.0,3026,31928,2078.8,32030964.1,33073779.5,11714989,35975474,4618283.5,67537.8,43984.5,40577,254082,61248.9,cuLaunchKernel,sembla_mark_effect_active
23971,23991,0,96,96,31842660.9,32919571.0,13475726,36179419,4371444.8,6112.4,5789.0,4507,16536,1408.4,31708684.9,32787743.0,13344880,36048765,4371355.2,127863.6,126753.0,123617,139041,3689.0,cuLaunchKernel,sembla_validate_effects
23971,23992,0,960,960,31608948.3,31984465.0,16864913,39619281,3728043.0,21319.5,4667.0,2744,683848,63158.6,31491406.6,31873406.0,16692385,39389198,3719307.2,96222.1,89857.0,48641,226017,32308.8,cuLaunchKernel,sembla_prepare_effects
23971,23990,0,24,24,31600943.0,32640302.5,12717451,36408968,5750079.8,6574.8,6309.0,3746,16935,2389.0,31184810.6,32223728.0,12308710,35983656,5749779.0,409557.7,407827.0,404355,423203,4961.2,cuLaunchKernel,sembla_reduce_claim_entities
23971,23992,0,240,240,31545069.5,33169997.0,12669373,36754291,5070912.3,5205.8,4767.0,3034,18668,1948.7,31468777.9,33037219.0,12459360,36705488,5072148.2,71085.7,45152.5,40512,308643,63604.7,cuLaunchKernel,sembla_mark_effect_active
23971,23990,0,24,24,31323710.5,32428285.0,12138622,36149497,5939528.9,5868.5,5874.0,4727,7482,564.4,30957944.8,32064110.0,11766020,35782733,5942048.3,359897.3,358755.0,356578,371714,4122.6,cuLaunchKernel,sembla_reduce_claim_rules
23971,23989,0,24,24,31259409.0,31900525.0,11714926,35053736,4755130.1,5817.7,5593.0,4787,9183,1044.3,30313276.3,30956238.5,10766052,34103591,4753413.2,940315.0,942487.0,919655,948263,6207.7,cuLaunchKernel,sembla_resolve_conflicts
23971,23990,0,24,24,30985570.4,32351040.0,9934737,36653457,6588088.8,7153.2,7215.5,5458,9945,1052.6,30258809.3,31623825.0,9215313,35900233,6585379.9,719607.9,719413.5,713285,745573,6188.0,cuLaunchKernel,sembla_build_claim_instances
23971,23990,0,960,960,30949627.5,32856525.0,17447150,39677740,5136638.7,22759.6,5898.5,3165,1950693,87142.5,30831865.5,32705022.0,17280661,39466311,5138191.9,95002.4,90721.0,48128,251938,33077.1,cuLaunchKernel,sembla_prepare_effects
23971,23990,0,24,24,30774145.2,32004178.0,10868969,35241548,6211344.7,6680.9,6334.5,4327,10917,1455.1,30455219.5,31689295.0,10560023,34924621,6210477.2,312244.8,311906.0,304610,318722,4662.9,cuLaunchKernel,sembla_reduce_claim_keys
23971,23991,0,240,240,30699920.6,31912866.5,9584107,35960543,4559200.2,5122.5,4827.0,3005,10766,866.0,30626847.6,31820140.0,9323562,35906076,4564804.0,67950.5,45153.0,40416,278978,61894.0,cuLaunchKernel,sembla_mark_effect_active
23971,23992,0,24,24,30531707.8,32405008.5,12136466,34213035,5754244.7,5800.0,5783.5,3866,7852,823.7,29575899.4,31449258.5,11204847,33254875,5750415.4,950008.3,951159.0,926311,955271,6096.4,cuLaunchKernel,sembla_resolve_conflicts
23971,23989,0,24,24,30423445.3,31022670.0,10790262,34143124,4814996.0,5828.8,5478.0,4527,10456,1267.5,29995965.3,30598691.5,10367749,33719904,4813670.7,421651.1,419795.0,416804,433827,4812.9,cuLaunchKernel,sembla_reduce_claim_instances
23971,23990,0,24,24,30336415.1,31746599.0,8833332,35978608,6725569.8,6889.8,6764.5,3946,8763,1080.6,30087634.0,31496293.0,8589289,35730485,6724772.6,241891.2,241553.5,236546,249058,3096.1,cuLaunchKernel,sembla_init_conflict_winners
23971,23992,0,24,24,30224334.3,30485716.0,19160389,34073501,3088461.4,7112.7,5828.0,3405,24196,3954.1,29514777.6,29767667.5,18508781,33383693,3085339.2,702444.0,711125.5,645989,719077,19990.0,cuLaunchKernel,sembla_apply_effects
23971,23990,0,24,24,30164309.6,31605060.0,8607997,35756708,6747317.3,6163.8,6254.0,4837,7081,553.6,30154643.0,31593613.0,8600751,35745880,6746604.1,3502.7,3840.0,1376,6208,1608.2,cuLaunchKernel,sembla_validate_claim_compatibility
23971,23992,0,72,72,30029577.3,30698001.5,20783050,34326943,3058469.9,6288.2,5698.5,2754,31377,3990.6,29730590.1,30399933.5,20488768,34021838,3058670.9,292699.1,291538.0,289026,301378,3193.3,cuLaunchKernel,sembla_count_deferred
23971,23992,0,96,96,30002083.8,30359565.5,19125805,34124774,3003803.6,33505.4,5663.0,3275,395755,77597.5,29965266.7,30337396.0,19119122,34118848,3000257.4,3311.7,3888.0,1152,6240,1631.0,cuLaunchKernel,sembla_validate_outputs
23971,23989,0,24,24,29796724.8,30376284.5,10367875,33655747,4781522.5,6140.5,6004.0,4787,9665,1093.0,29380497.3,29960489.0,9953836,33238501,4780876.0,410087.0,409059.0,406499,419203,3434.7,cuLaunchKernel,sembla_reduce_claim_entities
23971,23991,0,960,960,29720750.7,29588735.5,14976256,36069949,4306986.1,23239.6,7210.5,3425,1817824,85320.1,29607275.2,29469732.0,14750133,35822331,4300445.9,90235.9,84336.5,52640,224290,28788.4,cuLaunchKernel,sembla_prepare_effects
23971,23992,0,24,24,29606583.5,31387010.5,10945925,33468816,5901014.5,5877.5,5433.5,4556,12008,1520.0,29173313.4,30955161.0,10503755,33037347,5903809.4,427392.5,426275.0,422883,437923,3689.3,cuLaunchKernel,sembla_reduce_claim_instances
23971,23989,0,24,24,29473376.1,30154026.5,9955972,33495365,4786182.5,5266.3,5057.0,4416,7211,790.2,29107978.0,29790118.0,9592097,33132914,4785405.5,360131.8,358867.0,356739,374179,4159.6,cuLaunchKernel,sembla_reduce_claim_rules
23971,23989,0,960,960,29395467.4,29304981.5,15221356,36733443,4374500.4,21943.0,7161.0,2954,1942639,97253.4,29281923.7,29205578.5,14996714,36513864,4365478.0,91600.7,85456.5,51968,218658,29253.9,cuLaunchKernel,sembla_prepare_effects
23971,23991,0,24,24,29276048.8,30759274.0,9144661,33021651,4726753.3,7435.8,6950.5,5679,20291,2807.7,28347878.2,29832679.5,8209187,32085328,4724432.0,920734.8,918311.0,894566,988648,16805.6,cuLaunchKernel,sembla_resolve_conflicts
23971,23989,0,24,24,29255963.0,29385397.5,9284732,33860969,4807165.0,6621.6,6239.0,5047,17397,2392.3,28528264.0,28659990.5,8555345,33136462,4805797.6,721077.3,718613.5,715429,774150,11518.8,cuLaunchKernel,sembla_build_claim_instances
23971,23990,0,24,24,29193383.0,30979367.5,6732689,35637776,7125466.1,77256.5,6890.0,4307,740513,200589.5,28943011.8,30804420.5,6559453,34642477,7070780.0,173114.6,168929.0,165665,254786,17575.2,cuLaunchKernel,sembla_transition_00000009
23971,23992,0,24,24,28994329.3,30571551.5,9833228,32988162,6054566.8,5811.9,5618.5,4356,10055,1133.2,28563630.3,30151502.5,9399949,32564922,6056401.3,424887.2,416627.5,412707,576612,32907.6,cuLaunchKernel,sembla_reduce_claim_entities
23971,23992,0,24,24,28972865.7,30811641.5,8522993,32877257,6392604.9,7606.4,6830.0,5008,24587,3865.2,28228097.8,30081534.5,7796956,32128793,6385610.2,737161.5,724310.0,720261,848839,35428.6,cuLaunchKernel,sembla_build_claim_instances
23971,23989,0,24,24,28925477.6,29511362.5,9578731,33070351,4742823.4,6831.2,6550.0,5388,11527,1192.3,28607537.5,29190471.5,9255914,32747042,4743888.0,311108.9,314466.0,302562,317891,6196.1,cuLaunchKernel,sembla_reduce_claim_keys
23971,23992,0,240,240,28912297.5,29395921.0,19317251,33333202,3063771.2,13573.5,5849.5,2824,707713,54658.4,28815261.3,29304808.0,19227194,33238678,3063590.1,83462.7,83009.0,82208,88417,1110.0,cuLaunchKernel,sembla_count_fired
23971,23992,0,24,24,28659866.0,30548583.0,9172222,32796618,6165311.7,6059.9,5288.5,3735,9404,1711.1,28283308.6,30161798.5,8804731,32424713,6162142.9,370497.5,363811.0,361730,442755,19447.1,cuLaunchKernel,sembla_reduce_claim_rules
23971,23989,0,24,24,28586445.1,28825762.5,8386964,33108005,4817848.4,6254.3,6279.5,4898,10716,1265.3,28335787.5,28577402.0,8126208,32856321,4819576.2,244403.3,243010.0,238274,253826,4648.0,cuLaunchKernel,sembla_init_conflict_winners
23971,23992,0,24,24,28575956.2,30449925.0,6299756,35134210,7450976.8,154105.5,8032.5,4166,1653035,369202.4,28249797.5,29624477.0,6123934,34945625,7395698.9,172053.2,168737.0,166881,242338,15044.2,cuLaunchKernel,sembla_transition_00000008
23971,23992,0,24,24,28452121.1,30211444.5,7828583,32308813,6464152.4,6297.8,6209.5,4647,8143,984.2,28199329.4,29956481.5,7585317,32059043,6461605.1,246493.9,242866.0,237698,308290,14090.9,cuLaunchKernel,sembla_init_conflict_winners
23971,23991,0,72,72,28417050.7,28227450.0,21319249,32122132,2625713.3,7961.1,7891.5,3485,16325,2348.5,28118068.8,27930827.5,21024586,31817168,2624433.4,291020.8,290354.0,288546,299554,2489.4,cuLaunchKernel,sembla_count_deferred
23971,23991,0,24,24,28392631.6,29791578.5,8243421,32010584,4697102.9,6226.1,6194.5,4958,8573,644.2,27971670.5,29386060.0,7838361,31603160,4689940.6,414735.1,400003.0,394979,598821,42779.8,cuLaunchKernel,sembla_reduce_claim_instances
23971,23992,0,24,24,28380829.4,30040771.5,7601579,33004817,6551760.6,6172.2,5898.5,4347,9174,1245.8,28369617.3,30032145.5,7593873,32963681,6549631.7,5040.0,2144.0,1120,34176,7844.4,cuLaunchKernel,sembla_validate_claim_compatibility
23971,23989,0,24,24,28365904.0,28553309.0,7257185,32990596,4979256.2,5547.5,5313.0,4537,8232,815.1,28356948.5,28544901.0,7249378,32984204,4978894.6,3408.0,2432.0,1120,8512,2181.0,cuLaunchKernel,sembla_validate_claim_compatibility
23971,23992,0,24,24,28312594.0,28842909.5,19220772,31962081,3125263.4,6319.9,5718.0,3776,15603,2388.8,28302960.7,28832211.5,19214166,31954485,3125583.6,3313.4,3008.0,1568,9344,1834.5,cuLaunchKernel,sembla_init_control_counts
23971,23992,0,24,24,28261515.0,28779078.5,19222268,31967685,3091979.4,6121.4,5653.5,3635,10816,1715.8,28250980.2,28769139.0,19215966,31957873,3091877.1,4413.4,4576.0,1856,7456,1390.8,cuLaunchKernel,sembla_prepare_outputs
23971,23992,0,24,24,28094152.7,29879009.0,8819457,32369857,6107150.8,6803.9,6890.5,4116,11387,1638.7,27775089.0,29561727.0,8494698,32052988,6108601.2,312259.8,310658.0,304546,320643,5482.4,cuLaunchKernel,sembla_reduce_claim_keys
23971,23990,0,24,24,28027041.8,30279317.5,6012324,34594646,7316543.7,74595.8,7631.0,4998,350187,98987.8,27774184.9,30101723.0,5837725,34248294,7276326.7,178261.2,170994.0,167777,278018,26456.0,cuLaunchKernel,sembla_transition_00000008
23971,23992,0,24,24,27815469.3,28986860.0,7062168,32723007,6642686.2,155827.5,34091.0,4377,700043,218393.1,27489865.9,28589669.5,6886678,32548234,6578840.9,169775.9,169473.0,167010,173954,1877.5,cuLaunchKernel,sembla_transition_00000009
23971,23991,0,24,24,27672313.2,28944478.5,7847451,30678336,4574069.8,6578.3,6459.5,5568,8423,703.6,27245377.0,28541305.0,7451159,30278721,4559934.0,420357.9,391091.0,387267,593541,67490.4,cuLaunchKernel,sembla_reduce_claim_entities
23971,23991,0,24,24,27547206.2,28635292.5,5013551,31359141,5039832.4,119804.2,9694.5,5338,912001,226932.0,27257434.1,28363877.5,4834675,31179645,5027219.5,169967.9,168657.0,166337,195746,5673.6,cuLaunchKernel,sembla_transition_00000008
23971,23990,0,72,72,27536024.5,26983325.0,20716918,33804456,2405314.3,6194.1,6074.0,3305,13490,1798.6,27235238.5,26687342.0,20423472,33509146,2406277.8,294591.9,290834.0,288450,440739,18338.7,cuLaunchKernel,sembla_count_deferred
23971,23989,0,24,24,27282217.1,28194339.5,3921096,31339578,5365988.7,24241.8,6334.5,5178,179279,43174.4,27079946.0,28008352.0,3736233,31049463,5361522.0,178029.3,178145.5,174241,182338,2350.0,cuLaunchKernel,sembla_transition_00000007
23971,23989,0,24,24,27183789.6,28549277.5,4415537,30500025,5151144.9,90483.3,23460.0,5358,692710,167565.1,26924203.7,28131834.5,4235992,30295116,5125331.1,169102.5,168929.0,167169,173313,1439.2,cuLaunchKernel,sembla_transition_00000008
23971,23991,0,24,24,27059152.1,27476000.5,19731610,30242829,2601342.3,9952.7,8979.0,6080,24447,3606.6,26359307.5,26770264.5,19013525,29541539,2595118.6,689892.0,694694.0,638276,712005,21272.9,cuLaunchKernel,sembla_apply_effects
23971,23991,0,24,24,27038703.0,27898259.0,6860265,30632182,4585043.7,7548.0,7096.0,5849,16214,1988.6,26308312.4,27178224.0,6148304,29918257,4576862.5,722842.7,705973.0,702021,883878,44461.2,cuLaunchKernel,sembla_build_claim_instances
23971,23991,0,96,96,27035551.1,26732746.5,19561375,30262969,2585642.9,17373.8,8658.5,3546,255644,33457.7,27014747.2,26721823.0,19555525,30253818,2583160.3,3430.0,3648.0,1184,6720,1713.1,cuLaunchKernel,sembla_validate_outputs
23971,23991,0,24,24,27013370.0,27647064.0,7459195,30474356,4473383.5,6875.5,6205.0,5068,17446,2353.7,26658148.0,27294817.5,7107923,30118138,4471810.1,348346.5,345667.0,342659,360930,6214.9,cuLaunchKernel,sembla_reduce_claim_rules
23971,23991,0,240,240,26968917.1,26883745.5,19175912,30750300,2619588.0,12346.9,7691.5,3354,563227,40703.2,26873036.5,26793901.0,19087406,30661286,2618589.7,83533.8,83040.5,82113,88833,1248.1,cuLaunchKernel,sembla_count_fired
23971,23989,0,24,24,26915992.9,26698656.0,19726606,30286010,2797158.2,8564.1,8688.0,4807,13700,1844.4,26214055.6,25984437.5,19010818,29576131,2793707.1,693373.1,702581.0,646245,711365,19885.2,cuLaunchKernel,sembla_apply_effects
23971,23989,0,24,24,26821171.0,27637103.0,4899729,32279395,5154637.3,118262.4,38623.0,4897,646322,169136.8,26533299.3,27331183.5,4722313,32102633,5117040.4,169609.3,169298.0,166753,173537,1697.7,cuLaunchKernel,sembla_transition_00000009
23971,23991,0,24,24,26811419.1,27846659.5,5599939,29904876,4783260.9,115642.2,15698.5,5057,909127,233752.3,26526525.2,27195731.5,5424609,29692941,4757350.3,169251.8,168769.0,166529,173665,1974.1,cuLaunchKernel,sembla_transition_00000009
23971,23991,0,24,24,26787549.5,27660887.0,4470085,30427180,4982183.9,30265.9,7396.0,5838,328844,70758.9,26580008.9,27352518.0,4284636,30245600,4979594.3,177274.7,176817.5,173057,181793,2238.6,cuLaunchKernel,sembla_transition_00000007
23971,23989,0,72,72,26653378.0,26844558.5,18984058,30052478,2427687.0,7269.3,7165.5,3074,22053,2971.0,26352328.3,26549121.5,18687350,29755628,2427139.2,293780.4,291458.0,288770,395363,12580.5,cuLaunchKernel,sembla_count_deferred
23971,23989,0,96,96,26638184.1,26507199.0,17859538,30851000,2848806.2,60407.8,8257.5,3295,2570355,268425.9,26575501.9,26475191.0,17628596,30840925,2848326.7,2274.3,1808.0,1152,5408,1170.6,cuLaunchKernel,sembla_validate_outputs
23971,23991,0,24,24,26552112.2,27313714.5,7123880,30089873,4427137.7,7377.4,7386.0,5559,9183,870.0,26239296.6,27002034.5,6808399,29770933,4427486.9,305438.1,305218.0,294338,353763,12248.8,cuLaunchKernel,sembla_reduce_claim_keys
23971,23992,0,24,24,26398286.7,28251599.5,5585292,31684995,6859920.7,5661.0,4846.5,3665,13450,2282.4,26215232.3,28070002.0,5393824,31500315,6861280.0,177393.4,177057.0,174049,182529,2354.6,cuLaunchKernel,sembla_transition_00000007
23971,23991,0,24,24,26336204.8,27199678.5,6158684,30048883,4540081.2,7479.3,6960.5,5749,17887,2286.8,26085885.1,26948465.0,5913244,29801681,4539178.2,242840.4,242642.0,238146,251010,3444.6,cuLaunchKernel,sembla_init_conflict_winners
23971,23991,0,24,24,26324174.7,27221831.5,5929002,29878904,4593399.3,6275.2,6329.5,4667,7731,626.3,26315052.8,27211130.5,5920815,29870986,4593431.7,2846.7,2544.0,1152,6176,1450.3,cuLaunchKernel,sembla_validate_claim_compatibility
23971,23990,0,24,24,26210471.0,25354582.5,19671213,33622793,3388483.5,8189.5,7321.0,4116,26890,4401.1,25497115.0,24640711.5,19022460,32932952,3395934.1,705166.5,713013.5,644197,775590,25171.4,cuLaunchKernel,sembla_apply_effects
23971,23991,0,24,24,26177444.3,25951052.0,19000916,29506658,2751799.7,9465.4,8648.0,5258,35163,5753.0,26164637.5,25940917.0,18994314,29496762,2751749.0,3341.3,2384.0,1344,7072,1872.7,cuLaunchKernel,sembla_init_control_counts
23971,23990,0,96,96,26164462.2,25295952.5,19367258,33728897,3227676.7,68957.3,6930.0,3315,1918795,233924.2,26092212.9,25260833.5,19362064,33699396,3207860.2,3292.0,2048.0,1184,32160,4513.8,cuLaunchKernel,sembla_validate_outputs
23971,23991,0,24,24,26153345.8,25938309.5,18988145,29500962,2749112.2,8692.3,8262.0,5439,23526,3675.7,26140364.0,25926342.5,18979538,29492756,2748114.8,4289.4,4208.5,1856,8096,1865.2,cuLaunchKernel,sembla_prepare_outputs
23971,23990,0,240,240,26032515.3,25730749.5,19395212,33182381,2581239.8,11970.5,6084.0,2254,173892,25294.7,25935279.8,25636457.0,19308515,33091725,2579616.1,85265.1,83233.0,82337,228738,11253.9,cuLaunchKernel,sembla_count_fired
