beta,gamma
0.82311129570007324,0.1133008748292923
0.78766930103302002,0.097563654184341431
0.78185415267944336,0.11078739166259766
0.80561339855194092,0.099229514598846436
0.81218230724334717,0.11205321550369263
0.83257824182510376,0.10547934472560883
0.75051140785217285,0.10155663639307022
0.83062022924423218,0.13553458452224731
0.78083342313766479,0.10746418684720993
0.88195270299911499,0.11821165680885315
0.78655487298965454,0.10313574969768524
0.86646246910095215,0.10377462208271027
0.81764638423919678,0.11865966022014618
0.84069883823394775,0.10507002472877502
0.83899986743927002,0.1147192120552063
0.80778902769088745,0.11879812926054001
0.81149590015411377,0.11070988327264786
0.83853423595428467,0.12825807929039001
0.84732306003570557,0.10254776477813721
0.81072300672531128,0.10973097383975983
0.81949311494827271,0.10287848114967346
0.80041605234146118,0.11066703498363495
0.75331330299377441,0.097604446113109589
0.85196644067764282,0.11982098966836929
0.81143021583557129,0.11527948081493378
0.77703738212585449,0.080850951373577118
0.81435507535934448,0.10641545057296753
0.81062847375869751,0.10949453711509705
0.86025762557983398,0.13736218214035034
0.8619958758354187,0.11218801140785217
0.79322552680969238,0.11043207347393036
0.87709653377532959,0.098279573023319244
0.8718559741973877,0.098547481000423431
0.86114346981048584,0.10168926417827606
0.79748255014419556,0.10101436823606491
0.84076440334320068,0.11403366178274155
0.80380117893218994,0.10907086730003357
0.72509807348251343,0.10936518758535385
0.81577587127685547,0.13535414636135101
0.86214488744735718,0.1142461970448494
0.86046844720840454,0.11790140718221664
0.81219178438186646,0.10214916616678238
0.80252158641815186,0.095492258667945862
0.77199363708496094,0.10206322371959686
0.772236168384552,0.099166996777057648
0.80927485227584839,0.1094132736325264
0.79116165637969971,0.11817419528961182
0.87859624624252319,0.1030464693903923
0.83233243227005005,0.11144768446683884
0.79415112733840942,0.11262141913175583
0.91831344366073608,0.10096858441829681
0.7737695574760437,0.10553324222564697
0.79435580968856812,0.10952194035053253
0.77536612749099731,0.10193851590156555
0.75412756204605103,0.11146964877843857
0.8246271014213562,0.13024401664733887
0.78414851427078247,0.1128116250038147
0.72696197032928467,0.10417874157428741
0.7111855149269104,0.099576085805892944
0.83677804470062256,0.096678741276264191
0.79160702228546143,0.10659318417310715
0.82418674230575562,0.10617312043905258
0.78235536813735962,0.11024333536624908
0.84762215614318848,0.11596658825874329
0.85321098566055298,0.10311444848775864
0.8204643726348877,0.098939672112464905
0.88538461923599243,0.11611723154783249
0.80028164386749268,0.11886703968048096
0.83445519208908081,0.099214166402816772
0.87260240316390991,0.11448271572589874
0.88007676601409912,0.12916465103626251
0.87236261367797852,0.10975340008735657
0.90788060426712036,0.12408588081598282
0.81512576341629028,0.10094030946493149
0.84693259000778198,0.10717462748289108
0.8145902156829834,0.10122968256473541
0.76455008983612061,0.10741738229990005
0.80476886034011841,0.11886501312255859
0.96854609251022339,0.090970896184444427
0.84857308864593506,0.13212685286998749
0.76469939947128296,0.12358256429433823
0.79075157642364502,0.10483833402395248
0.79084891080856323,0.10582778602838516
0.91763800382614136,0.1130698025226593
0.81918799877166748,0.098487086594104767
0.86825716495513916,0.12422783672809601
0.83685177564620972,0.10402359813451767
0.77931123971939087,0.10693962872028351
0.79231691360473633,0.098653122782707214
0.83908283710479736,0.12770263850688934
0.92658412456512451,0.12444727867841721
0.88884830474853516,0.10730699449777603
0.8055385947227478,0.11665810644626617
0.8125680685043335,0.10099971294403076
0.87001252174377441,0.13125483691692352
0.87213516235351562,0.11581581830978394
0.86030489206314087,0.12113330513238907
0.88581591844558716,0.15360811352729797
0.81918847560882568,0.11386270076036453
0.79264533519744873,0.10930266976356506
0.84877747297286987,0.12128588557243347
0.76778382062911987,0.1027565523982048
0.79563748836517334,0.10559052228927612
0.76297515630722046,0.092193961143493652
0.84378665685653687,0.10097323358058929
0.75566238164901733,0.10395617783069611
0.83396875858306885,0.11254564672708511
0.8279908299446106,0.10653116554021835
0.80640250444412231,0.11053214967250824
0.7917555570602417,0.13205461204051971
0.71926850080490112,0.090369895100593567
0.92156332731246948,0.10719718039035797
0.80927938222885132,0.10921553522348404
0.86845254898071289,0.10967981070280075
0.82272076606750488,0.1026882603764534
0.84188425540924072,0.11965546011924744
0.79887598752975464,0.11012618988752365
0.88274818658828735,0.11368584632873535
0.81062370538711548,0.10471422225236893
0.76253950595855713,0.078944087028503418
0.88803738355636597,0.12261604517698288
0.92527544498443604,0.11422768980264664
0.75532782077789307,0.1160837784409523
0.84968894720077515,0.10869091004133224
0.91113227605819702,0.10744873434305191
0.9282192587852478,0.11495751142501831
0.83990728855133057,0.119012251496315
0.76231837272644043,0.10508501529693604
0.8979986310005188,0.11992067098617554
0.87345445156097412,0.10259824246168137
0.74427998065948486,0.099108293652534485
0.7804790735244751,0.10359391570091248
0.77249890565872192,0.11811663955450058
0.76346319913864136,0.09756401926279068
0.87810754776000977,0.11690555512905121
0.15640264749526978,0.083032488822937012
0.80238431692123413,0.10577075928449631
0.82348412275314331,0.11648958921432495
