tick,population_p05,population_p25,population_p50,population_p75,population_p95,invalid_age_p05,invalid_age_p25,invalid_age_p50,invalid_age_p75,invalid_age_p95,males_p05,males_p25,males_p50,males_p75,males_p95,females_p05,females_p25,females_p50,females_p75,females_p95,age_00_04_p05,age_00_04_p25,age_00_04_p50,age_00_04_p75,age_00_04_p95,age_20_24_p05,age_20_24_p25,age_20_24_p50,age_20_24_p75,age_20_24_p95,age_65_69_p05,age_65_69_p25,age_65_69_p50,age_65_69_p75,age_65_69_p95,age_85_plus_p05,age_85_plus_p25,age_85_plus_p50,age_85_plus_p75,age_85_plus_p95,births_this_tick_p05,births_this_tick_p25,births_this_tick_p50,births_this_tick_p75,births_this_tick_p95,deaths_this_tick_p05,deaths_this_tick_p25,deaths_this_tick_p50,deaths_this_tick_p75,deaths_this_tick_p95,overseas_arrivals_this_tick_p05,overseas_arrivals_this_tick_p25,overseas_arrivals_this_tick_p50,overseas_arrivals_this_tick_p75,overseas_arrivals_this_tick_p95,overseas_departures_this_tick_p05,overseas_departures_this_tick_p25,overseas_departures_this_tick_p50,overseas_departures_this_tick_p75,overseas_departures_this_tick_p95,internal_arrivals_this_tick_p05,internal_arrivals_this_tick_p25,internal_arrivals_this_tick_p50,internal_arrivals_this_tick_p75,internal_arrivals_this_tick_p95,internal_departures_this_tick_p05,internal_departures_this_tick_p25,internal_departures_this_tick_p50,internal_departures_this_tick_p75,internal_departures_this_tick_p95,locked_out_p05,locked_out_p25,locked_out_p50,locked_out_p75,locked_out_p95,vacant_birth_slots_p05,vacant_birth_slots_p25,vacant_birth_slots_p50,vacant_birth_slots_p75,vacant_birth_slots_p95,vacant_overseas_slots_p05,vacant_overseas_slots_p25,vacant_overseas_slots_p50,vacant_overseas_slots_p75,vacant_overseas_slots_p95,vacant_internal_slots_p05,vacant_internal_slots_p25,vacant_internal_slots_p50,vacant_internal_slots_p75,vacant_internal_slots_p95,max_generation_p05,max_generation_p25,max_generation_p50,max_generation_p75,max_generation_p95,fired_age_monthly_p05,fired_age_monthly_p25,fired_age_monthly_p50,fired_age_monthly_p75,fired_age_monthly_p95,fired_clear_event_p05,fired_clear_event_p25,fired_clear_event_p50,fired_clear_event_p75,fired_clear_event_p95,fired_birth_activate_p05,fired_birth_activate_p25,fired_birth_activate_p50,fired_birth_activate_p75,fired_birth_activate_p95,fired_overseas_arrive_p05,fired_overseas_arrive_p25,fired_overseas_arrive_p50,fired_overseas_arrive_p75,fired_overseas_arrive_p95,fired_internal_arrive_p05,fired_internal_arrive_p25,fired_internal_arrive_p50,fired_internal_arrive_p75,fired_internal_arrive_p95,fired_die_young_p05,fired_die_young_p25,fired_die_young_p50,fired_die_young_p75,fired_die_young_p95,fired_die_adult_p05,fired_die_adult_p25,fired_die_adult_p50,fired_die_adult_p75,fired_die_adult_p95,fired_die_old_p05,fired_die_old_p25,fired_die_old_p50,fired_die_old_p75,fired_die_old_p95,fired_emigrate_p05,fired_emigrate_p25,fired_emigrate_p50,fired_emigrate_p75,fired_emigrate_p95,fired_internal_depart_p05,fired_internal_depart_p25,fired_internal_depart_p50,fired_internal_depart_p75,fired_internal_depart_p95,deferred_total_p05,deferred_total_p25,deferred_total_p50,deferred_total_p75,deferred_total_p95
0,7959997,7967641,7983059,7983059,7987529,0,0,0,0,0,3980669,3984515,3992163,3992163,3994416,3979328,3983126,3990896,3990896,3993113,457010,461660,463414,463414,470954,442324,442561,442968,442968,443538,437558,439425,439705,439705,440718,443853,445422,445918,445918,446863,22999,27172,30005,30005,37087,28420,32396,37669,37669,41311,8715,9462,10162,10162,11181,11667,14070,15636,15636,16312,4111,4889,5281,5281,6058,14999,16404,22559,22559,27453,37350,42615,42831,42831,54326,1162913,1169995,1172828,1172828,1177001,488819,489838,490538,490538,491285,293942,294719,295111,295111,295889,1,1,1,1,1,8000000,8000000,8000000,8000000,8000000,0,0,0,0,0,22999,27172,30005,30005,37087,8715,9462,10162,10162,11181,4111,4889,5281,5281,6058,1422,1424,2214,2214,2301,9259,9473,10593,10593,14634,17737,20821,21501,21501,28417,11667,14070,15636,15636,16312,14999,16404,22559,22559,27453,123,189,206,206,272
1,7919822,7935116,7965291,7965291,7974698,0,0,0,0,0,3960465,3968208,3983241,3983241,3987923,3959357,3966908,3982050,3982050,3986775,469876,479044,482458,482458,497006,439943,440467,441282,441282,442376,430760,434421,434903,434903,436927,442789,445936,446934,446934,448846,22167,26166,28897,28897,35424,28113,32115,37372,37372,40923,8568,9310,10047,10047,11027,11274,13730,15207,15207,15893,4022,4843,5231,5231,6065,14888,16266,22276,22276,27009,36320,41444,41487,41487,52516,1198756,1201748,1223932,1223932,1224543,477792,479791,481228,481228,482717,287877,289488,290268,290268,291867,1,1,1,1,1,7959997,7967641,7983059,7983059,7987529,97701,107059,125593,125593,125665,22167,26166,28897,28897,35424,8568,9310,10047,10047,11027,4022,4843,5231,5231,6065,1379,1382,2234,2234,2337,9085,9297,10427,10427,14339,17649,20799,21436,21436,28159,11274,13730,15207,15207,15893,14888,16266,22276,22276,27009,115,177,196,196,259
2,7881363,7903762,7948319,7948319,7962229,0,0,0,0,0,3941369,3952505,3974764,3974764,3981654,3939994,3951257,3973555,3973555,3980575,483803,497223,503059,503059,524337,437410,438218,439361,439361,441054,424211,429605,430330,430330,433369,441793,446423,447995,447995,450882,23377,27155,30643,30643,36970,28091,31959,36925,36925,40510,8330,8993,9703,9703,10601,11536,13952,15445,15445,16102,3984,4728,5081,5081,5807,14781,16082,22289,22289,26954,37098,41939,42957,42957,53378,1228868,1232070,1270011,1270011,1274951,467191,470088,472235,472235,474387,282070,284407,285540,285540,287883,2,2,2,2,2,7919822,7935116,7965291,7965291,7974698,95719,105165,122800,122800,123149,23377,27155,30643,30643,36970,8330,8993,9703,9703,10601,3984,4728,5081,5081,5807,1445,1455,2214,2214,2302,9081,9279,10392,10392,14106,17565,20605,21225,21225,27816,11536,13952,15445,15445,16102,14781,16082,22289,22289,26954,133,197,219,219,281
3,7844515,7873417,7932462,7932462,7950474,0,0,0,0,0,3922889,3937388,3966839,3966839,3975766,3921626,3936029,3965623,3965623,3974708,498732,516081,524751,524751,552537,435162,436230,437722,437722,440015,418091,425156,426090,426090,430041,440714,446830,448933,448933,452833,24284,27699,31729,31729,37795,28079,31922,37157,37157,40260,8347,8994,9675,9675,10602,11180,13436,14975,14975,15669,3935,4716,5047,5047,5779,14917,16207,22442,22442,27163,37994,42421,44011,44011,54176,1255488,1264501,1314070,1314070,1324530,456663,460465,463308,463308,466108,276341,279397,280866,280866,283988,2,2,2,2,2,7881363,7903762,7948319,7948319,7962229,96347,105550,123728,123728,124373,24284,27699,31729,31729,37795,8347,8994,9675,9675,10602,3935,4716,5047,5047,5779,1474,1484,2274,2274,2387,8967,9158,10246,10246,14218,17638,20665,21280,21280,27627,11180,13436,14975,14975,15669,14917,16207,22442,22442,27163,114,179,203,203,265
4,7809857,7844568,7918208,7918208,7939824,0,0,0,0,0,3905826,3923127,3959956,3959956,3970601,3904031,3921441,3958252,3958252,3969223,514838,535814,547920,547920,581959,432954,434283,436134,436134,439002,412083,420644,421813,421813,426715,439382,447071,449699,449699,454536,25508,28679,33315,33315,39159,27664,31334,36570,36570,39438,8034,8691,9395,9395,10265,11270,13572,15126,15126,15845,3841,4610,4935,4935,5654,14725,15962,22153,22153,26838,38809,43009,45190,45190,55078,1280792,1295100,1356652,1356652,1371842,446578,451203,454786,454786,458233,270782,274522,276336,276336,280220,2,2,2,2,2,7844515,7873417,7932462,7932462,7950474,96597,106333,124209,124209,124870,25508,28679,33315,33315,39159,8034,8691,9395,9395,10265,3841,4610,4935,4935,5654,1448,1464,2246,2246,2377,8981,9181,10273,10273,14223,17235,20101,20689,20689,26788,11270,13572,15126,15126,15845,14725,15962,22153,22153,26838,97,157,182,182,234
5,7775971,7815871,7903827,7903827,7928476,0,0,0,0,0,3889018,3908787,3952829,3952829,3964848,3886953,3907084,3950998,3950998,3963628,531191,555470,571687,571687,611666,430532,432144,434319,434319,437740,406148,416146,417480,417480,423283,438048,447238,450435,450435,456223,25900,28751,34049,34049,39704,27898,31527,36623,36623,39446,7916,8564,9211,9211,10022,11450,13462,15028,15028,15812,3820,4514,4867,4867,5576,14829,16024,22344,22344,26763,38978,42829,45785,45785,55302,1305428,1324337,1398082,1398082,1417307,436818,442169,446443,446443,450540,265335,269750,271929,271929,276511,2,2,2,2,2,7809857,7844568,7918208,7918208,7939824,96668,106467,124410,124410,125038,25900,28751,34049,34049,39704,7916,8564,9211,9211,10022,3820,4514,4867,4867,5576,1513,1550,2284,2284,2397,9012,9198,10217,10217,14110,17373,20229,20779,20779,26832,11450,13462,15028,15028,15812,14829,16024,22344,22344,26763,120,187,193,193,267
6,7743913,7788397,7890808,7890808,7917846,0,0,0,0,0,3873021,3894857,3946333,3946333,3959463,3870892,3893540,3944475,3944475,3958383,548648,575898,596871,596871,642573,428135,430008,432470,432470,436420,400176,411591,413164,413164,419810,436652,447398,451118,451118,457888,27001,29495,35529,35529,40885,27777,31181,36304,36304,39087,7765,8426,9010,9010,9795,11374,13497,15128,15128,15888,3700,4377,4706,4706,5289,14690,15846,21919,21919,26468,39804,43211,46994,46994,55969,1329748,1352605,1438311,1438311,1461002,427351,433388,438309,438309,443069,260248,265177,267705,267705,272964,2,2,2,2,2,7775971,7815871,7903827,7903827,7928476,97006,106653,124985,124985,125456,27001,29495,35529,35529,40885,7765,8426,9010,9010,9795,3700,4377,4706,4706,5289,1508,1531,2282,2282,2403,9098,9293,10333,10333,14166,17171,19856,20357,20357,26351,11374,13497,15128,15128,15888,14690,15846,21919,21919,26468,120,191,206,206,250
7,7713550,7761656,7878587,7878587,7907837,0,0,0,0,0,3857718,3881482,3940107,3940107,3954356,3855832,3880174,3938480,3938480,3953481,566231,596455,622413,622413,673493,425640,427754,430519,430519,435020,394565,407216,408985,408985,416428,435137,447358,451613,451613,459387,27208,29739,36025,36025,41143,27239,30669,35849,35849,38299,7628,8251,8818,8818,9574,11240,13311,14880,14880,15677,3748,4386,4689,4689,5332,14776,15857,21924,21924,26154,39845,43246,47401,47401,56049,1353409,1379811,1477838,1477838,1503502,418161,424833,430389,430389,435775,255171,260666,263531,263531,269409,2,2,3,3,3,7743913,7788397,7890808,7890808,7917846,97052,107082,124957,124957,126046,27208,29739,36025,36025,41143,7628,8251,8818,8818,9574,3748,4386,4689,4689,5332,1500,1546,2267,2267,2396,8888,9046,10051,10051,13990,16851,19592,20077,20077,25852,11240,13311,14880,14880,15677,14776,15857,21924,21924,26154,121,174,197,197,263
8,7684237,7735804,7866770,7866770,7898076,0,0,0,0,0,3843150,3868628,3934238,3934238,3949532,3841087,3867176,3932532,3932532,3948544,584924,617807,649291,649291,705560,423331,425675,428734,428734,433748,389171,403102,405006,405006,413308,433528,447169,451969,451969,460743,28335,30571,37469,37469,42398,27549,30892,35944,35944,38191,7417,8005,8543,8543,9313,11133,13159,14691,14691,15617,3654,4315,4606,4606,5231,14799,15872,22250,22250,26503,40655,43720,48540,48540,56942,1375534,1404889,1515420,1515420,1543118,409336,416641,422808,422808,428803,250246,256268,259461,259461,265989,2,2,3,3,3,7713550,7761656,7878587,7878587,7907837,96501,106431,124319,124319,125165,28335,30571,37469,37469,42398,7417,8005,8543,8543,9313,3654,4315,4606,4606,5231,1457,1508,2261,2261,2391,8987,9139,10097,10097,13902,17105,19781,20245,20245,25703,11133,13159,14691,14691,15617,14799,15872,22250,22250,26503,125,192,211,211,267
9,7656482,7710556,7855995,7855995,7888570,0,0,0,0,0,3829388,3856136,3929054,3929054,3944866,3827094,3854420,3926941,3926941,3943704,603980,639440,677081,677081,738353,421274,423860,427195,427195,432693,383789,398869,400940,400940,410006,431897,447045,452388,452388,462149,28778,30910,38510,38510,43250,27187,30497,35376,35376,37812,7309,7803,8300,8300,9036,11178,13197,14788,14788,15599,3597,4195,4498,4498,5053,14849,15860,22018,22018,26162,40776,43708,49416,49416,57339,1397499,1429537,1552441,1552441,1581765,400847,408733,415466,415466,421953,245507,251984,255513,255513,262629,2,2,3,3,3,7684237,7735804,7866770,7866770,7898076,97201,107162,125701,125701,126393,28778,30910,38510,38510,43250,7309,7803,8300,8300,9036,3597,4195,4498,4498,5053,1547,1599,2354,2354,2507,8886,9028,9972,9972,13617,16754,19405,19870,19870,25333,11178,13197,14788,14788,15599,14849,15860,22018,22018,26162,124,176,191,191,254
