Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-1/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_gpu_mem_time_sum.py]... 
Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
91.9,976661590,780,1252130.2,1664.0,1472,250817069,17432965.1,[CUDA memcpy Device-to-Host]
5.1,54069355,106,510088.3,509262.5,507694,526287,3685.9,[CUDA memcpy Device-to-Device]
2.0,20720707,212,97739.2,832.0,768,20532349,1410106.2,[CUDA memcpy Host-to-Device]
1.0,11049139,174,63500.8,880.0,768,397003,102991.1,[CUDA memset]

