# params={"birth_rate":0.02,"emigration_rate":0.0015,"internal_arrival_rate":0.018,"internal_departure_rate":0.0025,"mortality_adult":0.0025,"mortality_old":0.012,"mortality_young":0.001,"overseas_arrival_rate":0.02}
# dt=1
tick,age_00_04,age_20_24,age_65_69,age_85_plus,births_this_tick,deaths_this_tick,females,internal_arrivals_this_tick,internal_departures_this_tick,invalid_age,locked_out,males,max_generation,overseas_arrivals_this_tick,overseas_departures_this_tick,population,vacant_birth_slots,vacant_internal_slots,vacant_overseas_slots,fired_age_monthly,fired_birth_activate,fired_clear_event,fired_die_adult,fired_die_old,fired_die_young,fired_emigrate,fired_internal_arrive,fired_internal_depart,fired_overseas_arrive,deferred_total
0,230,224,221,225,13,12,1997,5,9,0,22,1995,1,4,9,3992,587,145,246,4000,13,0,1,10,1,9,5,9,4,0
1,242,224,216,221,20,23,1988,4,9,0,28,1992,1,4,8,3980,597,141,242,3992,20,52,2,21,0,8,4,9,4,0
2,250,224,212,223,13,16,1974,2,12,0,16,1988,1,1,6,3962,624,139,241,3980,13,68,4,12,0,6,2,12,1,0
3,258,223,210,225,14,20,1972,3,7,0,22,1981,1,5,4,3953,644,136,236,3962,14,50,5,15,0,4,3,7,5,0
4,272,223,201,223,18,30,1969,1,8,0,24,1967,2,5,3,3936,657,135,231,3953,18,53,5,25,0,3,1,8,5,0
5,286,224,199,225,19,21,1959,2,8,0,23,1967,2,2,4,3926,678,133,230,3936,19,65,5,15,1,4,2,8,2,0
6,294,225,199,222,13,16,1962,5,5,0,21,1960,2,3,4,3922,698,128,227,3926,13,56,1,13,2,4,5,5,3,0
7,306,223,200,225,16,19,1957,1,7,0,23,1957,2,6,5,3914,707,127,221,3922,16,46,4,15,0,5,1,7,6,0
8,327,221,199,226,25,21,1947,2,12,0,30,1956,2,3,8,3903,713,125,218,3914,25,54,6,13,2,8,2,12,3,0
9,336,220,200,226,15,18,1946,4,7,0,21,1948,2,2,5,3894,739,121,216,3903,15,71,6,10,2,5,4,7,2,0
10,339,219,197,226,12,9,1944,3,9,0,17,1944,2,2,5,3888,757,118,214,3894,12,51,4,5,0,5,3,9,2,0
11,356,214,194,226,21,24,1937,3,17,0,30,1932,2,6,8,3869,758,116,208,3888,21,40,8,16,0,8,3,17,6,0
