arm,workers,shape,run,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,wall_over_fastest,single_worker_contended
baseline,10,no-grouped,1,2.88,3.75,0.77,571326464,1.2203,
baseline,10,no-grouped,2,2.36,3.69,0.78,755515392,1.0,
baseline,10,no-grouped,3,2.37,3.71,0.8,519634944,1.0042,
baseline,10,no-grouped,4,2.39,3.76,0.74,425656320,1.0127,
baseline,10,no-grouped,5,2.38,3.75,0.73,531054592,1.0085,
baseline,10,full,1,3.65,4.95,0.73,596934656,1.0083,
baseline,10,full,2,3.62,4.95,0.74,599539712,1.0,
baseline,10,full,3,3.66,4.95,0.81,506773504,1.011,
baseline,10,full,4,3.71,4.98,0.85,685031424,1.0249,
baseline,10,full,5,3.62,4.92,0.76,476594176,1.0,
baseline,10,sir,1,0.33,0.23,0.12,358678528,1.0,
baseline,10,sir,2,0.34,0.24,0.11,355057664,1.0303,
baseline,10,sir,3,0.33,0.24,0.11,336052224,1.0,
baseline,10,sir,4,0.33,0.24,0.1,349470720,1.0,
baseline,10,sir,5,0.33,0.25,0.1,302874624,1.0,
baseline,10,unique,1,1.19,1.0,0.09,419594240,1.0625,
baseline,10,unique,2,1.12,0.99,0.08,413302784,1.0,
baseline,10,unique,3,1.13,1.01,0.08,473202688,1.0089,
baseline,10,unique,4,1.15,1.03,0.08,476561408,1.0268,
baseline,10,unique,5,1.16,1.02,0.08,442793984,1.0357,
baseline,10,aggregate,1,1.24,0.91,0.3,388841472,1.0598,
baseline,10,aggregate,2,1.27,0.92,0.32,375848960,1.0855,
baseline,10,aggregate,3,1.26,0.92,0.31,394838016,1.0769,
baseline,10,aggregate,4,1.17,0.9,0.23,332365824,1.0,
baseline,10,aggregate,5,1.2,0.9,0.25,302497792,1.0256,
copies,10,no-grouped,1,2.53,3.55,0.51,422526976,1.265,
copies,10,no-grouped,2,2.03,3.55,0.51,444923904,1.015,
copies,10,no-grouped,3,2.03,3.55,0.52,528105472,1.015,
copies,10,no-grouped,4,2.03,3.54,0.51,468058112,1.015,
copies,10,no-grouped,5,2.0,3.58,0.45,689766400,1.0,
copies,10,full,1,3.36,4.84,0.55,586432512,1.05,
copies,10,full,2,3.45,4.86,0.55,389775360,1.0781,
copies,10,full,3,3.29,4.79,0.47,535724032,1.0281,
copies,10,full,4,3.2,4.76,0.44,455000064,1.0,
copies,10,full,5,3.28,4.79,0.48,663060480,1.025,
copies,10,sir,1,0.34,0.24,0.12,349700096,1.0303,
copies,10,sir,2,0.33,0.24,0.11,319029248,1.0,
copies,10,sir,3,0.34,0.24,0.12,337084416,1.0303,
copies,10,sir,4,0.34,0.24,0.11,351207424,1.0303,
copies,10,sir,5,0.33,0.24,0.11,328613888,1.0,
grouping,10,full,1,2.8,4.09,0.48,649494528,1.157,
grouping,10,full,2,2.57,4.16,0.48,407912448,1.062,
grouping,10,full,3,2.54,4.1,0.47,532135936,1.0496,
grouping,10,full,4,2.42,4.05,0.43,378028032,1.0,
grouping,10,full,5,2.46,4.03,0.5,438927360,1.0165,
grouping,10,unique,1,1.38,0.97,0.1,521961472,1.2661,
grouping,10,unique,2,1.12,1.0,0.08,494125056,1.0275,
grouping,10,unique,3,1.09,0.97,0.08,533053440,1.0,
grouping,10,unique,4,1.11,0.99,0.08,464486400,1.0183,
grouping,10,unique,5,1.12,0.98,0.08,491323392,1.0275,
grouping,10,aggregate,1,1.23,0.9,0.31,412778496,1.0513,
grouping,10,aggregate,2,1.22,0.9,0.3,366706688,1.0427,
grouping,10,aggregate,3,1.19,0.89,0.25,282296320,1.0171,
grouping,10,aggregate,4,1.17,0.9,0.24,330383360,1.0,
grouping,10,aggregate,5,1.17,0.89,0.24,314277888,1.0,
final,10,no-grouped,1,2.31,3.55,0.53,476250112,1.1969,
final,10,no-grouped,2,1.93,3.54,0.42,446447616,1.0,
final,10,no-grouped,3,1.95,3.52,0.44,592363520,1.0104,
final,10,no-grouped,4,1.99,3.54,0.48,804945920,1.0311,
final,10,no-grouped,5,1.96,3.54,0.46,442040320,1.0155,
final,10,full,1,2.49,4.06,0.45,415383552,1.0081,
final,10,full,2,2.53,4.07,0.46,457834496,1.0243,
final,10,full,3,2.6,4.08,0.5,484687872,1.0526,
final,10,full,4,2.47,4.06,0.4,473104384,1.0,
final,10,full,5,2.62,4.14,0.47,505298944,1.0607,
final,10,sir,1,0.29,0.23,0.08,298401792,1.0,
final,10,sir,2,0.31,0.23,0.08,249675776,1.069,
final,10,sir,3,0.29,0.23,0.09,314163200,1.0,
final,10,sir,4,0.3,0.23,0.09,299040768,1.0345,
final,10,sir,5,0.29,0.23,0.08,262914048,1.0,
final,10,unique,1,1.14,1.01,0.1,490242048,1.0,
final,10,unique,2,1.27,1.02,0.09,522911744,1.114,
final,10,unique,3,1.15,1.01,0.09,518144000,1.0088,
final,10,unique,4,1.16,1.01,0.1,470859776,1.0175,
final,10,unique,5,1.16,1.01,0.1,497500160,1.0175,
final,10,aggregate,1,1.14,0.89,0.22,368640000,1.0088,
final,10,aggregate,2,1.13,0.89,0.2,367689728,1.0,
final,10,aggregate,3,1.17,0.91,0.23,333627392,1.0354,
final,10,aggregate,4,1.16,0.9,0.22,329531392,1.0265,
final,10,aggregate,5,1.15,0.91,0.21,333627392,1.0177,
baseline,1,no-grouped,1,4.23,3.3,0.81,548585472,1.0736,False
baseline,1,no-grouped,2,3.95,3.17,0.74,498663424,1.0025,False
baseline,1,no-grouped,3,3.94,3.18,0.73,570540032,1.0,False
baseline,1,no-grouped,4,3.95,3.21,0.7,604880896,1.0025,False
baseline,1,no-grouped,5,3.96,3.18,0.73,732905472,1.0051,False
baseline,1,full,1,5.3,4.39,0.84,604274688,1.0271,False
baseline,1,full,2,5.25,4.37,0.82,491618304,1.0174,False
baseline,1,full,3,5.16,4.36,0.73,543490048,1.0,False
baseline,1,full,4,5.25,4.4,0.81,609779712,1.0174,False
baseline,1,full,5,5.24,4.41,0.76,654278656,1.0155,False
baseline,1,sir,1,0.35,0.23,0.09,315064320,1.0606,False
baseline,1,sir,2,0.35,0.23,0.09,320159744,1.0606,False
baseline,1,sir,3,0.33,0.22,0.09,282345472,1.0,False
baseline,1,sir,4,0.34,0.23,0.09,337117184,1.0303,False
baseline,1,sir,5,0.35,0.24,0.09,275709952,1.0606,False
baseline,1,aggregate,1,1.23,0.92,0.28,359841792,1.0,False
baseline,1,aggregate,2,1.28,0.93,0.33,369754112,1.0407,False
baseline,1,aggregate,3,1.29,0.93,0.33,408879104,1.0488,False
baseline,1,aggregate,4,1.27,0.92,0.33,392888320,1.0325,False
baseline,1,aggregate,5,1.28,0.93,0.32,394772480,1.0407,False
final,1,no-grouped,1,3.62,3.07,0.48,673677312,1.0585,False
final,1,no-grouped,2,3.52,3.03,0.46,505200640,1.0292,False
final,1,no-grouped,3,3.52,3.04,0.45,495124480,1.0292,False
final,1,no-grouped,4,3.51,3.01,0.47,489390080,1.0263,False
final,1,no-grouped,5,3.42,2.97,0.43,802045952,1.0,False
final,1,full,1,4.0,3.49,0.47,436289536,1.0,False
final,1,full,2,4.02,3.51,0.47,576028672,1.005,False
final,1,full,3,4.03,3.55,0.45,472989696,1.0075,False
final,1,full,4,4.1,3.57,0.46,483131392,1.025,False
final,1,full,5,4.17,3.63,0.49,502792192,1.0425,False
final,1,sir,1,0.31,0.22,0.07,281083904,1.0,False
final,1,sir,2,0.31,0.22,0.07,288980992,1.0,False
final,1,sir,3,0.31,0.23,0.07,288227328,1.0,False
final,1,sir,4,0.32,0.24,0.07,262946816,1.0323,False
final,1,sir,5,0.33,0.23,0.07,299548672,1.0645,False
final,1,aggregate,1,1.04,0.87,0.15,287129600,1.0,False
final,1,aggregate,2,1.16,0.89,0.25,344571904,1.1154,False
final,1,aggregate,3,1.11,0.89,0.19,282165248,1.0673,False
final,1,aggregate,4,1.11,0.89,0.2,304627712,1.0673,False
final,1,aggregate,5,1.06,0.87,0.16,303464448,1.0192,False
