run_year,boundary_year,state,target,simulated,signed_error,relative_error
2010,2011,nsw,7218529.0,7235000.0,16471.0,0.002281767
2010,2011,vic,5537817.0,5515800.0,-22017.0,-0.003975754
2010,2011,qld,4476778.0,4466000.0,-10778.0,-0.002407535
2010,2011,sa,1639614.0,1651500.0,11886.0,0.007249267
2010,2011,wa,2353409.0,2345200.0,-8209.0,-0.003488131
2010,2011,tas,511483.0,527300.0,15817.0,0.030923804
2010,2011,nt,231292.0,252000.0,20708.0,0.089531847
2010,2011,act,367985.0,383200.0,15215.0,0.041346794
2010,2011,eight_state_total,22336907.0,22376000.0,39093.0,0.001750153
2011,2012,nsw,7304244.0,7320900.0,16656.0,0.002280318
2011,2012,vic,5651091.0,5598200.0,-52891.0,-0.009359432
2011,2012,qld,4568687.0,4541100.0,-27587.0,-0.006038278
2011,2012,sa,1656725.0,1680600.0,23875.0,0.014410961
2011,2012,wa,2425507.0,2418700.0,-6807.0,-0.002806424
2011,2012,tas,511724.0,544100.0,32376.0,0.063268481
2011,2012,nt,235915.0,274000.0,38085.0,0.161435263
2011,2012,act,376539.0,404700.0,28161.0,0.074789066
2011,2012,eight_state_total,22730432.0,22782300.0,51868.0,0.002281875
2012,2013,nsw,7404032.0,7399500.0,-4532.0,-0.000612099
2012,2013,vic,5772669.0,5685200.0,-87469.0,-0.015152263
2012,2013,qld,4652824.0,4603100.0,-49724.0,-0.010686843
2012,2013,sa,1671488.0,1711400.0,39912.0,0.023878125
2012,2013,wa,2486944.0,2483200.0,-3744.0,-0.001505462
2012,2013,tas,512231.0,561400.0,49169.0,0.095989895
2012,2013,nt,241722.0,296100.0,54378.0,0.224960906
2012,2013,act,383257.0,429500.0,46243.0,0.12065794
2012,2013,eight_state_total,23125167.0,23169400.0,44233.0,0.001912765
2013,2014,nsw,7508353.0,7494200.0,-14153.0,-0.001884967
2013,2014,vic,5894917.0,5761400.0,-133517.0,-0.022649513
2013,2014,qld,4719653.0,4652200.0,-67453.0,-0.014291941
2013,2014,sa,1686945.0,1739600.0,52655.0,0.031213229
2013,2014,wa,2517608.0,2526000.0,8392.0,0.003333323
2013,2014,tas,513621.0,578000.0,64379.0,0.125343395
2013,2014,nt,242894.0,316700.0,73806.0,0.303860943
2013,2014,act,388799.0,452400.0,63601.0,0.16358324
2013,2014,eight_state_total,23472790.0,23520500.0,47710.0,0.002032566
2014,2015,nsw,7616168.0,7570500.0,-45668.0,-0.005996191
2014,2015,vic,6022322.0,5832000.0,-190322.0,-0.031602761
2014,2015,qld,4777692.0,4688200.0,-89492.0,-0.01873122
2014,2015,sa,1700668.0,1768400.0,67732.0,0.039826703
2014,2015,wa,2540672.0,2564100.0,23428.0,0.009221182
2014,2015,tas,515117.0,595000.0,79883.0,0.15507739
2014,2015,nt,244692.0,337900.0,93208.0,0.380919687
2014,2015,act,395813.0,472700.0,76887.0,0.19425082
2014,2015,eight_state_total,23813144.0,23828800.0,15656.0,0.000657452
2015,2016,nsw,7732858.0,7666000.0,-66858.0,-0.008645962
2015,2016,vic,6173172.0,5919300.0,-253872.0,-0.041125049
2015,2016,qld,4845152.0,4742600.0,-102552.0,-0.021165899
2015,2016,sa,1712843.0,1786800.0,73957.0,0.043177921
2015,2016,wa,2555978.0,2597000.0,41022.0,0.016049434
2015,2016,tas,517514.0,614100.0,96586.0,0.186634564
2015,2016,nt,245678.0,355800.0,110122.0,0.448237123
2015,2016,act,403104.0,496600.0,93496.0,0.231940144
2015,2016,eight_state_total,24186299.0,24178200.0,-8099.0,-0.000334859
2016,2017,nsw,7855316.0,7802100.0,-53216.0,-0.006774521
2016,2017,vic,6302608.0,6043000.0,-259608.0,-0.041190567
2016,2017,qld,4926380.0,4804900.0,-121480.0,-0.02465908
2016,2017,sa,1728673.0,1807200.0,78527.0,0.045426174
2016,2017,wa,2585720.0,2637200.0,51480.0,0.019909348
2016,2017,tas,526762.0,631900.0,105138.0,0.199592985
2016,2017,nt,247412.0,372200.0,124788.0,0.504373272
2016,2017,act,415046.0,517800.0,102754.0,0.247572558
2016,2017,eight_state_total,24587917.0,24616300.0,28383.0,0.001154347
2017,2018,nsw,7954476.0,7903300.0,-51176.0,-0.00643361
2017,2018,vic,6423038.0,6159800.0,-263238.0,-0.04098341
2017,2018,qld,5006623.0,4854900.0,-151723.0,-0.030304459
2017,2018,sa,1746137.0,1835500.0,89363.0,0.051177542
2017,2018,wa,2617792.0,2674200.0,56408.0,0.02154793
2017,2018,tas,537291.0,647200.0,109909.0,0.204561402
2017,2018,nt,247095.0,389000.0,141905.0,0.574293288
2017,2018,act,426081.0,542300.0,116219.0,0.272762691
2017,2018,eight_state_total,24958533.0,25006200.0,47667.0,0.001909848
2018,2019,nsw,8046748.0,8013700.0,-33048.0,-0.004107001
2018,2019,vic,6537305.0,6273300.0,-264005.0,-0.040384379
2018,2019,qld,5088847.0,4912100.0,-176747.0,-0.034732229
2018,2019,sa,1767395.0,1865900.0,98505.0,0.05573457
2018,2019,wa,2659625.0,2714200.0,54575.0,0.02051981
2018,2019,tas,547841.0,668900.0,121059.0,0.220974699
2018,2019,nt,246559.0,406600.0,160041.0,0.649098187
2018,2019,act,435730.0,560200.0,124470.0,0.28565855
2018,2019,eight_state_total,25330050.0,25414900.0,84850.0,0.003349776
2019,2020,nsw,8110610.0,8088500.0,-22110.0,-0.002726059
2019,2020,vic,6615046.0,6344200.0,-270846.0,-0.040943933
2019,2020,qld,5165613.0,4971100.0,-194513.0,-0.037655357
2019,2020,sa,1790355.0,1891700.0,101345.0,0.056606092
2019,2020,wa,2712912.0,2763900.0,50988.0,0.018794565
2019,2020,tas,557578.0,690200.0,132622.0,0.237853717
2019,2020,nt,247428.0,427400.0,179972.0,0.727371195
2019,2020,act,444903.0,577800.0,132897.0,0.298710056
2019,2020,eight_state_total,25644445.0,25754800.0,110355.0,0.004303271
2020,2021,nsw,8097062.0,8100600.0,3538.0,0.000436949
2020,2021,vic,6547822.0,6315700.0,-232122.0,-0.035450261
2020,2021,qld,5215814.0,4986100.0,-229714.0,-0.044041831
2020,2021,sa,1802601.0,1903700.0,101099.0,0.056085068
2020,2021,wa,2749365.0,2776300.0,26935.0,0.009796808
2020,2021,tas,567239.0,711300.0,144061.0,0.253968786
2020,2021,nt,248151.0,444800.0,196649.0,0.792457012
2020,2021,act,452508.0,592400.0,139892.0,0.309148126
2020,2021,eight_state_total,25680562.0,25830900.0,150338.0,0.005854155
2021,2022,nsw,8182098.0,8188100.0,6002.0,0.000733553
2021,2022,vic,6615232.0,6397500.0,-217732.0,-0.032913736
2021,2022,qld,5310905.0,5044100.0,-266805.0,-0.050237201
2021,2022,sa,1824969.0,1930000.0,105031.0,0.05755221
2021,2022,wa,2793934.0,2813300.0,19366.0,0.006931445
2021,2022,tas,572300.0,733300.0,161000.0,0.281320985
2021,2022,nt,253100.0,464000.0,210900.0,0.833267483
2021,2022,act,461262.0,612700.0,151438.0,0.328312326
2021,2022,eight_state_total,26013800.0,26183000.0,169200.0,0.00650424
2022,2023,nsw,8356387.0,8365200.0,8813.0,0.001054642
2022,2023,vic,6797169.0,6575400.0,-221769.0,-0.032626671
2022,2023,qld,5450235.0,5144000.0,-306235.0,-0.056187485
2022,2023,sa,1857646.0,1970000.0,112354.0,0.060481922
2022,2023,wa,2890936.0,2897800.0,6864.0,0.002374318
2022,2023,tas,573731.0,753100.0,179369.0,0.312636061
2022,2023,nt,257508.0,488700.0,231192.0,0.897805117
2022,2023,act,471340.0,637800.0,166460.0,0.353163322
2022,2023,eight_state_total,26654952.0,26832000.0,177048.0,0.006642218
2023,2024,nsw,8492050.0,8507500.0,15450.0,0.001819349
2023,2024,vic,6950961.0,6705400.0,-245561.0,-0.035327633
2023,2024,qld,5571890.0,5233900.0,-337990.0,-0.060659848
2023,2024,sa,1882164.0,2006800.0,124636.0,0.066219522
2023,2024,wa,2978147.0,2979000.0,853.0,0.00028642
2023,2024,tas,574765.0,772400.0,197635.0,0.343853575
2023,2024,nt,260884.0,510000.0,249116.0,0.954891829
2023,2024,act,478430.0,657400.0,178970.0,0.374077713
2023,2024,eight_state_total,27189291.0,27372400.0,183109.0,0.0067346
2024,2025,nsw,8590113.0,8600900.0,10787.0,0.001255746
2024,2025,vic,7069856.0,6809800.0,-260056.0,-0.036783776
2024,2025,qld,5669915.0,5296900.0,-373015.0,-0.065788464
2024,2025,sa,1901615.0,2035300.0,133685.0,0.070300771
2024,2025,wa,3046209.0,3033700.0,-12509.0,-0.004106416
2024,2025,tas,577770.0,793500.0,215730.0,0.373383872
2024,2025,nt,265895.0,530500.0,264605.0,0.995148461
2024,2025,act,484635.0,679900.0,195265.0,0.402911469
2024,2025,eight_state_total,27606008.0,27780500.0,174492.0,0.006320798
